[["LUCHT","BLAZEN","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","perslucht, drukloos maken, loslaten, puff, sputter, flutter, purge..."],
["ELEKTRICITEIT","BOOG","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","jacobsladder, tesla spoel, ark, boog, centrale, elektrocutie"],
["ELEKTRICITEIT","BUZZ & HUM","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","grond brom, amp brom, amp buzz, speaker brom, speaker buzz, hum, buzz, inductie hum"],
["ELEKTRICITEIT","ELEKTRO MAGNETISCH","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, spoel, pick-up, inductie"],
["ELEKTRICITEIT","DIVERSEN","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","diverse"],
["ELEKTRICITEIT","VONKEN","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","fonkelaar, las, sputter, kortsluiting"],
["ELEKTRICITEIT","ZAP","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","ontlading, tase, taser, elektrocutie"],
["UITRUSTING","DIEREN","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","hoofdstel, teugels, riem, harnas, hondenriem, zadelriem"],
["UITRUSTING","HI TECH","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","ruimtepak, gereedschapsriem"],
["UITRUSTING","DIVERSEN","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","diverse"],
["UITRUSTING","RECREATIEF","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","rugzak, wandeling, wandelen, bergbeklimmen, klimmen, rotsklimmen, kamperen, tent"],
["UITRUSTING","SPORT","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","schoudervulling, knievulling, scheenbeschermer, jock strap"],
["UITRUSTING","TACTISCH","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","riem, tactisch, dienstriem, munitie riem, politie, militair, bandelier"],
["EXPLOSIES","ONTWORPEN","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","schokgolf, zoetje, echo"],
["EXPLOSIES","DIVERSEN","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","detonatie"],
["EXPLOSIES","AUTHENTIEK","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","knal, implosie, crack, pop"],
["SCHETEN","ONTWORPEN","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","putty, razzberry, raspberry, whoopie kussen, flarp, oksel, scheetzak, ballon"],
["SCHETEN","DIVERSEN","FARTMisc","FART","Fart sounds not fitting another category in this list.","dierscheet"],
["SCHETEN","AUTHENTIEK","FARTReal","FART","Real recordings of farts.","menselijke scheet, winderigheid, poot, toot"],
["GEVECHT","VALLEN","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","bodyfall, body drag, scuffle, body slam, tackle"],
["GEVECHT","STOF","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","gevechtsdoek, grijpen, snatch, doekstoot, doekstoot"],
["GEVECHT","PAKKEN","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","gevecht, grijpen, grapple, worstelen, judo"],
["GEVECHT","IMPACT","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","stoot, schop, body blow, klap, smak, knok, duw, sok, uppercut, jab"],
["GEVECHT","DIVERSEN","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","diverse"],
["VUUR","BRANDEN","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","vreugdevuur, kampvuur, kreupelhoutbrand, structuurbrand, vuurzee, inferno, verbranding, tondel, brandstapel"],
["VUUR","UITBARSTING","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","backdraft, dragon fire, engulf"],
["VUUR","KNISPER","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","pop, spit, snap, sparkle"],
["VUUR","GAS","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","gasgrill, bunsenbrander, oven, campingfornuis, keukenfornuis, crematorium, gasfornuis"],
["VUUR","ONTSTEKEN","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","lucifer, aansteker, zippo, enflame, erupt, flame up, inflamame"],
["VUUR","DIVERSEN","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","diverse"],
["VUUR","SISSEN","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","vuurpook, lont, lont branden"],
["VUUR","FAKKEL","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","fakkel, lont, fakkel, firebrand, brandende stok, cresset"],
["VUUR","TURBULENT","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","fire swirl, violent fire, flame thrower, fire tornado, engulf, backdraft"],
["VUUR","WHOOSH","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","vuurbal, vuurzee, molotov, fakkel, backdraft"],
["VUURWERK","PROFESSIONEEL","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","mortier, vuurwerk, pyrotechniek, kaboom, shell, vuurwerkshow"],
["VUURWERK","DIVERSEN","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","diverse"],
["VUURWERK","RECREATIEF","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","rotje, m80, sparkler, flessenraket, rookbom, jumping jack, romeinse kaars, popper, kersenbom"],
["FOLEY","STOF","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","ritseling, beweging, mvmt, zuzz"],
["FOLEY","VOETEN","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","voet, schoen, voetstap, oppervlak"],
["FOLEY","HANDEN","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","pat, grab, handle, set"],
["FOLEY","DIVERSEN","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","diverse"],
["FOLEY","PROPS","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","rekwisiet, rekwisieten"],
["ETEN & DRINKEN","KOKEN","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","hakken, snijden, in blokjes snijden, mengen, mixen, kloppen, saute, frituren, koken, grillen, sissen, stomen, stoven, roeren, saute"],
["ETEN & DRINKEN","DRINKEN","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","nippen, slurpen, drinken, slikken, slurpen, drank, slurpen, slurpen, slurpen"],
["ETEN & DRINKEN","ETEN","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","eten, knarsen, kauwen, doorslikken, kauwen, bijten, innemen, consumeren, smullen, voeden"],
["ETEN & DRINKEN","GLASWERK","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","fles, glas, beker, kan, karaf, kan"],
["ETEN & DRINKEN","INGREDIËNTEN","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","noot, zaad, graan, groente, fruit, voedsel in blik, cornflakes, vlees, haver, maïs"],
["ETEN & DRINKEN","KEUKENGEREI","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","pan, pot, stoofpan, voorraadpot, koekenpan, steelpan"],
["ETEN & DRINKEN","DIVERSEN","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","diverse"],
["ETEN & DRINKEN","GIETEN","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","schenken, stromen, morsen, serveren"],
["ETEN & DRINKEN","TAFELGEREI","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","zilverwerk, keukengerei, glasgerinkel"],
["VOETSTAPPEN","DIER","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","lopen, rennen, sprinten"],
["VOETSTAPPEN","WEZENS","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","dinosaurus, schepsel, beest, draak, mythisch"],
["VOETSTAPPEN","PAARD","FEETHors","FEET","All manner of horse feet, from single to running.","stap, draf, galop, hoef, hoeven, galop"],
["VOETSTAPPEN","MENS","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","lopen, rennen, voet, joggen, sprinten, springen, huppelen, hinkelen, stappen, voetstap, voeten, stap, klimmen"],
["VOETSTAPPEN","DIVERSEN","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","diverse"],
["SPELLETJES","ARCADE","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","pinball, whack-a-mole, skeeball, klauwmachine"],
["SPELLETJES","BORDSPEL","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","schaken, dammen, go, backgammon"],
["SPELLETJES","CASINO","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","roulette, gokkast, craps, moneywheel, keno, pokermachine"],
["SPELLETJES","DIVERSEN","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","poker, kaart, jenga, dobbelen, knokkel,"],
["SPELLETJES","VIDEO","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp..."],
["GEOTHERMISCH","GAS","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","stoomopening, geothermisch, fumarole"],
["GEOTHERMISCH","GEYSER","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","spuiten, spuiten, bellen, koken"],
["GEOTHERMISCH","LAVA","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","lava, stroom, geknetter, stroperig, vlam, gerommel, vulkaan"],
["GEOTHERMISCH","DIVERSEN","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","borrelende hete poel"],
["GEOTHERMISCH","MODDER","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","modderpot, verfpot, teerput, modder, bubbel, glop"],
["GLAS","BREKEN","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","glas breken, breken, versplinteren"],
["GLAS","CRASH & PUIN","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","scherf, fragment, crash, puin"],
["GLAS","WRIJVING","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","stress, schrapen, kraken, piepen, krijsen"],
["GLAS","HANDELINGEN","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["GLAS","IMPACT","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","raken, laten vallen, botsen, rinkelen"],
["GLAS","DIVERSEN","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","diverse"],
["GLAS","BEWEGING","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","rammelen, rollen, pingelen, kletteren"],
["GLAS","TONAAL","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","resoneren, rinkelen, klinken, glazen harmonica, kristallen kom"],
["GORE","BLOED","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","druppelen, stromen, gutsen, spuiten, spuiten"],
["GORE","BOT","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","bot breken, bot breken, bot versplinteren, kaak breken, kaken"],
["GORE","BRANDEN","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","knetteren, dichtschroeien, zien, brandmerken"],
["GORE","VLEES","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","rip, peel, tear, rend, intestine, meat, wound"],
["GORE","DIVERSEN","GOREMisc","GORE","Gore sounds not fitting another category in this list.","diverse"],
["GORE","SIJPEL","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","slijm, slijm, stroom, gelatine"],
["GERONNEN","SOURCE","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","goosh, squish, goop, slijm, slijm, glop, orgaan, darm, juicy, goo, splat, ooze, rip, peel, stab, tear, rend, intestine, meat, wound, slice, impale, juicy, splat"],
["GORE","SPLAT","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","goosh, squish, goop, slijm, ooze, glop, orgaan, darm, juicy, goo, splat"],
["GORE","SQUISH","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","squish, meat, organ, goosh, intestine, juicy, splat"],
["GORE","STEKEN","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","snijden, spietsen, steken, snijden, vorpal, ontleden"],
["VUURWAPENS","ANTIEK","GUNAntq","GUN","Old black powder weapons, muskets.","muzzleloader, musket, zwartkruit, flintlock, longrifle, fire lance..."],
["VUURWAPENS","ARTILLERIE","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","houwitser, luchtafweergeschut, raketwerper, bazooka, mortier, raket, marine..."],
["VUURWAPENS","AUTOMATISCH","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47, m16, machinegeweer, tommy gun, uzi, m249, M1919, gatling gun, minigun, "],
["VUURWAPENS","KANON","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","donderbus, handkanon, kanon, zwartkruit"],
["VUURWAPENS","HANDELINGEN","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","holster, pistool, pistool pakken, pistool vangen, pistool laten vallen, pistool laden..."],
["VUURWAPENS","HI TECH","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","rail gun, spy gun"],
["VUURWAPENS","MECHANISME","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","clip, haan, pistool rammelen, grendel, magazijn, kogel laden, pistool haan..."],
["VUURWAPENS","DIVERSEN","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","fakkelpistool, luchtbuks, paintballpistool"],
["VUURWAPENS","PISTOOL","GUNPis","GUN","Handguns and pistols.","9mm, pistool, revolver, glock, handwapen, colt, smith & wesson, sig sauer, luger, walther ppk, browning, ruger, beretta"],
["VUURWAPENS","GEWEER","GUNRif","GUN","Rifles, single shot and semi-automatic.","geweer, mauser, casull, arisaka, luger, karabijn, powell, sniper, jacht, semi-automatisch"],
["VUURWAPENS","SHOTGUN","GUNShotg","GUN","Shotguns, single, dual, pump.","jachtgeweer, dubbelloops, mossberg, winchester, coach gun"],
["VUURWAPENS","GEDEMPT","GUNSupr","GUN","Silenced Weapons, silencers.","gedempt, geluiddemper"],
["TOETERS","LUCHTDRUK","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","misthoorn, luchthoorn, fabriekshoorn"],
["TOETERS","VIERING","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","feesttoeter, vuvuzela"],
["TOETERS","DIVERSEN","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","jachthoorn, elandhoorn, eendenhoorn, vossenhoorn"],
["TOETERS","TRADITIONEEL","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","shofar, conch, conch schelp, strijdhoorn, alpenhoorn, alpenhoorn, alpenhoorn"],
["MENS","BLAZEN","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","blazen, uitademen"],
["MENS","ADEM","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","adem, zucht, inademen, uitademen, hijgen, puffen, hijgen, whoop, ademhaling, inademing, uitademing"],
["MENS","BOER","HMNBurp","HMN","Human belches, burps.","boeren, oprispen, hikken"],
["MENS","HOEST","HMNCough","HMN","Human coughs and coughing.","hack, ahem, schorre, heldere keel"],
["MENS","HARTSLAG","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","hartkloppingen, bumbum"],
["MENS","ZOENEN","HMNKiss","HMN","Human kissing.","smooch, peck"],
["MENS","DIVERSEN","HMNMisc","HMN","Human sounds not fitting another category in this list.","diverse"],
["MENS","PLASSEN","HMNPee","HMN","Human urinating.","plassen, plassen, plassen, tinkelen, wizz"],
["MENS","HUID","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","wrijven, krabben, huid, jeuk, klap, handgreep, handdruk, strelen, wrijven, rugwrijven"],
["MENS","NIEZEN","HMNSneez","HMN","Human sneezing.","niezen, ah-choo"],
["MENS","RUIKEN","HMNSniff","HMN","Human sniffing, smelling.","snuiven, snuiven, ruiken, snuiven"],
["MENS","SNURKEN","HMNSnor","HMN","Human snoring.","snurken, zzz, verstopt, zware ademhaling, apneu"],
["MENS","SPUGEN","HMNSpit","HMN","Human spits.","spugen, hakken, spuwen, spuugbak, kwijlen"],
["MENS","KOTSEN","HMNVomit","HMN","Human vomiting.","overgeven, kotsen, opkotsen, uitbraken, overgeven, kokhalzen, kokhalzen, overgeven, spuwen, zeeziek"],
["IJS","BREKEN","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","breken, barsten, scheuren, versplinteren, kraken"],
["IJS","CRASH & PUIN","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","neerstorten, vallen, brokstukken"],
["IJS","WRIJVING","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","stress, schrapen, kraken, piepen, krijsen"],
["IJS","HANDELINGEN","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["IJS","IMPACT","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","raken, laten vallen, botsen, neerstorten, clunk, clang, clink, chop"],
["IJS","DIVERSEN","ICEMisc","ICE","Ice sounds not fitting another category in this list.","diverse"],
["IJS","BEWEGING","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","slepen, rollen, rammelen, schudden"],
["IJS","TONAAL","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","boog, ring, shing"],
["LASERS","STRAAL ","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","straal, gamma, straal"],
["LASERS","PISTOOL","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","plasmawapen, blaster, laserkanon"],
["LASERS","IMPACT","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","laser, blaster, impact, hit, sizzle"],
["LASERS","DIVERSEN","LASRMisc","LASR","Laser sounds not fitting another category in this list.","diverse"],
["LEER","KRAAK","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","kraken, stress, spanning"],
["LEER","HANDELINGEN","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["LEER","IMPACT","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","hit, impact, grab, thud, thump"],
["LEER","DIVERSEN","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","diverse"],
["LEER","BEWEGING","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","flap, flop, ritselen, mvmt, glijden"],
["VLOEISTOF & MODDER","BUBBELS","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","bel, schuim, pop, modder"],
["VLOEISTOF & MODDER","IMPACT","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","splat, splatter, hit, impact, plop, kerplunk, plunk, modder"],
["VLOEISTOF & MODDER","DIVERSEN","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","diverse"],
["VLOEISTOF & MODDER","BEWEGING","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","slijm, slijm, prut, modder"],
["VLOEISTOF & MODDER","ZUIGING","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","zuig, slurp, glomp, plunjer, modder"],
["MACHINES","PRETPARK","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","achtbaan, draaimolen, scrambler, tilt-a-whirl, kinderattractie, pretparkattractie, flipperkast, skeeball"],
["MACHINES","ANTIEK","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","drukpers, naaimachine, olijfpers, boterkarn..."],
["MACHINES","APPARAAT","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","oven, koelkast, mixer, keukenmachine, haardroger, ijsmachine, wasmachine, droger, strijkijzer, koffiezetapparaat, vaatwasser, elektrische blikopener, vuilnisbak, luchtbevochtiger, ontvochtiger, naaimachine, broodrooster, wafelijzer, bakplaat, kookplaat"],
["MACHINES","CONSTRUCTIE","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","kraan, cementmolen, houtversnipperaar"],
["MACHINES","LIFT","MACHElev","MACH","Elevator movement and doors would go here.","paternoster, goederenlift, personenlift, lift..."],
["MACHINES","ROLTRAP","MACHEscl","MACH","Escalators and moving walkways would go here.","roltrap, loopbrug"],
["MACHINES","VENTILATOR","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","ventilator, plafondventilator, boxventilator, industriële ventilator, ventilator zonder bladen"],
["MACHINES","TUIN","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","grasmaaier, onkruidverdelger, grasmaaier, kettingzaag, trimmer, stokzaag, mulcher, cultivator"],
["MACHINES","FITNESS","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","loopband, eliptical, roeimachine, hometrainer, stationaire fiets, nordictrack, trapklimmer."],
["MACHINES","HI TECH","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","gadget, digitaal, handheld"],
["MACHINES","OVEN / AIRCO","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","airco, airconditioning, verwarming."],
["MACHINES","INDUSTRIEEL","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","hydraulische pers, lopende band, distilleerderij, ponsmachine, vormpers+F437:F450"],
["MACHINES","MECHANISME","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","puzzeldoos, rube goldberg, gizmo"],
["MACHINES","MEDISCH","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","x-ray machines, mri, cat scan, pet scan, bloeddruk machine, lab test machine, centrifuge, ventilator, defibrillator"],
["MACHINES","DIVERSEN","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","diverse"],
["MACHINES","KANTOOR","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","fax, facsimile, telefax, kopieerapparaat, printer, versnipperaar, xerox, fotokopieerapparaat, mimeograaf, laserprinter, inkjet, papierversnipperaar, plotter"],
["MACHINES","POMP","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","waterpomp, carterpomp, compressor, luchtcompressor"],
["MAGIE","ENGELACHTIG","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","heilig, hemels, etherisch, goddelijk, spiritueel, zaligmakend, rechtvaardig, heilig"],
["MAGIE","ELEMENTAIRE","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","vuur, water, aarde, elektrisch, lucht, wind"],
["MAGIE","KWAADAARDIG","MAGEvil","MAG","Evil magic, ominous, dark magic. Voldemort type stuff.","duister, duivel, oproep, necromantie, voodoo, zwarte magie, verboden"],
["MAGIE","DIVERSEN","MAGMisc","MAG","Magic sounds not fitting another category in this list.","diverse"],
["MAGIE","POOEF","MAGPoof","MAG","Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","chuff, foomp, blast"],
["MAGIE","GLINSTEREN","MAGShim","MAG","Glassy or chime-like shimmers, waves of particle type magic.","twinkelen, fonkelen, bellenboom, klingelen, glinsteren, glinsteren, glitteren, schitteren, gloeien, glinsteren, fonkelen"],
["MAGIE","BETOVERING","MAGSpel","MAG","Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.","heks, tovenaar, tovenaar, cast, incantatie, hex, rune, sorcery, enchant, invocatie, bewitch, exorcisme, curse, trance"],
["MECHANISCH","KLIK","MECHClik","MECH","Short clicks, could be from button presses, things like that. Some confusion and overlap with MECHANICAL-SWITCH.","click, clack, snap, toggle, button"],
["MECHANISCH","TANDWIEL","MECHGear","MECH","A toothed cog, turning or grinding gears, complex gear mechanisms. Small clock gears would go in CLOCKS-MECHANICS.","versnelling, tandwiel, rondsel, tandheugel, transmissie, tandwiel, tandwiel, vliegwiel"],
