[["气体","吹","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","稳定的气流、气压释放、释放、吹气、喷射、颤动"],
["烟花","自娱","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","鞭炮、m80、烟火、瓶火箭、烟雾弹、幻影烟花、罗马蜡烛、波普尔、樱桃炸弹"],
["拟音","布料/衣服","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","沙沙声、运动、嘶嘶声"],
["拟音","脚步","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","脚、鞋、脚步、表地面"],
["拟音","手","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","轻拍、抓住、握、套"],
["拟音","其他","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","各种各样的"],
["拟音","道具","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","道具"],
["食物/饮料","烹饪","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","切碎、切片、切丁、混合、调和、搅拌、炒、煮、烤、蒸、炖、搅拌、炒"],
["食物/饮料","喝","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","啜饮、 小口喝、饮、 啧水、吞咽、喝饮料、痛饮、大口喝"],
["食物/饮料","吃东西","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","吃、嚼、咀嚼、吞下、用力咀嚼、咬、摄取、消耗、盛宴、进食"],
["食物/饮料","玻璃器皿","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","瓶子、玻璃杯、杯子、水壶、玻璃水瓶、罐子"],
["食物/饮料","食材","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","坚果、种子、谷物、蔬菜、水果、罐头食品、谷物、肉类、燕麦、玉米"],
["食物/饮料","厨具","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","平底锅、锅、炖锅、汤锅、煎锅、平底锅"],
["食物/饮料","其他","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","各种各样的"],
["食物/饮料","泼洒","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","倾倒、流动、溢出、上菜"],
["食物/饮料","餐具","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","餐具、刀、银器、叉、杯、盘、筷"],
["脚步","动物","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","走、跑、冲刺"],
["脚步","怪物","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","恐龙、生物、野兽、龙、神话"],
["脚步","马","FEETHors","FEET","All manner of horse feet, from single to running.","步行、小跑、疾驰、蹄、踢、慢跑"],
["脚步","人类","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","走、跑、脚、慢跑、冲刺、跳跃、跳过、蹒跚、远足、大步、脚步、脚、步、爬"],
["脚步","其他","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","各种各样的"],
["游戏","街机游戏","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","弹球、 打地鼠、 斯基球街机游戏、 爪机"],
["游戏","桌游","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","国际象棋、跳棋、围棋、西洋双陆棋"],
["游戏","赌场","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","轮盘赌、老虎机、骰子、钱轮、基诺、扑克机"],
["游戏","杂项","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","扑克、 卡片、 jenga、 骰子、 knucklebone"],
["游戏","单机","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari、 ps4、 xbox 1、 xbox 360、 amstrad、 famicom、 snes、 gameboy、 任天堂64、 playstation、 世嘉游戏机、 psp"],
["地热","热浆","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","蒸汽喷口、 地热、 喷气孔"],
["地热","间歇泉","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","喷、泡、煮"],
["地热","岩浆","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","熔岩、流动、裂纹、粘稠、燃烧、隆隆声、火山"],
["地热","其他","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","冒泡"],
["地热","泥浆","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","泥罐、油漆罐、焦油坑、泥、泡沫、 气泡、糊状"],
["玻璃","打破","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","玻璃破碎、压碎、粉碎"],
["玻璃","碎片","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","碎片、碎裂、残骸"],
["玻璃","挤压","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","挤碎、刮擦、嘎吱声、 尖锐"],
["玻璃","抓取","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","触碰、抓握、放置、拾取、放下、投掷、接住"],
["玻璃","打击","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","撞击、掉落、冲撞、碰击"],
["玻璃","其他","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","各种各样的"],
["玻璃","移动","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","嘎嘎声、滚动声、砰砰声、咔嗒声"],
["玻璃","音乐性","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","共鸣、 回声、铃、响声、音调、玻璃口琴、水晶碗"],
["血","血流","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","滴、流、涌、喷、喷洒"],
["血","骨头","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","骨头断裂、骨头断裂、 骨折、骨头粉碎、下巴咬合、下巴、 颌骨"],
["血","燃烧","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","嘶嘶声、烧灼、烙印"],
["血","血肉","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","撕裂、剥皮、扯破、撕碎、内脏、血肉、伤口"],
["血","其他","GOREMisc","GORE","Gore sounds not fitting another category in this list.","各种各样的"],
["血","渗血","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","血流、粘液、 血液、流动、胶原蛋白/水解胶原蛋白"],
["血块","原始录音","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","咕噜、挤压、粘液、粘液、渗出、黏糊、器官、肠子、多汁、粘液、啪嗒、飞溅、渗出、撕裂、剥皮、刺伤、撕裂、撕裂、肠、肉、伤口、切片、穿刺、多汁"],
["血","洒溅","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","压扁、粘液、渗血、器官、肠子、多汁"],
["血","血浆","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","挤压、肉、器官、粘液、肠、多汁、飞溅"],
["血","捅","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","切片、刺穿、刺伤、切割、斩断、肢解"],
["枪炮","古董枪","GUNAntq","GUN","Old black powder weapons, muskets.","枪口装填器、步枪、黑火药、燧发枪、长步枪、火枪"],
["枪炮","火炮","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","榴弹炮、 高射炮、 导弹发射器、 火箭筒、 迫击炮、 火箭"],
["枪炮","自动化武器","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47、 m16、 机枪、 汤米枪、 uzi、 m249、 M1919、 加特林机枪"],
["枪炮","加农炮","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","大炮、 手炮、 黑火药"],
["枪支","操作","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","枪套、枪、抢枪、擦枪、枪掉落、装弹"],
["枪炮","高科技","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","轨道炮、间谍枪"],
["枪炮","机枪","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","弹夹、击发、枪声、螺栓、 枪栓、换弹、装载"],
["枪炮","其他","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","信号枪、气枪、彩弹枪"],
["枪炮","手枪","GUNPis","GUN","Handguns and pistols.","9 毫米手枪、手枪、左轮手枪、格洛克手枪、柯尔特左轮手枪、鲁格、布朗宁自动步枪、贝雷塔手枪"],
["枪炮","步枪","GUNRif","GUN","Rifles, single shot and semi-automatic.","步枪、毛瑟枪、阿里萨卡步枪、卡宾枪、狙击手、狩猎、半自动"],
["枪炮","霰弹枪","GUNShotg","GUN","Shotguns, single, dual, pump.","霰弹枪、双枪管、温彻斯特、马车枪"],
["枪炮","消音枪","GUNSupr","GUN","Silenced Weapons, silencers.","消音器"],
["号角","气压式","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","雾喇叭、气喇叭、工厂喇叭"],
["号角","欢庆用","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","派对号角、单音喇叭"],
["号角","其他","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","打猎叫、麋鹿叫、鸭叫、狐狸号角"],
["号角","传统","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","羊角号、海螺、海螺壳、战斗号角、高山号、高山号角、阿尔卑斯号角"],
["人","吹","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","吐气、呼气"],
["人","呼吸","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","叹息、喘气、喘气、喘息、 喘鸣声、呼气、咳喘、喊叫、呼吸、吸气、呼气"],
["人","打嗝","HMNBurp","HMN","Human belches, burps.","打嗝、嗳气"],
["人","咳嗽","HMNCough","HMN","Human coughs and coughing.","咳嗽、嘶哑、清嗓子"],
["人","心跳","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","心悸、手脚麻木"],
["人","接吻","HMNKiss","HMN","Human kissing.","亲吻、啄食、 轻吻"],
["人","其他","HMNMisc","HMN","Human sounds not fitting another category in this list.","各种各样的"],
["人","尿","HMNPee","HMN","Human urinating.","尿尿、小便、尿、撒尿、小解"],
["人","皮肤","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","揉、抓、皮肤、痒、拍、手抓、握手、抚摸、摩擦、挠背"],
["人","打喷嚏","HMNSneez","HMN","Human sneezing.","打喷嚏、阿嚏"],
["人","闻","HMNSniff","HMN","Human sniffing, smelling.","嗅、嗅探、闻、吸鼻子"],
["人","打鼾","HMNSnor","HMN","Human snoring.","打呼噜、zzz、鼻塞、呼吸急促、窒息、打鼾"],
["人","呕吐","HMNSpit","HMN","Human spits.","吐痰、吐出、痰盂、流口水"],
["人","大吐","HMNVomit","HMN","Human vomiting.","呕吐、吐出、呕吐物、反胃、恶心、作呕、干呕、喷出、晕船、晕车"],
["冰","打碎","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","裂开、碎裂、撕裂、粉碎、嘎吱"],
["冰","碎片","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","粉碎、摔碎、碎片、碎块"],
["冰","挤压","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","挤压、刮擦、嘎吱声、吱吱声、尖锐声"],
["冰","抓取","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","拿、抓、放置、捡起、放下、扔、接"],
["冰","打击","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","击中、掉落、撞击、击碎、敲打、咣当、叮当声、砍"],
["冰","其他","ICEMisc","ICE","Ice sounds not fitting another category in this list.","各种各样的"],
["冰","移动","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","拖动、滚动、晃动、摇晃"],
["冰","音乐性","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","弓、回响、余音"],
["激光","光束","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","光束、伽马、射线"],
["激光","武器","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","等离子武器、冲击波、激光炮"],
["激光","打击","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","激光、冲击波、冲击、打击、嘶嘶声"],
["激光","其他","LASRMisc","LASR","Laser sounds not fitting another category in this list.","各种各样的"],
["皮革","嘎吱","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","吱吱声、嘎吱声、挤压、紧绷"],
["皮革","抓取","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","拿、抓、放置、捡起、放下、扔、接"],
["皮革","打击","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","击中、撞击、抓住、砰的一声、撞击声"],
["皮革","其他","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","各种各样的"],
["皮革","移动","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","扇动、抖动、沙沙声、移动、滑动"],
["液体与流体","气泡","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","气泡、泡沫、砰的一声、泥"],
["液体与流体","打击","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","滴落、飞溅、击中、撞击、扑通、噗通、砰砰、泥"],
["液体与流体","其他","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","各种各样的"],
["液体与流体","移动","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","软泥、粘液、粘性物、泥"],
["液体与流体","咕嘟","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","吸、啜食、咕噜声、活塞、皮搋、泥浆"],
["机器","娱乐","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","过山车、旋转木马、爬梯、旋转椅、儿童骑行、主题公园小火车、弹球、滚球"],
["机器","老式的","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","印刷机、缝纫机、橄榄压榨机、黄油搅拌机"],
["机器","家电","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","烤箱、冰柜、冰箱、搅拌机、食物料理机、吹风机、制冰机、洗衣机、烘干机、熨斗、咖啡机、洗碗机、电动开罐器、垃圾处理机、加湿器、除湿机、缝纫机、烤面包机、华夫饼机、煎锅、烤盘"],
["机器","施工","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","起重机、水泥搅拌机、碎木机"],
["机器","电梯","MACHElev","MACH","Elevator movement and doors would go here.","帕特诺斯特、货运电梯、乘客电梯、电梯"],
["机器","自动扶梯","MACHEscl","MACH","Escalators and moving walkways would go here.","传送带、自动人行道"],
["机器","风扇","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","风扇、吊扇、箱式风扇、工业风扇、无叶风扇"],
["机器","花园","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","割草机、除草机、磨边机、锯子、修剪机、杆链锯、覆盖机、耕种机"],
["机器","健身房","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","跑步机、踏步机、划船机、健身自行车、健身脚踏车、诺迪克跑步机、踏步台阶机。"],
["机器","高科技","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","小工具、数码、手持"],
["机器","空调","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","空调、冷风机、暖气。"],
["机器","工业","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","液压机、装配线、流水线、酿酒厂、蒸馏机、冲床、压力机"],
["机器","装置","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","拼图盒、谜盒、谜箱、鲁布·戈德堡、小玩意"],
["机器","医疗","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","X 光机、核磁共振、CT机、照影机、血压仪、实验室测试机、离心机、呼吸机、除颤器"],
["机器","其他","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","各种各样的"],
["机器","办公设备","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","传真机、传真电话、电报、复印机、打印机、碎纸机、施乐、影印机、油印机、激光打印机、喷墨打印机、粉碎机、绘图仪"],
["机器","泵","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","水泵、污水泵、压缩机、空气压缩机"],
["魔法","天使","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","神圣的、天上的、空灵的、神的、精神的、祝福的、正义的、圣洁的"],
["魔法","元素","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","火、水、土、电、气、风"],
["魔法","邪恶","MAGEvil","MAG","Evil magic, ominous, dark magic. Voldemort type stuff.","黑暗、恶魔、召唤、死灵法术、巫毒术、黑魔法、禁止、禁术"],
["魔法","杂项","MAGMisc","MAG","Magic sounds not fitting another category in this list.","各种各样的"],
["魔法","噗","MAGPoof","MAG","Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","噗的一声、砰的一声、爆破声"],
["魔法","闪耀","MAGShim","MAG","Glassy or chime-like shimmers, waves of particle type magic.","闪烁、闪闪发光、树铃、风铃、闪耀、闪光、闪亮、火花、发光、微光、反光"],
["魔法","咒语","MAGSpel","MAG","Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.","女巫、巫师、魔术师、施法、咒语、妖术、符文、魔法、附魔、祈求、祈祷、蛊惑、驱魔、诅咒、恍惚、魅惑"],
["机械","咔哒","MECHClik","MECH","Short clicks, could be from button presses, things like that. Some confusion and overlap with MECHANICAL-SWITCH.","单击、按、咔哒声、卡合、切换、按钮"],
["机械","齿轮","MECHGear","MECH","A toothed cog, turning or grinding gears, complex gear mechanisms. Small clock gears would go in CLOCKS-MECHANICS.","齿轮、嵌齿轮、小齿轮、齿条、齿轮、传动装置、轮齿、大齿轮、飞轮"],
["机械","液压与气动","MECHHydr","MECH","Various hydraulic or pneumatic sounds, like on a self-closing door. Isolated hydraulics and pneumatics. See also DOORS-HYDRAULIC & PNEUMATIC for a complete door.","液压、气动、加压、阀门"],
["机械","插销","MECHLtch","MECH","Latch, as in a briefcase latch, or a luggage latch.","闩锁、硬件、五金、锁、扣、搭扣、螺栓"],
["机械","操纵杆","MECHLvr","MECH","A sliding or switching lever. Train track lever, lever to turn on an electric chair. Old Frankenstein machine levers, breaker levers.","杠杆、开关、撞击声、叮当声"],
["机械","锁","MECHLock","MECH","A padlock, bicycle lock, or a locking mechanism. Door locks to go into DOORS-HARDWARE.","挂锁、死锁、门栓"],
["机械","杂项","MECHMisc","MECH","Mechanical sounds not fitting another category in this list.","各种各样的"],
["机械","滑轮","MECHPuly","MECH","An isolated recording of a pulley, or system of pulleys.","吱吱声、叽叽喳喳、滚动"],
["机械","棘轮","MECHRtch","MECH","That sound a ratchet makes.","棘轮、卡扣、按、上发条、曲柄、绞盘"],
["机械","传动","MECHRelay","MECH","Old train station counting board flipping. A old communications relay board.","翻转、切换、敲击"],
["机械","滚筒","MECHRolr","MECH","Like a rolling conveyor belt, or something on a roller.","转动、传送带、线轴、卷轴"],
["机械","开关","MECHSwtch","MECH","Basic and heavy switches, light switches, power switches. Some overlap or confusion with MECHANICAL-CLICK.","切换、点击、咔哒声、切换、按钮"],
["金属","打碎","METLBrk","METL","Metal breaking, snaps, cracks, rips, shatters.","断裂、裂开、撕裂、碎裂、紧缩、压碎"],
["金属","碎片","METLCrsh","METL","Metal crashing and debris. Complex metal crashes, group metal crashes, metal debris falls.","碰撞、坠落、碎片"],
["金属","挤压","METLFric","METL","Metal friction, stress, so scrapes, creaks, squeaks, squeals, screeches. Metal sounds caused by friction.","压力、刮擦、吱吱声、吱吱声、尖叫声"],
["金属","抓取","METLHndl","METL","Metal handling, handling metal objects. Some overlap with METAL-MOVEMENT possible.","拿、抓、放置、拿起、放下、扔、接"],
["金属","打击","METLImpt","METL","Metal single item impacts, so anvil hits, dropping something that doesn't break. Clangs, clunks, bangs.","击中、掉落、撞击、碰撞、撞击声、叮当声"],
["金属","其他","METLMisc","METL","Metal sounds not fitting another category in this list.","各种各样的"],
["金属","移动","METLMvmt","METL","Metal movement, so drag, roll, rattle, shake. Single or metal items moving. Or movement on a metal surface. See also METAL-HANDLE.","拖动、拖拽、滚动、嘎拉嘎拉、摇晃"],
["金属","音乐性","METLTonl","METL","Metal tonal, resonating, ringing, wronks and warps. Bending sheet metal, a singing bowl ringing, metal shinging.","弓箭、铃、怪的、噌的一声、缠绕、弯曲、共鸣"],
["马达","老式的","MOTRAntq","MOTR","Old motors, usually combustion, so old oil pump engines, old compressors. An antique gas pump for example.","煤油发动机、石蜡发动机"],
["马达","内燃机","MOTRComb","MOTR","Non-vehicle combustion engines. Combustion motors, generators. Isolated engine recordings.","柴油发动机、燃气发动机、内燃机、二冲程发动机"],
["马达","电动的","MOTRElec","MOTR","Non-vehicle electric motors. Any motor that runs on electricity. An isolated electric motor. See also TOOLS-POWER.","牙刷、电动剃须刀、电动马达、垃圾处理器、牙医钻头"],
["马达","其他","MOTRMisc","MOTR","Motor sounds not fitting another category in this list.","各种各样的"],
["马达","伺服电机","MOTRSrvo","MOTR","Specifically servo motors, from robot, to radio controlled servos. Clean isolated servos.","机器人、遥控车、相机对焦、汽车天线、打印机"],
["马达","涡轮","MOTRTurb","MOTR","Turbines, water or air. That classic 'whine' power up and down are usually turbines. A jet engine is a turbine.","风车、飞机、飞行器、发电机"],
["移动","人类活动","MOVEActv","MOVE","Crowds moving but also performing activities, cleaning, moving boxes. Clean recordings with no vocals. See MOVEMENT-HUMAN for Single activity.","活动、搬家、清洁、购物、开箱"],
["移动","动物","MOVEAnml","MOVE","Group animal movement, individual feet go to FOOTSTEPS-ANIMAL or FOOTSTEPS-HORSE. But think herds of grazing animals, stampedes.","踩踏、放牧、冲锋、践踏、争夺"],
["移动","生物","MOVECrea","MOVE","Slithering Dragons, Gooey Zombie Movement.","滑行、爬行、滑动、蠕动、扭动"],
["移动","人群","MOVECrwd","MOVE","Groups of people milling or walking. Usually mostly just recordings of group footsteps in real locations. No vocals. Compare to MOVEMENT-ACTIVITY.","走、跑、齐步走、闲逛、滑步、扭打、坐、站、躺、滑、跳、蹦"],
["移动","人类","MOVEHmn","MOVE","Movement of single human, aside from footsteps, standing, sitting, shuffe. Some overlap or confusion with FOOTSTEP-HUMAN or MOVEMENT-ACTIVITY.","走、跑、齐步走、闲逛、滑步、扭打、坐、站、躺、滑、跳、蹦"],
["移动","昆虫","MOVEInsc","MOVE","Group insects, footsteps, movement, swarms, spiders, locusts. Swarms of flying insects here too, bees, flies. Overlap with ANIMALS-INSECT or AMBIENCE-INSECT.","蜂群、蜂巢、蜂箱、蠕动、蛆虫"],
["移动","其他","MOVEMisc","MOVE","Movement sounds not fitting another category in this list.","各种各样的"],
["移动","社会活动","MOVEPres","MOVE","Very light movement, people in church adjusting, people on church pews. Again, recordings without vocals. Compare to MOVEMENT-ACTIVITY and MOVEMENT-CROWD.","调整、侧滑、拖着、轻微移动、转移"],
["乐句","钟铃","MUSCBell","MUSC","Specifically musical bells, tuned bells, think Tubular bells or hand bells. See also the BELL category for non-musical uses. BELL-GONG is older and this is a better fit.","管铃、钟琴、甘美兰、颂钵、手摇铃、牛铃、锣、gamelan、阿贡锣、碗锣、tam-tam"],
["乐句","铜管","MUSCBrass","MUSC","Brass musical instruments, trumpets, tuba, french horn.","大号、圆号、长号、小号、木管、行进圆号、大号、长号、号角、萨克斯管、短号"],
["乐句","钟铃","MUSCChim","MUSC","Wind chimes, bell trees, Tinkerbell type magic chimes.","风铃、树铃、铃铛、闪烁、闪光"],
["乐句","合唱","MUSCChor","MUSC","Choir pieces, choral, not for 'designed type vocally stuff'.","合唱团、唱诗班、福音、教堂"],
["乐句","实验","MUSCExpr","MUSC","Strange or wierdly modified instruments, exotic instruments, prepared instruments like a prepared piano.","特雷门琴、玻璃琴、火风琴、斯特乐风迷你笔触琴、水晶琴、电动跳舞仙人掌、风弦琴"],
["乐句","器乐曲","MUSCInst","MUSC","Various instruments that don't have a home in the other MUSICAL categories.","乐器"],
["乐句","键控","MUSCKeyd","MUSC","Keyed Instruments, such as pianos and harpsichord. For synthesizer though see MUSICAL-SYNTHESIZED.","钢琴、管风琴、大键琴、手风琴、口风琴、钢片琴、斯平纳琴、电翼琴、小键琴、风琴、杜西冬琴"],
["乐句","循环","MUSCLoop","MUSC","For looping musical phrases, sampled loops.","音乐循环、采样循环、鼓循环"],
["乐句","杂项","MUSCMisc","MUSC","Music sounds not fitting another category in this list. Hopefully rarely needed.","各种各样的、口琴、卡祖笛"],
["乐句","打击","MUSCPerc","MUSC","Drums and percussion, including deep timpani or big war drums. Mainly meant for true membrane instruments, also see MUSICAL-TUNED PERCUSSION","定音鼓、锅鼓、低音鼓、筒鼓、战鼓、太鼓、底鼓、军鼓"],
["乐句","打击乐","MUSCTnprc","MUSC","Tuned percussion mostly played with mallets, Xylophones, Vibraphones, etc.","钟琴、木琴、颤音琴、铁琴、里拉铁片琴、钢鼓、马林巴琴"],
["乐句","表演","MUSCPrfm","MUSC","A musical performance, or warm-up, a live musical act, a street musican, high school band. If a mixed ambience, look to AMBIENCE categories, like PUBLIC PLACE.","乐队、街头音乐家、现场音乐会、演出、夜总会"],
