[["LUFT","BLÅS","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","tryckluft, tryckavlastning, släpp ut, puffa, spruta, fladdra, fladdra, rensa"],
["DÖRRAR","TRÄ","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","ingång, ytterdörr, garderob"],
["LÅDOR","METALL","DRWRMetl","DRWR","Metal drawers like on a toolbox.","Verktygslåda, racklåda, arkivskåp, kassaapparat, säkerhetslåda."],
["LÅDOR","DIVERSE","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","Diverse"],
["LÅDOR","PLAST","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","reservdelsbehållare, skrivbordsorganisator"],
["LÅDOR","TRÄ","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","kökslåda, badrumslåda"],
["ELEKTRICITET","BÅGE","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","Jacobs stege, tesla-spiral, ark, båge, kraftverk, elverk, elstötar"],
["ELEKTRICITET","SURR","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","Jordbrum, förstärkarbrum, förstärkarbrum, högtalarbrum, högtalarbrum, brum, brum, brum, induktionsbrum."],
["ELEKTRICITET","ELEKTOMAGNETISK","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, spole, pickup, induktion"],
["ELEKTRICITET","DIVERSE","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","Diverse"],
["ELEKTRICITET","SPRAK","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","tändstift, svetsning, sputter, kortslutning"],
["ELEKTRICITET","ZAP","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","urladdning, tase, taser, elchocker"],
["UTRUSTNING","HÄSTRELATERAT","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","tygel, tyglar, koppel, sele, hundkoppel, sadelband"],
["UTRUSTNING","HI-TECH","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","Rymddräkt, användningsbälte"],
["UTRUSTNING","DIVERSE","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","diverse"],
["UTRUSTNING","FRITID","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","ryggsäck, vandring, vandring, bergsklättring, klättring, bergsklättring, läger, tält"],
["UTRUSTNING","SPORT","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","axelskydd, knäskydd, skenskydd, bälte, bälte för sportkläder."],
["UTRUSTNING","MILITÄR & POLIS","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","bälte, taktiskt, arbetsbälte, ammunitionsbälte, polis, militär, bandoleer"],
["EXPLOSIONER","DESIGNAD","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","shockwave, sötningsmedel, eko"],
["EXPLOSIONER","DIVERSE","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","detonation"],
["EXPLOSIONER","REALISTISK","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","smäll, implosion, knäppning, pop"],
["FISAR","DESIGNAD","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","kitt, razzberry, raspberry, whoopie cushion, flarp, armhåla, fartbag, ballong"],
["FISAR","DIVERSE","FARTMisc","FART","Fart sounds not fitting another category in this list.","djurprutt"],
["FISAR","REALISTISK","FARTReal","FART","Real recordings of farts.","mänsklig prutt, flatulens, putt, putt, putt"],
["SLAGSMÅL","FALL","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","Kroppsfall, kroppsdrag, handgemäng, kroppsslag, tackling."],
["SLAGSMÅL","TYG","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","stridsklädsel, grepp, ryck, slag med tyg, slag med tyg, slag med tyg"],
["SLAGSMÅL","GREPP","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","strid, grepp, grip, brottning, judo"],
["SLAGSMÅL","SMÄLL","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","slag, spark, kroppsslag, örfil, smäll, slagsmål, knuff, stöt, strumpa, uppercut, stöt"],
["SLAGSMÅL","DIVERSE","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","diverse"],
["ELD","BRAND","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","bål, lägereld, buskbrand, byggnadsbrand, eldsvåda, inferno, förbränning, tändstift, bål"],
["ELD","UTBROTT","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","backdraft, drakeld, uppsluka, uppsluka"],
["ELD","KNASTER","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","pop, spotta, knäppa, gnist"],
["ELD","GAS","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","gasolgrill, bunsenbrännare, ugn, campingspis, köksspis, krematorium, gasspis."],
["ELD","ANTÄNDA","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","tändsticka, tändare, zippo, uppflammas, utbryta, flamma upp, antända."],
["ELD","DIVERSE","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","diverse"],
["ELD","FRÄS","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","eldpoker, stubin, stubin brinner"],
["ELD","FACKLA","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","flamma, stubin, fackla, eldsticka, flammande pinne, cresset"],
["ELD","TURBULENT","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","eldvirvel, våldsam eld, flamkastare, eldtornado, uppsluka, bakåtsträcka"],
["ELD","SVISCH","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","eldklot, eldklot, molotov, eldklot, flamma, bakåtstrykning"],
["FYRVERKERI","OFFENTLIG","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","granatkastare, fyrverkeri, pyroteknik, kaboom, granat, fyrverkeri"],
["FYRVERKERI","DIVERSE","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","diverse"],
["FYRVERKERI","HEMMABRUK","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","smällare, m80, tändstift, flaskraket, rökbomb, jumping jack, romanskt ljus, popper, körsbärsbomb"],
["TRAMP","TYG","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","Rus, rörelse, mvmt, zuzz"],
["TRAMP","STEG","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","fot, sko, fotsteg, yta"],
["TRAMP","HÄNDER","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","klapp, grepp, handtag, uppsättning"],
["TRAMP","DIVERSE","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","diverse"],
["TRAMP","FÖREMÅL","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","rekvisita, rekvisita"],
["MAT & DRYCK","MATLAGNING","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","Hacka, skiva, tärning, blanda, mixa, vispa, sautera, steka, koka, koka, grilla, sila, ånga, gryta, röra om, sautera."],
["MAT & DRYCK","DRYCK","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","smutta, slurpa, dricka, svälja, svälja, svälja, dricka, dricka, svänga, svänga, svänga, svänga, svänga, svänga, svänga, svänga, svänga, svänga"],
["MAT & DRYCK","ÄTA","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","äta, krossa, tugga, svälja, mumsa, tugga, tugga, bita, inta, konsumera, festa, mata"],
["MAT & DRYCK","GLAS","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","flaska, glas, kopp, kanna, karaff, burk"],
["MAT & DRYCK","INGREDIENSER","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","nöt, frö, spannmål, grönsaker, frukt, konserverad mat, spannmål, kött, havre, majs"],
["MAT & DRYCK","KÖKSREDSKAP","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","stekpanna, gryta, gryta, stekpanna, stekpanna, kastrull, kastrull"],
["MAT & DRYCK","DIVERSE","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","Diverse"],
["MAT & DRYCK","HÄLLA","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","hälla, flöda, spilla, servera"],
["MAT & DRYCK","PORSLIN & BESTICK","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","bestick, redskap, glas klirrar"],
["FOTSTEG","DJUR","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","gå, springa, sprinta"],
["FOTSTEG","MONSTER","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","dinosaurie, varelse, djur, drake, mytisk"],
["FOTSTEG","HÄST","FEETHors","FEET","All manner of horse feet, from single to running.","gå, trav, galopp, hov, hovar, galopp, galopp"],
["FOTSTEG","MÄNNISKA","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","gå, springa, springa, jogga, sprinta, hoppa, hoppa över, hoppa, vandra, gå, steg, fotsteg, fot, steg, klättra, klättra"],
["FOTSTEG","DIVERSE","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","diverse"],
["SPEL","SPELHALL","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","flipperspel, whack-a-mole, skeeball, klösmaskin"],
["SPEL","BRÄDSPEL","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","schack, dam, go, backgammon"],
["SPEL","KASINO","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","Roulette, spelautomat, craps, moneywheel, keno, pokermaskin."],
["SPEL","DIVERSE","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","poker, kort, jenga, tärning, knogjärn,"],
["SPEL","VIDEOSPEL","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp"],
["GEOTERMIK","VULKANISK","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","ångventil, geotermisk, fumarole"],
["GEOTERMIK","GEJSER","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","pipa, spray, bubbla, koka"],
["GEOTERMIK","LAVA","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","lava, flöde, sprakande, trögflytande, flammande, rytmande, vulkan"],
["GEOTERMIK","DIVERSE","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","bubblande varm pool"],
["GEOTERMIK","LERHÅL","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","lergrop, färggrop, tjärgrop, lera, bubbla, glop"],
["GLAS","SPRÄCKA","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","glas går sönder, krossas, splittras"],
["GLAS","KROSSA","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","skärva, fragment, krasch, spillror"],
["GLAS","FRIKTION","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","Stress, skrapning, knäppning, gnissel, skrik, skrik."],
["GLAS","HANTERING","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","hantera, ta tag i, sätta, plocka upp, sätta ner, kasta, fånga"],
["GLAS","SMÄLL","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","träffa, falla, slå, slå, klirra"],
["GLAS","DIVERSE","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","diverse"],
["GLAS","RÖRELSE","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","skramla, rulla, ping, skramla."],
["GLAS","TONAL","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","resonera, ringa, tonal, glasharmonika, kristallskål"],
["KROPPSSKADOR","BLOD","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","droppa, flöda, spruta, spruta, sprutas, spraya"],
["KROPPSSKADOR","KNÄCKA","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","benknäppning, benbrott, benbrott, käkknippning, käftar"],
["KROPPSSKADOR","BRÄNNA","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","svider, bränner, bränner, ser, brännmärker"],
["KROPPSSKADOR","KÖTT","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","riva, skala, riva, slita, slita, sönder, tarm, kött, sår."],
["KROPPSSKADOR","DIVERSE","GOREMisc","GORE","Gore sounds not fitting another category in this list.","diverse"],
["KROPPSSKADOR","RINNA","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","Slem, slem, flöde, gelatin"],
["KROPPSSKADOR","RÅMATERIAL","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","goosh, squish, goop, slime, ooze, glop, organ, tarm, saftig, goo, splat, ooze, rip, peel, stab, tear, rend, tarm, kött, sår, skiva, spale, saftig, splat"],
["KROPPSSKADOR","KLAFS","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","goosh, squish, goop, slime, ooze, glop, organ, tarm, juicy, goo, splat"],
["KROPPSSKADOR","KLÄMMA","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","kladd, kött, organ, gödsel, tarm, saftigt, kladd, kladd, kladd."],
["KROPPSSKADOR","HUGG","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","skära, spetsa, hugga, skära, vorpal, sönderdela"],
["SKJUTVAPEN","ANTIK","GUNAntq","GUN","Old black powder weapons, muskets.","Mufflada, musköt, svartkrut, flintlås, långdistansgevär, eldstudsare."],
["SKJUTVAPEN","ARTILLERI","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","haubits, luftvärnskanon, missilkastare, bazooka, murbruk, raket, marin"],
["SKJUTVAPEN","AUTOMATISK","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47, m16, maskingevär, tommy gun, uzi, m249, M1919, gatling gun, minigun, "],
["SKJUTVAPEN","KANON","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","Blunderbuss, handkanon, kanon, svartkrut"],
["SKJUTVAPEN","HANTERING","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","hölster, pistol, pistolgrepp, pistolfångst, pistolsläpp, pistolladdning"],
["SKJUTVAPEN","HI-TECH","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","skenpistol, spionpistol"],
["SKJUTVAPEN","MEKANISM","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","clip, spännning, pistolskrammel, bultsläpp, magasin, laddning av kula, pistolspik, pistolspik"],
["SKJUTVAPEN","DIVERSE","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","Fackelpistol, luftpistol, paintballpistol."],
["SKJUTVAPEN","PISTOL","GUNPis","GUN","Handguns and pistols.","9mm, pistol, revolver, glock, handeldvapen, colt, smith & wesson, sig sauer, luger, walther ppk, browning, ruger, beretta"],
["SKJUTVAPEN","GEVÄR","GUNRif","GUN","Rifles, single shot and semi-automatic.","gevär, mauser, casull, arisaka, luger, karbin, powell, prickskytt, jakt, halvautomatisk"],
["SKJUTVAPEN","HAGELBÖSSA","GUNShotg","GUN","Shotguns, single, dual, pump.","hagelbössa, dubbelrör, mossberg, winchester, kuskpistol"],
["SKJUTVAPEN","LJUDDÄMPAD","GUNSupr","GUN","Silenced Weapons, silencers.","ljuddämpad, ljuddämpare"],
["TUTOR","TRYCKLUFTTUTA","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","dimhorn, lufthorn, fabrikshorn"],
["TUTOR","PARTY","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","partyhorn, vuvuzela"],
["TUTOR","DIVERSE","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","jaktklocka, älgklocka, ankklocka, rävklocka"],
["TUTOR","TRADITIONELL","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","shofar, snäckor, snäckskal, stridshorn, alphorn, alphorn, alphorn"],
["MÄNSKLIGT","BLÅS","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","blåsa, andas ut"],
["MÄNSKLIGT","ANDNING","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","andning, suck, inandning, utandning, gasp, flämtning, väsande, väsande, väsande, väsande, väsande, väsande, väsande, väsande, väsande, andning, inandning, utandning"],
["MÄNSKLIGT","RAPA","HMNBurp","HMN","Human belches, burps.","rapa, rapa, hicka, hicka"],
["MÄNSKLIGT","HOSTA","HMNCough","HMN","Human coughs and coughing.","hack, ahem, hes, klar hals"],
["MÄNSKLIGT","HJÄRTSLAG","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","hjärtklappning, bumbum"],
["MÄNSKLIGT","KYSSA","HMNKiss","HMN","Human kissing.","smekning, pussning"],
["MÄNSKLIGT","DIVERSE","HMNMisc","HMN","Human sounds not fitting another category in this list.","diverse"],
["MÄNSKLIGT","KISSA","HMNPee","HMN","Human urinating.","kissar, kissar, kissar, kissar, kissar, kissar, kissar, kissar, kissar, kissar"],
["MÄNSKLIGT","HUD","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","gnugga, skrapa, hud, klia, slå, ta tag i handen, handslag, smekning, gnugga, ryggmassage"],
["MÄNSKLIGT","NYSA","HMNSneez","HMN","Human sneezing.","nysa, ah-choo"],
["MÄNSKLIGT","SNIFFA","HMNSniff","HMN","Human sniffing, smelling.","sniffa, sniffa, lukta, sniffa, sniffa"],
["MÄNSKLIGT","SNARKA","HMNSnor","HMN","Human snoring.","snorka, zzz, trångsynt, tung andning, apné"],
["MÄNSKLIGT","SPOTTA","HMNSpit","HMN","Human spits.","spotta, spotta, spotta, spottkopp, dregla, dregla."],
["MÄNSKLIGT","KRÄKAS","HMNVomit","HMN","Human vomiting.","kräkas, spy, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp, spy upp"],
["IS","BRYTA","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","bryta, spricka, riva, splittra, krossa, knäcka"],
["IS","KROSSA & BITAR","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","krascha, falla, skräp"],
["IS","FRIKTION","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","stress, skrapa, knäcka, gnissla, skrika, skrika."],
["IS","HANTERING","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","hantera, ta tag i, sätta, plocka upp, sätta ner, kasta, fånga"],
["IS","SMÄLL","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","träffa, falla, slå, slå, krascha, klunk, klang, klink, hugga."],
["IS","DIVERSE","ICEMisc","ICE","Ice sounds not fitting another category in this list.","diverse"],
["IS","RÖRELSE","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","dra, rulla, skramla, skaka"],
["IS","TONAL","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","buga, ring, shing, shing"],
["LASER","STRÅLE","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","stråle, gammastråle, stråle"],
["LASER","VAPEN","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","plasmavapen, blaster, laserkanon"],
["LASER","SMÄLL","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","laser, blaster, slag, träff, svider, svider"],
["LASER","DIVERSE","LASRMisc","LASR","Laser sounds not fitting another category in this list.","diverse"],
["LÄDER","KNARR","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","knäppning, stress, spänning"],
["LÄDER","HANTERING","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","hantera, ta tag i, ställa in, plocka upp, ställa ner, kasta, fånga"],
["LÄDER","SMÄLL","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","träff, slag, grepp, duns, duns, duns"],
["LÄDER","DIVERSE","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","diverse"],
["LÄDER","RÖRELSE","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","flap, flop, prassel, mvmt, glidning"],
["VÄTSKOR & LERA","BUBBLA","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","bubbla, skum, pop, lera"],
["VÄTSKOR & LERA","PLASK","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","Splat, splatter, hit, impact, plop, kerplunk, plunk, lera, mudder."],
["VÄTSKOR & LERA","DIVERSE","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","diverse"],
["VÄTSKOR & LERA","RÖRELSE","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","slem, slem, gegga, gyttja, lera"],
["VÄTSKOR & LERA","SUG","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","sug, slurp, glomp, plunger, lera"],
["MASKINER","NÖJESFÄLT","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","berg- och dalbana, karusell, scrambler, tilt-a-whirl, barntur, nöjespark, flipper, skeeball"],
["MASKINER","ANTIK","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","Tryckpress, symaskin, olivpress, smörkvarn."],
["MASKINER","HUSHÅLLSAPPARAT","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","Ugn, kylskåp, kylskåp, mixer, matberedare, hårtork, ismaskin, tvättmaskin, torktumlare, strykjärn, kaffebryggare, diskmaskin, elektrisk burköppnare, avfallskvarn, luftfuktare, avfuktare, symaskin, brödrost, våffelmaskin, griddle, kokplatta."],
["MASKINER","BYGGE","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","Kran, cementblandare, flishuggare"],
["MASKINER","HISS","MACHElev","MACH","Elevator movement and doors would go here.","paternoster, godshiss, personhiss, hiss"],
["MASKINER","RULLTRAPPA","MACHEscl","MACH","Escalators and moving walkways would go here.","Travelator, rullbana, rullande gångbana"],
["MASKINER","FLÄKT","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","Fläkt, takfläkt, boxfläkt, industrifläkt, blåslös fläkt."],
["MASKINER","TRÄDGÅRD","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","Gräsklippare, ogräsrensare, kantskärare, motorsåg, trimmer, stångsåg, mulcher, kultivator."],
["MASKINER","GYM","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","Löpband, eliptisk maskin, roddmaskin, motionscykel, stationär cykel, nordictrack, trappklättrare."],
["MASKINER","HI-TECH","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","pryl, digital, handhållen"],
["MASKINER","VENTILATION","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","aircon, luftkonditionering, uppvärmning."],
["MASKINER","INDUSTRI","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","hydraulisk press, monteringslinje, bränneri, stanspress, formpress+F437:F450"],
["MASKINER","MEKANISM","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","pusselbox, rube goldberg, pryl."],
["MASKINER","SJUKVÅRD","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","Röntgenapparater, mri, cat scan, pet scan, blodtrycksmaskin, laboratorietestmaskin, centrifug, ventilator, defibrillator."],
["MASKINER","DIVERSE","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","Diverse"],
["MASKINER","KONTOR","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","Fax, fax, telefax, kopieringsmaskin, skrivare, dokumentförstörare, xerox, fotokopierare, mimograf, laserskrivare, bläckstråleskrivare, pappersförstörare, plotter."],
["MASKINER","PUMP","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","Vattenpump, sumppump, kompressor, luftkompressor."],
["MAGI","ÄNGLALIK","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","helig, himmelsk, eterisk, gudomlig, andlig, salig, rättfärdig, helgonaktig"],
