[["HAVA","ÜFLEME","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","basınçlı hava, basıncı düşürmek, serbest bırakmak, puflamak, püskürmek, çırpınmak, boşaltmak"],
["KAPI","MEKANİZMA","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","kapı tokmağı, sürgü, itme çubuğu, zincir kilit, menteşe, mandal, tutamak, donanım, kilit açma, sallama"],
["KAPI","TEKNOLOJİK","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","laboratuvar kapısı"],
["KAPI","BASINÇLI & HİDROLİK","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","kapı kapatıcı, pnömatik, hidrolik, motorlu kapak"],
["KAPI","VURMA","DOORKnck","DOOR","Knocking on various door surfaces.","tak, rap, tokmak, bang, thud, thump"],
["KAPI","METAL","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","açılır kapanır, kasa, kasa, kapak"],
["KAPI","DİĞER","DOORMisc","DOOR","Door sounds not fitting another category in this list.","ÇEŞİTLİ"],
["KAPI","PLASTİK","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta john, porta let, porta pottie"],
["KAPI","HAPİSHANE","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","hapishane kapısı, hapishane kapısı"],
["KAPI","DÖNER","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","dönmek, döndürmek, döner kapı, otel, havaalanı, alışveriş merkezi"],
["KAPI","KAYAR","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","sürgülü cam kapı, veranda kapısı, duş kapısı"],
["KAPI","TAŞ","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","mezar, mahzen, tapınak, türbe, gizli giriş"],
["KAPI","ÇİFT YÖNLÜ","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","salon kapısı, trafik kapısı, restoran kapısı, kilise minber kapısı"],
["KAPI","TAHTA","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","giriş, ön kapı, dolap"],
["ÇEKMECE","METAL","DRWRMetl","DRWR","Metal drawers like on a toolbox.","alet kutusu, raf çekmecesi, dosya dolabı, yazar kasa, güvenlik çekmecesi"],
["ÇEKMECE","DİĞER","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","ÇEŞİTLİ"],
["ÇEKMECE","PLASTİK","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","parça kutusu, masa düzenleyici"],
["ÇEKMECE","TAHTA","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","mutfak çekmecesi, banyo çekmecesi"],
["ELEKTRİK","ARK","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","jacob'un merdiveni, tesla bobini, ark, kemer, elektrik santrali, elektrik çarpması"],
["ELEKTRİK","VIZILTI & UĞULTU","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","topraklama uğultusu, amfi uğultusu, amfi vızıltısı, hoparlör uğultusu, hoparlör vızıltısı, uğultu, vızıltı, indüksiyon uğultusu"],
["ELEKTRİK","ELEKTROMANYETİK","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, bobin, pikap, indüksiyon"],
["ELEKTRİK","DİĞER","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","ÇEŞİTLİ"],
["ELEKTRİK","KIVILCIM","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","kıvılcım, kaynak, sıçrama, kısa devre"],
["ELEKTRİK","ZAP","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","deşarj, şok, şok tabancası, elektroşok"],
["TEÇHİZAT","DİZGİN","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","dizgin, dizginler, tasma, koşum takımı, köpek tasması, eyer kayışı"],
["TEÇHİZAT","TEKNOLOJİK","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","uzay giysisi, yardımcı kemer"],
["TEÇHİZAT","DİĞER","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","ÇEŞİTLİ"],
["TEÇHİZAT","GEZİ","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","sırt çantası, yürüyüş, yürüyüş, dağcılık, tırmanış, kaya tırmanışı, kamp, çadır"],
["TEÇHİZAT","SPOR","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","omuzluk, dizlik, inciklik, sporcu askısı"],
["TEÇHİZAT","TAKTİK","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","kemer, taktik, görev kemeri, cephane kemeri, polis, askeri, bandoleer"],
["PATLAMA","TASARIM","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","şok dalgası, tatlandırıcı, yankı"],
["PATLAMA","DİĞER","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","Patlama"],
["PATLAMA","GERÇEK","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","Patlama, patlama, çatlama, patlama"],
["OSURMA","TASARIM","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","macun, razzberry, ahududu, whoopie yastık, flarp, koltuk altı, fartbag, balon"],
["OSURMA","DİĞER","FARTMisc","FART","Fart sounds not fitting another category in this list.","hayvan osuruğu"],
["OSURMA","GERÇEK","FARTReal","FART","Real recordings of farts.","insan osuruğu, gaz, poot, toot"],
["KAVGA","YUVARLANMA & DÜŞME","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","bodyfall, body drag, scuffle, body slam, tackle"],
["KAVGA","KIYAFET","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","savaş bezi, yakalama, kapma, bez darbesi, bez vuruşu"],
["KAVGA","YAKALAMA","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","mücadele, kapmak, kıskaç, güreş, judo"],
["KAVGA","DARBE","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","yumruk, tekme, vücut darbesi, tokat, şaplak, kavga, itiş kakış, çorap, aparkat, jab"],
["KAVGA","DİĞER","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","ÇEŞİTLİ"],
["ATEŞ","YANMA","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","şenlik ateşi, kamp ateşi, çalı yangını, yapı yangını, alev, cehennem, yanma, çıra, pir"],
["ATEŞ","PÜSKÜRME","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","backdraft, ejderha ateşi, yutmak"],
["ATEŞ","ÇATIRDAMA","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","pop, spit, snap, sparkle"],
["ATEŞ","GAZ","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","gaz ızgarası, bunsen brülörü, fırın, kamp ocağı, mutfak ocağı, krematoryum, gaz ocağı"],
["ATEŞ","TUTUŞMA","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","kibrit, çakmak, zippo, alev almak, patlamak, alevlenmek"],
["ATEŞ","DİĞER","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","ÇEŞİTLİ"],
["ATEŞ","CIZLAMA","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","ateş maşası, sigorta, sigorta yanığı"],
["ATEŞ","MEŞALE","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","işaret fişeği, fünye, meşale, ateş çubuğu, alevli çubuk, cresset"],
["ATEŞ","ÇALKANTILI & TÜRBÜLANS","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","yangın girdabı, şiddetli yangın, alev atıcı, yangın kasırgası, yutmak, geri tepme"],
["ATEŞ","WHOOSH (GEÇİŞ EFEKTİ)","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","ateş topu, alev, molotof, işaret fişeği, geri tepme"],
["HAVAİ FİŞEK","TİCARİ","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","havan, havai fişek, piroteknik, kaboom, mermi, havai fişek gösterisi"],
["HAVAİ FİŞEK","DİĞER","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","ÇEŞİTLİ"],
["HAVAİ FİŞEK","EĞLENCE","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","havai fişek, m80, maytap, şişe roketi, sis bombası, zıplayan kriko, roma mumu, popper, kiraz bombası"],
["FOLEY","KIYAFET","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","hışırtı, hareket, mvmt, zuzz"],
["FOLEY","ADIM","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","ayak, ayakkabı, ayak izi, yüzey"],
["FOLEY","ELLER","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","pat, tut, tutamak, set"],
["FOLEY","DİĞER","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","ÇEŞİTLİ"],
["FOLEY","EŞYA","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","sahne, sahne"],
["GIDA","PİŞİRME","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","doğramak, dilimlemek, küp küp doğramak, karıştırmak, harmanlamak, çırpmak, sote etmek, kızartmak, kaynatmak, ızgara yapmak, cızırdatmak, buharda pişirmek, güveç yapmak, karıştırmak, sote etmek"],
["GIDA","İÇME","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","sip, slurp, drink, swallow, gulp, beverage, swig, chug, glug"],
["GIDA","YEME","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","yemek, çıtırdatmak, çiğnemek, yutmak, munch, chomp, ısırmak, yutmak, tüketmek, ziyafet çekmek, beslemek"],
["GIDA","ZÜCCACİYE","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","şişe, bardak, fincan, sürahi, karaf, kutu"],
["GIDA","MUHTEVA","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","fındık, tohum, tahıl, sebze, meyve, konserve, tahıl, et, yulaf, mısır"],
["GIDA","MUTFAK GERECİ","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","tava, tencere, güveç, tencere, kızartma tavası, tencere"],
["GIDA","DİĞER","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","ÇEŞİTLİ"],
["GIDA","DÖKMEK & BOŞALTMAK","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","dökmek, akmak, dökülmek, servis etmek"],
["GIDA","ÇATAL BIÇAK","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","gümüş takımlar, mutfak eşyaları, bardak şıngırtıları"],
["ADIM","HAYVAN","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","yürümek, koşmak, sprint"],
["ADIM","VARLIK","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","dinozor, yaratık, canavar, ejderha, efsanevi"],
["ADIM","AT","FEETHors","FEET","All manner of horse feet, from single to running.","yürüyüş, tırıs, dörtnala, toynak, toynaklar, canter"],
["ADIM","İNSAN","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","yürümek, koşmak, ayak, jog, sprint, atlamak, atlamak, hobble, hike, adım, footstep, ayaklar, adım, tırmanmak"],
["ADIM","DİĞER","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","ÇEŞİTLİ"],
["OYUN","ATARİ SALONU","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","langırt, köstebek, skeeball, pençe makinesi"],
["OYUN","MASA OYUNU","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","satranç, dama, go, tavla"],
["OYUN","KUMARHANE","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","rulet, slot makinesi, barbut, para çarkı, keno, poker makinesi"],
["OYUN","DİĞER","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","poker, kart, jenga, zar, knucklebone,"],
["OYUN","VİDEO OYUN","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp"],
["JEOTERMAL","TÜTEN","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","buhar deliği, jeotermal, fumarole"],
["JEOTERMAL","GAYZER","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","musluk, sprey, kabarcık, kaynama"],
["JEOTERMAL","LAV","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","lav, akış, çatırtı, viskoz, parlama, gürleme, volkan"],
["JEOTERMAL","DİĞER","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","fokurdayan sıcak havuz"],
["JEOTERMAL","ÇAMUR HAVUZU","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","mudpot, boya kabı, katran çukuru, çamur, kabarcık, glop"],
["CAM","KIRMA","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","cam kırılması, parçalanması, paramparça olması"],
["CAM","ÇÖKME & MOLOZ","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","parça, parça, çarpma, enkaz"],
["CAM","SÜRTÜNME","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","stres, sıyrık, gıcırtı, gıcırtı, gıcırtı"],
["CAM","KULLANMAK & TUTMAK","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["CAM","DARBE","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","vurmak, düşürmek, çarpmak, çınlamak"],
["CAM","DİĞER","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","ÇEŞİTLİ"],
["CAM","HAREKET","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","çıngırak, yuvarlanma, ping, takırtı"],
["CAM","TONAL","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","rezonans, halka, tonal, cam armonika, kristal kase"],
["VAHŞET","KAN","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","damlamak, akmak, fışkırmak, püskürmek, püskürtmek"],
["VAHŞET","KEMİK","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","kemik kırılması, kemik kırılması, kemik parçalanması, çene kırılması, çeneler"],
["VAHŞET","YANIK","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","cızırdatmak, dağlamak, görmek, damgalamak"],
["VAHŞET","ET","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","yırtmak, soymak, yırtmak, parçalamak, bağırsak, et, yara"],
["VAHŞET","DİĞER","GOREMisc","GORE","Gore sounds not fitting another category in this list.","ÇEŞİTLİ"],
["VAHŞET","AKINTI","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","sızıntı, balçık, akış, jelatin"],
["VAHŞET","KAYNAK KAYIT","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","goosh, squish, goop, slime, ooze, glop, organ, bağırsak, juicy, goo, splat, ooze, rip, peel, stab, tear, rend, intestine, meat, wound, slice, impale, juicy, splat"],
["VAHŞET","ŞAPIRTI","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","goosh, squish, goop, slime, ooze, glop, organ, bağırsak, sulu, goo, splat"],
["VAHŞET","ÇİĞNEME","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","ezmek, et, organ, goosh, bağırsak, sulu, splat"],
["VAHŞET","SAPLAMA","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","dilimlemek, kazığa oturtmak, bıçaklamak, kesmek, vorpal, parçalamak"],
["ATEŞLİ SİLAH","ANTİKA","GUNAntq","GUN","Old black powder weapons, muskets.","ağızdan dolma tüfek, misket tüfeği, kara barut, çakmaklı tüfek, uzun namlulu tüfek, ateş mızrağı"],
["ATEŞLİ SİLAH","AĞIR TOP","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","obüs, uçaksavar topu, füze fırlatıcı, bazuka, havan, roket, deniz"],
["ATEŞLİ SİLAH","OTOMATİK","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47, m16, makineli tüfek, tommy gun, uzi, m249, M1919, gatling gun, minigun, "],
["ATEŞLİ SİLAH","TOP","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","blunderbuss, handcannon, cannon, black powder"],
["ATEŞLİ SİLAH","KULLANMAK & TUTMAK","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","kılıf, silah, silah tutma, silah yakalama, silah düşürme, silah doldurma"],
["ATEŞLİ SİLAH","TEKNOLOJİK","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","raylı silah, casus silahı"],
["ATEŞLİ SİLAH","MEKANİZMA","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","şarjör, horoz, silah takırtısı, sürgü, şarjör, mermi doldurma, silah horozu"],
["ATEŞLİ SİLAH","DİĞER","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","işaret fişeği tabancası, hava tabancası, paintball tabancası"],
["ATEŞLİ SİLAH","TABANCA","GUNPis","GUN","Handguns and pistols.","9mm, tabanca, revolver, glock, tabanca, colt, smith & wesson, sig sauer, luger, walther ppk, browning, ruger, beretta"],
["ATEŞLİ SİLAH","TÜFEK","GUNRif","GUN","Rifles, single shot and semi-automatic.","tüfek, mauser, casull, arisaka, luger, karabina, powell, keskin nişancı, avcılık, yarı otomatik"],
["ATEŞLİ SİLAH","POMPALI","GUNShotg","GUN","Shotguns, single, dual, pump.","av tüfeği, çift namlu, mossberg, winchester, coach gun"],
["ATEŞLİ SİLAH","SUSTURUCULU","GUNSupr","GUN","Silenced Weapons, silencers.","susturulmuş, susturucu"],
["KORNA","HAVALI","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","sis kornası, havalı korna, fabrika kornası"],
["KORNA","KUTLAMA","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","parti kornası, vuvuzela"],
["KORNA","DİĞER","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","av çağrısı, geyik çağrısı, ördek çağrısı, tilki borazanı"],
["KORNA","GELENEKSEL","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","shofar, konk, konk kabuğu, savaş borusu, alp borusu, alpenhorn"],
["İNSAN","ÜFLEME","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","üfle, nefes ver"],
["İNSAN","NEFES","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","nefes, iç çekmek, nefes almak, nefes vermek, soluk soluğa kalmak, hırıltı, huff, heave, whoop, solunum, inhalasyon, ekshalasyon"],
["İNSAN","GEĞİRME","HMNBurp","HMN","Human belches, burps.","geğirmek, geğirmek, hıçkırmak"],
["İNSAN","ÖKSÜRÜK","HMNCough","HMN","Human coughs and coughing.","Hack, ahem, hoarse, clear throat"],
["İNSAN","KALP ATIŞI","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","çarpıntı, bumbum"],
["İNSAN","ÖPÜCÜK","HMNKiss","HMN","Human kissing.","öpücük, gagalama"],
["İNSAN","DİĞER","HMNMisc","HMN","Human sounds not fitting another category in this list.","ÇEŞİTLİ"],
["İNSAN","ÇİŞ & İŞEMEK","HMNPee","HMN","Human urinating.","işemek, idrar yapmak, çiş yapmak, idrar yapmak, tinkle, wizz"],
["İNSAN","CİLT & TEN","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","sürtünme, kaşıma, deri, kaşıntı, tokat, el tutma, el sıkışma, okşama, ovma, sırt sıvazlama"],
["İNSAN","HAPŞURUK","HMNSneez","HMN","Human sneezing.","hapşırık, ah-choo"],
["İNSAN","KOKLAMA & BURUN ÇEKME","HMNSniff","HMN","Human sniffing, smelling.","koklamak, koklamak, koklamak, burnunu çekmek"],
["İNSAN","HORLAMA","HMNSnor","HMN","Human snoring.","horlama, zzz, tıkanıklık, ağır nefes alma, apne"],
["İNSAN","TÜKÜRME","HMNSpit","HMN","Human spits.","tükürmek, hock, kusmak, spittoon, drool"],
["İNSAN","KUSMA","HMNVomit","HMN","Human vomiting.","kusmak, puke, upchuck, expunge, heave, gag, retch, hurl, spew, seasick"],
["BUZ","KIRMA","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","kırılmak, çatlamak, yırtılmak, parçalanmak, çatırdamak"],
["BUZ","ÇÖKME & MOLOZ","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","çarpma, düşme, enkaz"],
["BUZ","SÜRTÜNME","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","stres, sıyrık, gıcırtı, gıcırtı, gıcırtı"],
["BUZ","KULLANMAK & TUTMAK","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["BUZ","DARBE","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","vurmak, düşürmek, çarpmak, çarpışmak, takırdamak, çınlamak, çınlamak, kesmek"],
["BUZ","DİĞER","ICEMisc","ICE","Ice sounds not fitting another category in this list.","ÇEŞİTLİ"],
["BUZ","HAREKET","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","sürüklemek, yuvarlamak, takırdatmak, sallamak"],
["BUZ","TONAL","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","yay, yüzük, shing"],
["LAZER","IŞIN","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","ışın, gama, ışın"],
["LAZER","SİLAH","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","plazma silahı, blaster, lazer topu"],
["LAZER","DARBE","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","lazer, blaster, çarpma, vurma, cızırtı"],
["LAZER","DİĞER","LASRMisc","LASR","Laser sounds not fitting another category in this list.","ÇEŞİTLİ"],
["DERİ","GICIRTI","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","gıcırtı, stres, gerginlik"],
["DERİ","KULLANMAK & TUTMAK","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["DERİ","DARBE","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","vurmak, çarpmak, kapmak, güm, güm"],
["DERİ","DİĞER","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","ÇEŞİTLİ"],
["DERİ","HAREKET","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","flap, flop, rustle, mvmt, slide"],
["SIVI & ÇAMUR","BALONCUK","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","kabarcık, köpük, pop, çamur"],
["SIVI & ÇAMUR","DARBE","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","splat, splatter, hit, impact, plop, kerplunk, plunk, mud"],
["SIVI & ÇAMUR","DİĞER","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","ÇEŞİTLİ"],
["SIVI & ÇAMUR","HAREKET","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","sızıntı, balçık, yapışkan, çamur"],
["SIVI & ÇAMUR","EMME","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","emme, höpürdetme, glomp, piston, çamur"],
["MAKİNE","EĞLENCE","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","rollercoaster, atlıkarınca, scrambler, tilt-a-whirl, kiddy ride, tema parkı yolculuğu, langırt, skeeball"],
["MAKİNE","ANTİKA","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","matbaa, dikiş makinesi, zeytin presi, tereyağı yayığı"],
