[["ILMA","PUHALLUS","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","paineilma, paineenalennus, vapautus, puhallus, räiskintä, räpyttely, huuhtelu, puhdistus"],
["OVI","KOMERO","DOORCab","DOOR","Cabinet doors, such as kitchen cabinet, tool cabinets.","kaappi, keittiökaappi, työkalukaappi"],
["OVI","KOMPOSIITTI","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","lasikuitu, ovi"],
["OVI","NARINA","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","narina, ovi, luola, kellari, linna, puuovi, metalliovi, oven narina, ovi narina"],
["OVI","TYRMÄ","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","linna, tyrmä, suuri, kellari, kellari"],
["OVI","SÄHKÖ","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","sähköinen ovi, autotallin ovi, äänimaisema ovi, automaattinen ovi"],
["OVI","PORTTI","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","puutarhan portti, aidan portti, puiston portti, rautatien ylitys, karjan portti, maatilan portti"],
["OVI","LASI","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","lasiovi, myymälän ovi, erkkeriovi, ranskalainen ovi"],
["OVI","KAHVA & LUKKO","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","ovenkahva, lukkorauta, työntötanko, ketjulukko, sarana, salpa, kahva, rautakauppa, lukkopoiminta, jiggle"],
["OVI","HITECH","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","laboratorion ovi"],
["OVI","AUTOMAATTI","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","ovensuljin, pneumaattinen, hydraulinen, sähkökäyttöinen luukku"],
["OVI","KOPUTUS","DOORKnck","DOOR","Knocking on various door surfaces.","koputus, koputus, koputin, pamaus, pamaus, pamaus, pamaus"],
["OVI","METALLI","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","rollup, holvi, kassakaappi, luukku"],
["OVI","SEKALAINEN","DOORMisc","DOOR","Door sounds not fitting another category in this list.","sekalaiset"],
["OVI","MUOVI","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta wc, porta let, porta pottie"],
["OVI","VANKILA","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","vankilan ovi, vankilan ovi"],
["OVI","PYÖRÖOVI","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","revolve, rotate, pyörivä ovi, hotelli, lentokenttä, ostoskeskus"],
["OVI","LIUKUOVI","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","lasiliukuovi, terassin ovi, suihkun ovi"],
["OVI","KIVI","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","hauta, krypta, temppeli, mausoleumi, salainen sisäänkäynti"],
["OVI","HEILURI","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","saluunan ovi, liikenneovi, ravintolan ovi, kirkon saarnastuolin ovi"],
["OVI","PUU","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","sisäänkäynti, ulko-ovi, kaappi"],
["VETOLAATIKKO","METALLI","DRWRMetl","DRWR","Metal drawers like on a toolbox.","työkalulaatikko, hyllylaatikko, arkistokaappi, kassakone, turvalaatikko"],
["VETOLAATIKKO","SEKALAINEN","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","sekalaiset"],
["VETOLAATIKKO","MUOVI","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","varaosalaatikko, työpöydän järjestelijä"],
["VETOLAATIKKO","PUU","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","keittiön laatikko, kylpyhuoneen laatikko"],
["SÄHKÖ","VALOKAARI","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","Jaakobin tikkaat, tesla-kela, arkki, kaari, voimalaitos, sähköisku"],
["SÄHKÖ","SURINA & HUMINA","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","maahumina, vahvistimen humina, vahvistimen surina, kaiuttimen humina, kaiuttimen surina, humina, surina, induktiohumina, induktiohumina"],
["SÄHKÖ","ELEKTROMAGNEETTINEN","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, kela, poiminta, induktio, induktio"],
["SÄHKÖ","SEKALAINEN","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","sekalaiset"],
["SÄHKÖ","KIPINÄ","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","kipinöinti, hitsaus, sputterointi, oikosulku"],
["SÄHKÖ","ZAP","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","purkaus, taser, taser, sähköshokki"],
["VARUSTEET","ELÄIN","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","talutushihna, ohjakset, talutushihna, valjaat, koiran talutushihna, satulahihna"],
["VARUSTEET","HITECH","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","avaruuspuku, apuvyö"],
["VARUSTEET","SEKALAINEN","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","sekalaiset"],
["VARUSTEET","MATKUSTUS","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","reppu, vaellus, vaellus, vuorikiipeily, kiipeily, kalliokiipeily, leiriytyminen, teltta, teltta"],
["VARUSTEET","URHEILU","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","olkapääsuoja, polvisuoja, säärisuoja, säärisuojus, urheiluhihna"],
["VARUSTEET","TAKTINEN","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","vyö, taktinen, virkavyö, ammusvyö, poliisi, armeija, panssarivaunuvyö."],
["RÄJÄHDYS","DESIGN","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","shockwave, makeutusaine, kaiku"],
["RÄJÄHDYS","SEKALAINEN","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","detonation"],
["RÄJÄHDYS","REALISTINEN","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","bang, implosio, crack, pop"],
["PIERU","DESIGN","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","kitti, razzberry, raspberry, whoopie cushion, flarp, kainalo, fartbag, ilmapallo, balloon"],
["PIERU","SEKALAINEN","FARTMisc","FART","Fart sounds not fitting another category in this list.","eläin pieru"],
["PIERU","REALISTINEN","FARTReal","FART","Real recordings of farts.","ihmisen pieru, ilmavaivat, pieru, pieru, pieru, pieru"],
["TAISTELU","BODYFALL","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","bodyfall, body drag, scuffle, body slam, tackle, taklaus"],
["TAISTELU","VAATE","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","taistelukangas, tarttuminen, nappaaminen, kangasisku, kangasosuma, kangasosuma"],
["TAISTELU","TARTTUMINEN","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","combat, grable, grapple, grapple, paini, judo"],
["TAISTELU","ISKU","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","lyönti, potku, kehonisku, läpsäisy, läpsäisy, rähinä, tönäisy, nokitus, yläviimeinen lyönti, jab"],
["TAISTELU","SEKALAINEN","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","sekalaiset"],
["TULI","PALAMINEN","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","nuotio, leirituli, pensaspalo, rakennuspalo, tulipalo, inferno, palaminen, sytytys, tuhkapallo, roihu, roihu"],
["TULI","RÄJÄHDYS","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","backdraft, lohikäärmeen tuli, nielaista."],
["TULI","RITINÄ","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","pop, sylkäisy, napsahdus, kimallus"],
["TULI","KAASU","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","kaasugrilli, bunsenpoltin, uuni, retkikeitin, keittiön liesi, krematorio, kaasuliesi"],
["TULI","SYTYTYS","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","tulitikku, sytytin, zippo, syttyy, purkautuu, syttyy tuleen, syttyy tuleen."],
["TULI","SEKALAINEN","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","sekalaiset"],
["TULI","KÄRISTYS","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","palopokeri, sulake, sulake palaa"],
["TULI","SOIHTU","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","soihtu, sytytyslanka, soihtu, tulisoihtu, liekkitikku, cresset"],
["TULI","PYÖRRE","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","palopyörre, väkivaltainen tuli, liekinheittäjä, palotornado, nielaista, takapyörre, takatuuli"],
["TULI","HUMAHDUS","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","tulipallo, liekki, molotov, soihtu, takatuuli"],
["ILOTULITE","SUURI","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","kranaatinheitin, ilotulitus, pyrotekniikka, kaboom, kranaatti, ilotulitusnäyttö"],
["ILOTULITE","SEKALAINEN","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","sekalaiset"],
["ILOTULITE","PIENI","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","ilotulitusraketti, m80, tuikkukipinä, pulloraketti, savupommi, jumping jack, roomalainen kynttilä, popper, kirsikkapommi."],
["FOLEY","VAATE","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","rätinä, liike, mvmt, zuzz, zuzz"],
["FOLEY","ASKEL","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","jalka, kenkä, askellus, pinta"],
["FOLEY","KÄSI","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","pat, grab, handle, set"],
["FOLEY","SEKALAINEN","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","sekalaiset"],
["FOLEY","PROP","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","rekvisiitta, rekvisiitta"],
["RUOKA & JUOMA","KOKKAUS","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","pilkkominen, viipaloiminen, kuutioiminen, sekoittaminen, sekoittaminen, vatkaaminen, paistaminen, paistaminen, keittäminen, grillaaminen, sihisevä, höyryttäminen, hauduttaminen, sekoittaminen, hauduttaminen."],
["RUOKA & JUOMA","JUOMINEN","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","sip, slurp, drink, swallow, gulp, beverage, swig, chug, glug, glugg"],
["RUOKA & JUOMA","SYÖMINEN","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","syödä, rouskuttaa, pureskella, niellä, munch, chomp, purra, niellä, kuluttaa, juhla, ruokkia"],
["RUOKA & JUOMA","LASI","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","pullo, lasi, kuppi, kannu, kannu, karahvi, tölkki"],
["RUOKA & JUOMA","AINESOSA","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","pähkinä, siemen, vilja, vihannes, hedelmä, säilykkeet, vilja, liha, kaura, maissi."],
["RUOKA & JUOMA","KEITTIÖVÄLINE","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","pannu, pata, pataruukku, pataruukku, paistinpannu, kattila, kattila"],
["RUOKA & JUOMA","SEKALAINEN","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","sekalaiset"],
["RUOKA & JUOMA","KAATO","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","pour, flow, spill, serve"],
["RUOKA & JUOMA","RUOKAILUVÄLINE","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","hopeaesineet, astiat, lasin kilinää"],
["ASKEL","ELÄIN","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","kävellä, juosta, spurtata"],
["ASKEL","HIRVIÖ","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","dinosaurus, olento, peto, lohikäärme, myyttinen"],
["ASKEL","HEVONEN","FEETHors","FEET","All manner of horse feet, from single to running.","walk, trot, gallop, kavio, kaviot, canter, canter"],
["ASKEL","IHMINEN","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","walk, run, foot, jog, sprint, jump, skip, hobble, hike, hike, askel, footstep, feet, step, climb, kiivetä"],
["ASKEL","SEKALAINEN","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","sekalaiset"],
["PELI","ARCADE","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","flipperipallo, whack-a-mole, skeeball, kynsikone"],
["PELI","LAUTAPELI","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","shakki, tammi, go, backgammon..."],
["PELI","KASINO","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","ruletti, kolikkopeli, craps, rahapyörä, keno, pokerikone, pokerikone."],
["PELI","SEKALAINEN","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","pokeri, kortti, jenga, noppa, rystyset,"],
["PELI","VIDEO","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp"],
["GEOTERMINEN","HÖYRY","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","höyryaukko, geoterminen, fumaroli"],
["GEOTERMINEN","GEYSIR","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","suihku, suihku, kupla, kiehua, kiehua"],
["GEOTERMINEN","LAAVA","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","laava, virtaus, särö, viskoosi, roihu, rummutus, tulivuori..."],
["GEOTERMINEN","SEKALAINEN","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","kupliva kuuma allas"],
["GEOTERMINEN","MUTA","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","mudpot, paint pot, tervakuoppa, muta, kupla, glop, glopsi"],
["LASI","HAJOAMINEN","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","lasi rikkoutuu, särkyy, pirstoutuu"],
["LASI","MURSKAUS & SIRPALEET","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","sirpale, sirpale, törmäys, roskat"],
["LASI","KITKA","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","stressi, raapiminen, narina, vinkuminen, kitinä, narina"],
["LASI","KÄSITTELY","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","käsitellä, tarttua, asettaa, poimia, laskea alas, heittää, ottaa kiinni"],
["LASI","ISKU","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","lyödä, pudottaa, törmätä, kilahtaa"],
["LASI","SEKALAINEN","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","sekalaiset"],
["LASI","LIIKE","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","rytinä, rulla, ping, rätinä, kolina"],
["LASI","TONAALINEN","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","resonoi, soi, soi, soi, lasiharmonikka, kristallimalja"],
["GORE","VERI","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","tippua, virrata, suihkua, roiskua, roiskua, suihkua"],
["GORE","LUU","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","luun napsahdus, luun murtuminen, luun murtuminen, leuan napsahdus, leuat"],
["GORE","PALAMINEN","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","sizzle, cauterize, näkijä, brändi"],
["GORE","LIHA","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","repiä, kuoria, repiä, repiä, repiä, suolisto, liha, haava, haavoittaa"],
["GORE","SEKALAINEN","GOREMisc","GORE","Gore sounds not fitting another category in this list.","sekalaiset"],
["GORE","NESTE","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","tihkua, limaa, virtaa, liivatetta"],
["GORE","RAAKAMATERIAALI","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","goosh, squish, goop, slime, ooze, glop, organ, suolisto, juicy, goo, splat, ooze, rip, peel, stic, repiä, repiä, rend, suolisto, liha, haava, slice, impale, juicy, splat"],
["GORE","ROISKAUS","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","goosh, squish, goop, slime, ooze, glop, elin, suolisto, mehukas, goo, splat"],
["GORE","LIISKAUS","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","squish, liha, elin, lima, suolisto, mehukas, splatti"],
["GORE","ISKU","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","viipaloida, seivästää, puukottaa, leikata, paloitella, paloitella..."],
["TULIASE","ANTIIKKI","GUNAntq","GUN","Old black powder weapons, muskets.","muzzleloader, musketti, mustaruuti, kivilukko, pitkäpiippu, tulitikkuna"],
["TULIASE","TYKISTÖ","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","haupitsi, ilmatorjuntatykki, ohjuslaukaisin, sinko, kranaatinheitin, raketti, laivasto"],
["TULIASE","AUTOMAATTI","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47, m16, konekivääri, tommy gun, uzi, m249, M1919, gatling gun, minigun, "],
["TULIASE","TYKKI","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","räiskintäpistooli, käsitykki, tykki, mustaruuti"],
["TULIASE","KÄSITTELY","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","holsteri, ase, aseen nappaaminen, aseen kiinniottaminen, aseen pudottaminen, aseen lataaminen."],
["TULIASE","HITECH","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","kiskoase, vakooja-ase"],
["TULIASE","MEKANISMI","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","clip, cocking, gun rattle, bolt slide, lipas, luodin lataus, gun cock"],
["TULIASE","SEKALAINEN","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","valopistooli, ilmapistooli, paintball-pistooli"],
["TULIASE","PISTOOLI","GUNPis","GUN","Handguns and pistols.","9mm, pistooli, revolveri, glock, käsiase, colt, smith & wesson, sig sauer, luger, walther ppk, browning, ruger, beretta"],
["TULIASE","KIVÄÄRI","GUNRif","GUN","Rifles, single shot and semi-automatic.","kivääri, mauser, casull, arisaka, luger, karbiini, powell, tarkka-ampuja, metsästys, puoliautomaatti"],
["TULIASE","HAULIKKO","GUNShotg","GUN","Shotguns, single, dual, pump.","haulikko, kaksoispiippuinen, mossberg, winchester, valmentaja-aseet"],
["TULIASE","ÄÄNENVAIMENNIN","GUNSupr","GUN","Silenced Weapons, silencers.","äänenvaimennettu, äänenvaimennin"],
["TORVI","ILMASIREENI","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","sumutorvi, ilmatorvi, tehdastorvi"],
["TORVI","JUHLA","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","juhlatorvi, vuvuzela"],
["TORVI","SEKALAINEN","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","metsästyskutsu, hirvikutsu, sorsakutsu, ketun torvi"],
["TORVI","PERINTEINEN","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","shofar, käyrätorvi, käyrätorvi, käyrätorvi, taistelutorvi, alppitorvi, alppitorvi, alppitorvi"],
["IHMINEN","PUHALLUS","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","puhallus, uloshengitys"],
["IHMINEN","HENGITYS","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","hengitys, huokaus, sisäänhengitys, uloshengitys, henkäys, huohotus, vinkuna, henkäys, huohotus, uloshengitys, hengitys, sisäänhengitys, uloshengitys"],
["IHMINEN","RÖYHTÄYS","HMNBurp","HMN","Human belches, burps.","röyhtäisy, röyhtäily, hikkaus"],
["IHMINEN","YSKÄ","HMNCough","HMN","Human coughs and coughing.","hack, ahem, hoarse, clear throat (kurkun tyhjennys)"],
["IHMINEN","SYDÄMENLYÖNTI","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","sydämentykytys, bumbum"],
["IHMINEN","SUUDELMA","HMNKiss","HMN","Human kissing.","smooch, peck"],
["IHMINEN","SEKALAINEN","HMNMisc","HMN","Human sounds not fitting another category in this list.","sekalaiset"],
["IHMINEN","PISSA","HMNPee","HMN","Human urinating.","pissaaminen, virtsaaminen, pissattaa, virtsata, pissata, pissata, pissata, pissata, pissata, pissata, pissata, pissata"],
["IHMINEN","IHO","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","hankaus, raapiminen, iho, kutina, läpsäisy, käden ote, kädenpuristus, hyväily, hankaus, selän kuorinta"],
["IHMINEN","AIVASTAMINEN","HMNSneez","HMN","Human sneezing.","aivastelu, ah-ku"],
["IHMINEN","HAISTAA","HMNSniff","HMN","Human sniffing, smelling.","haistella, haistella, haistaa, nuuskailla."],
["IHMINEN","KUORSAUS","HMNSnor","HMN","Human snoring.","kuorsaus, zzz, tukkoinen, raskas hengitys, apnea"],
["IHMINEN","SYLKÄISY","HMNSpit","HMN","Human spits.","sylkeä, hokea, sylkeä, sylkeä, kuolata"],
["IHMINEN","OKSENNUS","HMNVomit","HMN","Human vomiting.","oksentaa, oksentaa, oksentaa, oksentaa, oksentaa, oksentaa, oksentaa, oksentaa, oksentaa, oksentaa, oksentaa, oksentaa, merisairas"],
["JÄÄ","HAJOAMINEN","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","särkyä, halkeilla, repeytyä, murskaantua, rapistua"],
["JÄÄ","MURSKAUS & PIRSTALEET","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","törmäys, putoaminen, roskat"],
["JÄÄ","KITKA","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","rasitus, raapiminen, narina, vinkuminen, kitinä, narina."],
["JÄÄ","KÄSITTELY","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","käsitellä, tarttua, asettaa, noutaa, laskea, heittää, ottaa kiinni."],
["JÄÄ","ISKU","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","hit, drop, impact, crash, clunk, clang, clink, chop, chop"],
["JÄÄ","SEKALAINEN","ICEMisc","ICE","Ice sounds not fitting another category in this list.","sekalaiset"],
["JÄÄ","LIIKE","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","raahata, rullata, rätistä, ravistella"],
["JÄÄ","TONAALINEN","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","jousi, rengas, shing"],
["LASER","SÄDE","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","beam, gamma, ray"],
["LASER","ASE","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","plasma-ase, räjäytin, lasertykki."],
["LASER","ISKU","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","laser, blaster, isku, osuma, sizzle, sizzle"],
["LASER","SEKALAINEN","LASRMisc","LASR","Laser sounds not fitting another category in this list.","sekalaiset"],
["NAHKA","NARINA","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","narina, stressi, jännitys"],
["NAHKA","KÄSITTELY","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","käsitellä, tarttua, asettaa, poimia, asettaa alas, heittää, ottaa kiinni"],
["NAHKA","ISKU","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","osuma, isku, tartunta, rysähdys, rysähdys, rysähdys"],
["NAHKA","SEKALAINEN","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","sekalaiset"],
["NAHKA","LIIKE","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","räpläys, räpläys, rätinä, mvmt, liukuminen"],
["NESTE & MUTA","KUPLA","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","kupla, vaahto, pop, muta"],
