[["AIR","BLOW","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","compressed air, depressurise, release, puff, sputter, flutter, purge"],
["FIGHT","MISC","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","miscellaneous"],
["FIRE","BURNING","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","bonfire, campfire, brush fire, structure fire, blaze, inferno, combustion, tinder, pyre"],
["FIRE","BURST","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","backdraft, dragon fire, engulf"],
["FIRE","CRACKLE","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","pop, spit, snap, sparkle"],
["FIRE","GAS","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","gas grill, bunsen burner, furnace, camping stove, kitchen stove, crematorium, gas range"],
["FIRE","IGNITE","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","match, lighter, zippo, enflame, erupt, flame up, inflame"],
["FIRE","MISC","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","miscellaneous"],
["FIRE","SIZZLE","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","fire poker, fuse, fuse burn"],
["FIRE","TORCH","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","flare, fuse, torch, firebrand, flaming stick, cresset"],
["FIRE","TURBULENT","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","fire swirl, violent fire, flame thrower, fire tornado, engulf, backdraft"],
["FIRE","WHOOSH","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","fireball, blaze, molotov, flare, backdraft"],
["FIREWORKS","COMMERCIAL","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","mortar, firework, pyrotechnics, kaboom, shell, fireworks display"],
["FIREWORKS","MISC","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","miscellaneous"],
["FIREWORKS","RECREATIONAL","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","firecracker, m80, sparkler, bottle rocket, smoke bomb, jumping jack, roman candle, popper, cherry bomb"],
["FOLEY","CLOTH","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","rustle, movement, mvmt, zuzz"],
["FOLEY","FEET","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","foot, shoe, footstep, surface"],
["FOLEY","HANDS","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","pat, grab, handle, set"],
["FOLEY","MISC","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","miscellaneous"],
["FOLEY","PROP","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","prop, props"],
["FOOD & DRINK","COOKING","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","chopping, slicing, dicing, mixing, blending, whisking, saute, fry, boil, grill, sizzle, steam, stew, stir, saute"],
["FOOD & DRINK","DRINKING","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","sip, slurp, drink, swallow, gulp, beverage, swig, chug, glug"],
["FOOD & DRINK","EATING","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","eat, crunch, chew, swallow, munch, chomp, bite, ingest, consume, feast, feed"],
["FOOD & DRINK","GLASSWARE","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","bottle, glass, cup, jug, carafe, can"],
["FOOD & DRINK","INGREDIENTS","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","nut, seed, grain, vegetable, fruit, canned food, cereal, meat, oats, maize"],
["FOOD & DRINK","KITCHENWARE","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","pan, pot, stewpan, stockpot, frying pan, saucepan"],
["FOOD & DRINK","MISC","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","miscellaneous"],
["FOOD & DRINK","POUR","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","pour, flow, spill, serve"],
["FOOD & DRINK","TABLEWARE","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","silverware, utensils, glass clink"],
["FOOTSTEPS","ANIMAL","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","walk, run, sprint"],
["FOOTSTEPS","CREATURE","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","dinosaur, creature, beast, dragon, mythical"],
["FOOTSTEPS","HORSE","FEETHors","FEET","All manner of horse feet, from single to running.","walk, trot, gallop, hoof, hooves, canter"],
["FOOTSTEPS","HUMAN","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","walk, run, foot, jog, sprint, jump, skip, hobble, hike, stride, footstep, feet, step, climb"],
["FOOTSTEPS","MISC","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","miscellaneous"],
["GAMES","ARCADE","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","pinball, whack-a-mole, skeeball, claw machine"],
["GAMES","BOARD","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","chess, checkers, go, backgammon"],
["GAMES","CASINO","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","roulette, slot machine, craps, moneywheel, keno, poker machine"],
["GAMES","MISC","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","poker, card, jenga, dice, knucklebone,"],
["GAMES","VIDEO","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp"],
["GEOTHERMAL","FUMAROLE","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","steam vent, geothermal, fumarole"],
["GEOTHERMAL","GEYSER","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","spout, spray, bubble, boil"],
["GEOTHERMAL","LAVA","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","lava, flow, crackle, viscous, flare, rumble, volcano"],
["GEOTHERMAL","MISC","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","bubbling hot pool"],
["GEOTHERMAL","MUD POTS","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","mudpot, paint pot, tar pit, mud, bubble, glop"],
["GLASS","BREAK","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","glass break, smash, shatter"],
["GLASS","CRASH & DEBRIS","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","shard, fragment, crash, debris"],
["GLASS","FRICTION","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","stress, scrape, creak, squeak, screech"],
["GLASS","HANDLE","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","handle, grab, set, pickup, set down, toss, catch"],
["GLASS","IMPACT","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","hit, drop, impact, clink"],
["GLASS","MISC","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","miscellaneous"],
["GLASS","MOVEMENT","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","rattle, roll, ping, clatter"],
["GLASS","TONAL","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","resonate, ring, tonal, glass harmonica, crystal bowl"],
["GORE","BLOOD","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","drip, flow, gush, spurt, spray"],
["GORE","BONE","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","bone snap, bone break, bone shatter, jaw snap, jaws"],
["GORE","BURN","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","sizzle, cauterize, seer, brand"],
["GORE","FLESH","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","rip, peel, tear, rend, intestine, meat, wound"],
["GORE","MISC","GOREMisc","GORE","Gore sounds not fitting another category in this list.","miscellaneous"],
["GORE","OOZE","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","ooze, slime, flow, gelatin"],
["GORE","SOURCE","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","goosh, squish, goop, slime, ooze, glop, organ, intestine, juicy, goo, splat, ooze, rip, peel, stab, tear, rend, intestine, meat, wound, slice, impale, juicy, splat"],
["GORE","SPLAT","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","goosh, squish, goop, slime, ooze, glop, organ, intestine, juicy, goo, splat"],
["GORE","SQUISH","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","squish, flesh, organ, goosh, intestine, juicy, splat"],
["GORE","STAB","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","slice, impale, stab, cut, vorpal, dismember"],
["GUNS","ANTIQUE","GUNAntq","GUN","Old black powder weapons, muskets.","muzzleloader, musket, black powder, flintlock, longrifle, fire lance"],
["GUNS","ARTILLERY","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","howitzer, anti-aircraft gun, missile launcher, bazooka, mortar, rocket, naval"],
["GUNS","AUTOMATIC","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47, m16, machine gun, tommy gun, uzi, m249, M1919, gatling gun, minigun, "],
["GUNS","CANNON","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","blunderbuss, handcannon, cannon, black powder"],
["GUNS","HANDLE","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","holster, gun, gun grab, gun catch, gun drop, gun load"],
["GUNS","HITECH","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","rail gun, spy gun"],
["GUNS","MECHANISM","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","clip, cocking, gun rattle, bolt slide, magazine, bullet loading, gun cock"],
["GUNS","MISC","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","flare gun, air gun, paintball gun"],
["GUNS","PISTOL","GUNPis","GUN","Handguns and pistols.","9mm, pistol, revolver, glock, handgun, colt, smith & wesson, sig sauer, luger, walther ppk, browning, ruger, beretta"],
["GUNS","RIFLE","GUNRif","GUN","Rifles, single shot and semi-automatic.","rifle, mauser, casull, arisaka, luger, carbine, powell, sniper, hunting, semi-automatic"],
["GUNS","SHOTGUN","GUNShotg","GUN","Shotguns, single, dual, pump.","shotgun, double barrel, mossberg, winchester, coach gun"],
["GUNS","SUPPRESSED","GUNSupr","GUN","Silenced Weapons, silencers.","silenced, silencer"],
["HORNS","AIR POWERED","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","fog horn, air horn, factory horn"],
["HORNS","CELEBRATION","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","party horn, vuvuzela"],
["HORNS","MISC","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","hunting call, elk call, duck call, fox bugle"],
["HORNS","TRADITIONAL","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","shofar, conch, conch shell, battle horn, alphorn, alpine horn, alpenhorn"],
["HUMAN","BLOW","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","blow, exhale"],
["HUMAN","BREATH","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","breath, sigh, inhale, exhale, gasp, pant, wheeze, huff, heave, whoop, respiration, inhalation, exhalation"],
["HUMAN","BURP","HMNBurp","HMN","Human belches, burps.","burp, belch, hiccup"],
["HUMAN","COUGH","HMNCough","HMN","Human coughs and coughing.","hack, ahem, hoarse, clear throat"],
["HUMAN","HEARTBEAT","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","palpitation, bumbum"],
["HUMAN","KISS","HMNKiss","HMN","Human kissing.","smooch, peck"],
["HUMAN","MISC","HMNMisc","HMN","Human sounds not fitting another category in this list.","miscellaneous"],
["HUMAN","PEE","HMNPee","HMN","Human urinating.","peeing, urinating, pee, urinate, tinkle, wizz"],
["HUMAN","SKIN","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","rubbing, scratching, skin, itch, slap, hand grab, handshake, caress, rub, backrub"],
["HUMAN","SNEEZE","HMNSneez","HMN","Human sneezing.","sneeze, ah-choo"],
["HUMAN","SNIFF","HMNSniff","HMN","Human sniffing, smelling.","sniff, sniffing, smell, sniffle"],
["HUMAN","SNORE","HMNSnor","HMN","Human snoring.","snore, zzz, congested, heavy breathing, apnea"],
["HUMAN","SPIT","HMNSpit","HMN","Human spits.","spit, hock, spew, spittoon, drool"],
["HUMAN","VOMIT","HMNVomit","HMN","Human vomiting.","vomit, puke, upchuck, expunge, heave, gag, retch, hurl, spew, seasick"],
["ICE","BREAK","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","break, crack, rips, shatter, crunch"],
["ICE","CRASH & DEBRIS","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","crash, fall, debris"],
["ICE","FRICTION","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","stress, scrape, creak, squeak, screech"],
["ICE","HANDLE","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","handle, grab, set, pickup, set down, toss, catch"],
["ICE","IMPACT","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","hit, drop, impact, crash, clunk, clang, clink, chop"],
["ICE","MISC","ICEMisc","ICE","Ice sounds not fitting another category in this list.","miscellaneous"],
["ICE","MOVEMENT","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","drag, roll, rattle, shake"],
["ICE","TONAL","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","bow, ring, shing"],
["LASERS","BEAM","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","beam, gamma, ray"],
["LASERS","GUN","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","plasma weapon, blaster, laser cannon"],
["LASERS","IMPACT","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","laser, blaster, impact, hit, sizzle"],
["LASERS","MISC","LASRMisc","LASR","Laser sounds not fitting another category in this list.","miscellaneous"],
["LEATHER","CREAK","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","creak, stress, tension"],
["LEATHER","HANDLE","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","handle, grab, set, pickup, set down, toss, catch"],
["LEATHER","IMPACT","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","hit, impact, grab, thud, thump"],
["LEATHER","MISC","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","miscellaneous"],
["LEATHER","MOVEMENT","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","flap, flop, rustle, mvmt, slide"],
["LIQUID & MUD","BUBBLES","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","bubble, foam, pop, mud"],
["LIQUID & MUD","IMPACT","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","splat, splatter, hit, impact, plop, kerplunk, plunk, mud"],
["LIQUID & MUD","MISC","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","miscellaneous"],
["LIQUID & MUD","MOVEMENT","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","ooze, slime, goo, mud"],
["LIQUID & MUD","SUCTION","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","suction, slurp, glomp, plunger, mud"],
["MACHINES","AMUSEMENT","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","rollercoaster, merry-go-round, scrambler, tilt-a-whirl, kiddy ride, theme park ride, pinball, skeeball"],
["MACHINES","ANTIQUE","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","printing press, sewing machine, olive press, butter churn"],
["MACHINES","APPLIANCE","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","oven, fridge, refrigerator, blender, food processor, hair dryer, ice maker, washing machine, dryer, iron, coffee maker, dishwasher, electric can opener, garbage disposal, humidifier, dehumidifier, sewing machine, toaster, waffle maker, griddle, hot plate"],
["MACHINES","CONSTRUCTION","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","crane, cement mixer, wood chipper"],
["MACHINES","ELEVATOR","MACHElev","MACH","Elevator movement and doors would go here.","paternoster, freight elevator, passenger elevator, lift"],
["MACHINES","ESCALATOR","MACHEscl","MACH","Escalators and moving walkways would go here.","travelator, moving walkway"],
["MACHINES","FAN","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","fan, ceiling fan, box fan, industrial fan, bladeless fan"],
["MACHINES","GARDEN","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","lawnmower, weedwhacker, edger, chainsaw, trimmer, polesaw, mulcher, cultivator"],
["MACHINES","GYM","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","treadmill, eliptical, rowing machine, exercise bike, stationary bike, nordictrack, stair climber."],
["MACHINES","HITECH","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","gadget, digital, handheld"],
["MACHINES","HVAC","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","aircon, air conditioning, heating."],
["MACHINES","INDUSTRIAL","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","hydraulic press, assembly line, distillery, punch press, form press+F437:F450"],
["MACHINES","MECHANISM","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","puzzle box, rube goldberg, gizmo"],
["MACHINES","MEDICAL","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","x-ray machines, mri, cat scan, pet scan, blood pressure machine, lab test machine, centrifuge, ventilator, defibrillator"],
["MACHINES","MISC","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","miscellaneous"],
["MACHINES","OFFICE","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","fax machine, facsimile machine, telefax, copy machine, printer, shredder, xerox, photocopier, mimeograph, laser printer, inkjet, paper shredder, plotter"],
["MACHINES","PUMP","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","water pump, sump pump, compressor, air compressor"],
["MAGIC","ANGELIC","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","holy, celestial, ethereal, divine, spiritual, beatific, righteous, saintly"],
["MAGIC","ELEMENTAL","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","fire, water, earth, electric, air, wind"],
["MAGIC","EVIL","MAGEvil","MAG","Evil magic, ominous, dark magic. Voldemort type stuff.","dark, devil, summon, necromancy, voodoo, black magic, forbidden"],
["MAGIC","MISC","MAGMisc","MAG","Magic sounds not fitting another category in this list.","miscellaneous"],
["MAGIC","POOF","MAGPoof","MAG","Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","chuff, foomp, blast"],
["MAGIC","SHIMMER","MAGShim","MAG","Glassy or chime-like shimmers, waves of particle type magic.","twinkle, sparkle, bell tree, chime, glint, glisten, glitter, scintillation, glow, glimmer, gleam"],
["MAGIC","SPELL","MAGSpel","MAG","Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.","witch, wizard, sorcerer, cast, incantation, hex, rune, sorcery, enchant, invocation, bewitch, exorcism, curse, trance"],
["MECHANICAL","CLICK","MECHClik","MECH","Short clicks, could be from button presses, things like that. Some confusion and overlap with MECHANICAL-SWITCH.","click, clack, snap, toggle, button"],
["MECHANICAL","GEARS","MECHGear","MECH","A toothed cog, turning or grinding gears, complex gear mechanisms. Small clock gears would go in CLOCKS-MECHANICS.","gear, cog, pinion, rack and pinion, transmission, cogwheel, gearwheel, flywheel"],
["MECHANICAL","HYDRAULIC & PNEUMATIC","MECHHydr","MECH","Various hydraulic or pneumatic sounds, like on a self-closing door. Isolated hydraulics and pneumatics. See also DOORS-HYDRAULIC & PNEUMATIC for a complete door.","hydraulic, pneumatic, pressurized, valve"],
["MECHANICAL","LATCH","MECHLtch","MECH","Latch, as in a briefcase latch, or a luggage latch.","latch, hardware, lock, clasp, hasp, bolt"],
["MECHANICAL","LEVER","MECHLvr","MECH","A sliding or switching lever. Train track lever, lever to turn on an electric chair. Old Frankenstein machine levers, breaker levers.","lever, switch, clunk, clank"],
["MECHANICAL","LOCK","MECHLock","MECH","A padlock, bicycle lock, or a locking mechanism. Door locks to go into DOORS-HARDWARE.","padlock, deadbolt"],
["MECHANICAL","MISC","MECHMisc","MECH","Mechanical sounds not fitting another category in this list.","miscellaneous"],
["MECHANICAL","PULLEY","MECHPuly","MECH","An isolated recording of a pulley, or system of pulleys.","squeak, chirp, roll"],
["MECHANICAL","RATCHET","MECHRtch","MECH","That sound a ratchet makes.","ratchet, snap, click, wind, crank, winch"],
["MECHANICAL","RELAY","MECHRelay","MECH","Old train station counting board flipping. A old communications relay board.","flip, toggle, clack"],
["MECHANICAL","ROLLER","MECHRolr","MECH","Like a rolling conveyor belt, or something on a roller.","roll, belt, lineshaft"],
["MECHANICAL","SWITCH","MECHSwtch","MECH","Basic and heavy switches, light switches, power switches. Some overlap or confusion with MECHANICAL-CLICK.","switch, click, clack, toggle, button"],
["METAL","BREAK","METLBrk","METL","Metal breaking, snaps, cracks, rips, shatters.","break, crack, rip, shatter, crunch"],
["METAL","CRASH & DEBRIS","METLCrsh","METL","Metal crashing and debris. Complex metal crashes, group metal crashes, metal debris falls.","crash, fall, debris"],
["METAL","FRICTION","METLFric","METL","Metal friction, stress, so scrapes, creaks, squeaks, squeals, screeches. Metal sounds caused by friction.","stress, scrape, creak, squeak, screech"],
["METAL","HANDLE","METLHndl","METL","Metal handling, handling metal objects. Some overlap with METAL-MOVEMENT possible.","handle, grab, set, pickup, set down, toss, catch"],
["METAL","IMPACT","METLImpt","METL","Metal single item impacts, so anvil hits, dropping something that doesn't break. Clangs, clunks, bangs.","hit, drop, impact, crash, clunk, clang"],
["METAL","MISC","METLMisc","METL","Metal sounds not fitting another category in this list.","miscellaneous"],
["METAL","MOVEMENT","METLMvmt","METL","Metal movement, so drag, roll, rattle, shake. Single or metal items moving. Or movement on a metal surface. See also METAL-HANDLE.","drag, roll, rattle, shake"],
["METAL","TONAL","METLTonl","METL","Metal tonal, resonating, ringing, wronks and warps. Bending sheet metal, a singing bowl ringing, metal shinging.","bow, ring, wronk, shing, warp, bend, resonate"],
["MOTORS","ANTIQUE","MOTRAntq","MOTR","Old motors, usually combustion, so old oil pump engines, old compressors. An antique gas pump for example.","kerosene engine, paraffin engine"],
["MOTORS","COMBUSTION","MOTRComb","MOTR","Non-vehicle combustion engines. Combustion motors, generators. Isolated engine recordings.","diesel engine, gas engine, combustion engine, two-stroke engine"],
["MOTORS","ELECTRIC","MOTRElec","MOTR","Non-vehicle electric motors. Any motor that runs on electricity. An isolated electric motor. See also TOOLS-POWER.","toothbrush, electric razor, electric motor, garbage disposal, dentist drill"],
["MOTORS","MISC","MOTRMisc","MOTR","Motor sounds not fitting another category in this list.","miscellaneous"],
["MOTORS","SERVO","MOTRSrvo","MOTR","Specifically servo motors, from robot, to radio controlled servos. Clean isolated servos.","robot, rc car, camera focus, car antenna, printer"],
["MOTORS","TURBINE","MOTRTurb","MOTR","Turbines, water or air. That classic 'whine' power up and down are usually turbines. A jet engine is a turbine.","windmill, airplane, aircraft, generator"],
["MOVEMENT","ACTIVITY","MOVEActv","MOVE","Crowds moving but also performing activities, cleaning, moving boxes. Clean recordings with no vocals. See MOVEMENT-HUMAN for Single activity.","activity, moving, cleaning, shopping, unpacking"],
["MOVEMENT","ANIMAL","MOVEAnml","MOVE","Group animal movement, individual feet go to FOOTSTEPS-ANIMAL or FOOTSTEPS-HORSE. But think herds of grazing animals, stampedes.","stampede, herd, charge, trample, scramble"],
["MOVEMENT","CREATURE","MOVECrea","MOVE","Slithering Dragons, Gooey Zombie Movement.","slither, crawl, slide, squirm, wriggle"],
["MOVEMENT","CROWD","MOVECrwd","MOVE","Groups of people milling or walking. Usually mostly just recordings of group footsteps in real locations. No vocals. Compare to MOVEMENT-ACTIVITY.","walk, run, march, mill, shuffle, scuffle, sit, stand, lie, slip, jump, skip"],
["MOVEMENT","HUMAN","MOVEHmn","MOVE","Movement of single human, aside from footsteps, standing, sitting, shuffe. Some overlap or confusion with FOOTSTEP-HUMAN or MOVEMENT-ACTIVITY.","walk, run, march, mill, shuffle, scuffle, sit, stand, lie, slip, jump, skip"],
["MOVEMENT","INSECT","MOVEInsc","MOVE","Group insects, footsteps, movement, swarms, spiders, locusts. Swarms of flying insects here too, bees, flies. Overlap with ANIMALS-INSECT or AMBIENCE-INSECT.","swarm, hive, beehive, slither, maggots"],
["MOVEMENT","MISC","MOVEMisc","MOVE","Movement sounds not fitting another category in this list.","miscellaneous"],
["MOVEMENT","PRESENCE","MOVEPres","MOVE","Very light movement, people in church adjusting, people on church pews. Again, recordings without vocals. Compare to MOVEMENT-ACTIVITY and MOVEMENT-CROWD.","adjust, shuffle, scuffle, light movement, shift"],
