[["LUFT","BLÅSE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","trykkluft, trykkavlastning, slipp, pust, sputter, flagre, rensing"],
["ELEKTRISITET","KNITRING","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","sparkler, sveis, sputter, kortslutning"],
["ELEKTRISITET","ZAP","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","utladning, tase, taser, elektrokutt"],
["UTSTYR","DYR","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","hodelag, hersker, bånd, sele, hundebånd, salreim"],
["UTSTYR","HI-TECH","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","romdrakt, bruksbelte"],
["UTSTYR","DIVERSE","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","Diverse"],
["UTSTYR","FRITID","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","ryggsekk, fottur, fotturer, fjellklatring, klatring, fjellklatring, leir, telt"],
["UTSTYR","IDRETT","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","skulderpute, knebeskytter, leggbelegg, jock stropp"],
["UTSTYR","TAKTISK","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","belte, taktisk, pliktbelte, ammunisjonsbelte, politi, militær, bandoler"],
["EKSPLOSJON","DESIGN","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","sjokkbølge, søtningsmiddel, ekko"],
["EKSPLOSJON","DIVERSE","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","detonasjon"],
["EKSPLOSJON","REALISTISK","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","bang, implosjon, crack, pop"],
["PROMP","DESIGN","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","kitt, razzberry, bringebær, whoopie pute, flarp, armhule, fartbag, ballong"],
["PROMP","DIVERSE","FARTMisc","FART","Fart sounds not fitting another category in this list.","dyrefutter"],
["PROMP","EKTE","FARTReal","FART","Real recordings of farts.","menneskelig fis, luft i magen, poot, tut"],
["SLÅSSKAMP","BODYFALL","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","bodyfall, body drag, scuffle, body slam, takling"],
["SLÅSSKAMP","KLÆR","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","kampduk, grip, napp, klutstøt, kluttreff"],
["SLÅSSKAMP","GRIPE","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","kamp, grip, grip, bryting, judo"],
["SLÅSSKAMP","SLAG OG TREFF","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","slag, spark, kroppsslag, slag, smell, slåsskamp, dytte, sokk, uppercut, jab"],
["SLÅSSKAMP","DIVERSE","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","Diverse"],
["ILD","BRENNE","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","bål, bål, børstebrann, strukturbrann, flamme, inferno, forbrenning, tinder, bål"],
["ILD","UTBRUDD","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","backdraft, dragebrann, oppsluke"],
["ILD","KNITRING","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","pop, spytte, snappe, gnistre"],
["ILD","GASS","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","gassgrill, bunsenbrenner, ovn, campingkomfyr, kjøkkenkomfyr, krematorium, gasskomfyr"],
["ILD","ANTENNE","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","fyrstikk, lighter, zippo, flamme, utbrudd, flamme opp, flamme opp"],
["ILD","DIVERSE","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","Diverse"],
["ILD","FRESE","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","brann poker, sikring, sikring brenn"],
["ILD","FAKKEL","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","bluss, lunte, fakkel, ildsted, flammende pinne, cresset"],
["ILD","TURBULENT","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","brannvirvel, voldsom brann, flammekaster, branntornado, oppsluke, backdraft"],
["ILD","SVOSJ","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","ildkule, flamme, molotov, bluss, backdraft"],
["FYRVERKERI","OFFENTLIG","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","mørtel, fyrverkeri, pyroteknikk, kaboom, shell, fyrverkeri"],
["FYRVERKERI","DIVERSE","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","Diverse"],
["FYRVERKERI","PRIVAT","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","fyrverkeri, m80, stjernekaster, flaskerakett, røykbombe, hoppeknekt, romerlys, popper, kirsebærbombe"],
["FOLEY","KLES","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","rasling, bevegelse, mvmt, zuzz"],
["FOLEY","STEG","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","fot, sko, fottrinn, overflate"],
["FOLEY","HANDS","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","klappe, gripe, håndtere, sette"],
["FOLEY","DIVERSE","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","Diverse"],
["FOLEY","PROPS","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","rekvisitt, rekvisitter"],
["MAT OG DRIKKE","MATLAGING","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","hakke, skjære i terninger, blande, blande, visp, sautere, steke, koke, grille, syte, dampe, lapskaus, røre, sautere"],
["MAT OG DRIKKE","DRIKKING","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","slurk, slurp, drikk, svelg, slurk, drikke, slurk, slurk, slurk"],
["MAT OG DRIKKE","SPISE","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","spise, knase, tygge, svelge, knaske, hakke, bite, innta, konsumere, feste, mate"],
["MAT OG DRIKKE","GLASS","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","flaske, glass, kopp, kanne, karaffel, boks"],
["MAT OG DRIKKE","INGREDIENS","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","nøtt, frø, korn, grønnsak, frukt, hermetikk, frokostblanding, kjøtt, havre, mais"],
["MAT OG DRIKKE","KJØKKENUTSTYR","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","panne, gryte, gryte, kjele, stekepanne, kjele"],
["MAT OG DRIKKE","DIVERSE","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","Diverse"],
["MAT OG DRIKKE","HELLE","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","skjenke, flyte, søle, servere"],
["MAT OG DRIKKE","SERVICE","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","sølvtøy, redskaper, glassklinker"],
["STEG","DYR","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","gå, løpe, spurte"],
["STEG","VESEN","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","dinosaur, skapning, beist, drage, mytisk"],
["STEG","HEST","FEETHors","FEET","All manner of horse feet, from single to running.","skritt, trav, galopp, hov, hover, galopp"],
["STEG","MENNESKE","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","gå, løpe, fot, jogge, sprint, hoppe, hoppe over, hinke, gå, gå, skritt, fottrinn, fot, steg, klatre"],
["STEG","DIVERSE","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","Diverse"],
["SPILL","ARKADESPILL","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","pinball, whack-a-mole, skeeball, klo maskin"],
["SPILL","BRETTSPILL","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","sjakk, dam, go, backgammon"],
["SPILL","KASINO","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","rulett, spilleautomat, craps, moneywheel, keno, pokermaskin"],
["SPILL","DIVERSE","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","poker, kort, jenga, terninger, knoke,"],
["SPILL","TV-SPILL","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp"],
["GEOTERMISK","FUMAROLE","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","dampventil, geotermisk, fumarole"],
["GEOTERMISK","GEYSIR","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","tut, spray, boble, kok"],
["GEOTERMISK","LAVA","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","lava, flyt, knitring, viskøs, bluss, rumling, vulkan"],
["GEOTERMISK","DIVERSE","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","boblende varmt basseng"],
["GEOTERMISK","GJØRMEPYTT","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","mudpot, maling pott, tjære pit, mud, boble, glop"],
["GLASS","KNUSE","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","glass knuse, knuse, knuse"],
["GLASS","KRÆSJ OG FRAGMENTER","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","skår, fragment, krasj, rusk"],
["GLASS","FRIKSJON","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","stress, skrape, knirke, knirke, skrike"],
["GLASS","HÅNDTERING","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","håndtere, gripe, sette, hente, sette ned, kaste, fange"],
["GLASS","SLAG OG TREFF","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","treff, slipp, støt, klirr"],
["GLASS","DIVERSE","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","Diverse"],
["GLASS","BEVEGELSE","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","skrangle, rulle, pingle, klirre"],
["GLASS","TONAL","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","resonere, ring, tonal, munnspill i glass, krystallskål"],
["GØRR","BLOD","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","drypp, flyt, sprut, sprut, spray"],
["GØRR","BEIN","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","bein knips, bein brudd, bein knuse, kjeve snap, kjever"],
["GØRR","BRENNE","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","sizzle, cauterize, seer, brand"],
["GØRR","HUD","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","rive, skrelle, rive, rive, tarm, kjøtt, sår"],
["GØRR","DIVERSE","GOREMisc","GORE","Gore sounds not fitting another category in this list.","Diverse"],
["GØRR","SLIM","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","oser, slim, flyt, gelatin"],
["GØRR","KILDE","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","goosh, squish, goop, slim, sive, glop, organ, tarm, saftig, goo, splat, splat, rive, skrelle, stikke, rive, rive, tarm, kjøtt, sår, skive, spidd, saftig, splat"],
["GØRR","SPLÆTT","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","goosh, squish, goop, slim, oser, glop, organ, tarm, saftig, goo, sprut"],
["GØRR","SKVISE","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","squish, kjøtt, organ, goosh, tarm, saftig, splat"],
["GØRR","STIKK","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","skjære, spidde, stikke, kutte, vorpale, dele i stykker"],
["GUN","GAMMEL","GUNAntq","GUN","Old black powder weapons, muskets.","munningslaster, muskett, svartkrutt, flintlås, langrifle, ildlanse"],
["GUN","ARTILLERI","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","haubitser, luftvernpistol, rakettkaster, bazooka, mørtel, rakett, marine"],
["GUN","AUTOMATISK","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47, m16, maskingevær, tommy gun, uzi, m249, M1919, gatling gun, minigun,"],
["GUN","KANON","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","blunderbuss, håndkanon, kanon, svartkrutt"],
["GUN","HÅNDTERING","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","hylster, pistol, pistolgrep, våpenfang, våpenfall, pistolladning"],
["GUN","HI-TECH","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","skinnepistol, spionpistol"],
["GUN","MEKANISME","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","klips, spenning, pistolrangle, boltskli, magasin, kulelasting, pistolhane"],
["GUN","DIVERSE","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","fakkelpistol, luftpistol, paintballpistol"],
["GUN","PISTOL","GUNPis","GUN","Handguns and pistols.","9mm, pistol, revolver, glock, pistol, føll, smith & wesson, sig sauer, luger, walther ppk, bruning, ruger, beretta"],
["GUN","RIFLE","GUNRif","GUN","Rifles, single shot and semi-automatic.","rifle, mauser, casull, arisaka, luger, karabin, powell, snikskytter, jakt, halvautomatisk"],
["GUN","HAGLE","GUNShotg","GUN","Shotguns, single, dual, pump.","hagle, dobbeltløp, mossberg, winchester, trenerpistol"],
["GUN","LYDDEMPET","GUNSupr","GUN","Silenced Weapons, silencers.","stilnet, lyddemper"],
["HORN","LUFTDREVET","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","tåkehorn, lufthorn, fabrikkhorn"],
["HORN","FEIRING","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","festhorn, vuvuzela"],
["HORN","DIVERSE","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","jaktkall, elgkall, andekall, revbugle"],
["HORN","TRADISJONELL","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","shofar, konkylie, konkylie, kamphorn, alpehorn, alpehorn, alpehorn"],
["MENNESKE","BLÅSE","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","blåse, puste ut"],
["MENNESKE","PUST","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","pust, sukk, pust inn, pust ut, gispe, pes, hvesing, huff, hiv, pust, pust, innånding, utånding"],
["MENNESKE","RAP","HMNBurp","HMN","Human belches, burps.","rap, rap, hikke"],
["MENNESKE","HOSTE","HMNCough","HMN","Human coughs and coughing.","hack, ahem, hes, klar hals"],
["MENNESKE","HJERTESLAG","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","hjertebank, bumbum"],
["MENNESKE","KYSS","HMNKiss","HMN","Human kissing.","smooch, hakk"],
["MENNESKE","DIVERSE","HMNMisc","HMN","Human sounds not fitting another category in this list.","Diverse"],
["MENNESKE","TISSE","HMNPee","HMN","Human urinating.","tisser, tisser, tisser, tisser, tisser, tisser"],
["MENNESKE","HUD","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","gni, skrape, hud, klø, klapse, håndgrep, håndtrykk, kjærtegn, gni, gni"],
["MENNESKE","NYSE","HMNSneez","HMN","Human sneezing.","nys, ah-choo"],
["MENNESKE","SNIFFE","HMNSniff","HMN","Human sniffing, smelling.","snuser, snuser, lukter, snuser"],
["MENNESKE","SNORKE","HMNSnor","HMN","Human snoring.","snorking, zzz, overbelastet, tung pust, apné"],
["MENNESKE","SPYTTE","HMNSpit","HMN","Human spits.","spytte, hase, spytte, spytte, sikle"],
["MENNESKE","SPY/OPPKAST","HMNVomit","HMN","Human vomiting.","spy, spy, oppkast, utslette, hive, kneble, spy, kaste, spy, sjøsyk"],
["IS","KNUSE","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","bryte, knekke, rive, knuse, knase"],
["IS","KRÆSJ OG FRAGMENTER","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","krasj, fall, rusk"],
["IS","FRIKSJON","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","stress, skrape, knirke, knirke, skrike"],
["IS","HÅNDTERING","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","håndtere, gripe, sette, hente, sette ned, kaste, fange"],
["IS","SLAG OG TREFF","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","treff, slipp, støt, krasje, klunk, klirr, klirr, hogg"],
["IS","DIVERSE","ICEMisc","ICE","Ice sounds not fitting another category in this list.","Diverse"],
["IS","BEVEGELSE","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","dra, rulle, skrangle, riste"],
["IS","TONAL","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","bue, ringe, skjære"],
["LASER","STRÅLE","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","stråle, gamma, stråle"],
["LASER","PISTOL","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","plasmavåpen, blaster, laserkanon"],
["LASER","TREFF","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","laser, blaster, støt, treff, sizzle"],
["LASER","DIVERSE","LASRMisc","LASR","Laser sounds not fitting another category in this list.","Diverse"],
["LÆR","KNIRK","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","knirk, stress, spenning"],
["LÆR","HÅNDTERING","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","håndtere, gripe, sette, hente, sette ned, kaste, fange"],
["LÆR","SLAG OG TREFF","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","treff, støt, grip, dunk, dunk"],
["LÆR","DIVERSE","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","Diverse"],
["LÆR","BEVEGELSE","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","klaff, flopp, rasling, mvmt, skli"],
["VÆSKER OG GJØRME","BOBLER","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","boble, skum, pop, gjørme"],
["VÆSKER OG GJØRME","SLAG OG TREFF","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","splat, sprut, treff, støt, plopp, kerplunk, plunk, gjørme"],
["VÆSKER OG GJØRME","DIVERSE","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","Diverse"],
["VÆSKER OG GJØRME","BEVEGELSE","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","oser, slim, goo, gjørme"],
["VÆSKER OG GJØRME","SUG","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","sug, slurp, glomp, stempel, gjørme"],
["MASKINER","FORNØYELSE","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","berg-og-dal-bane, karusell, scrambler, tilt-a-whirl, kiddy ride, fornøyelsespark, flipperspill, skeeball"],
["MASKINER","GAMMEL","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","trykkpresse, symaskin, olivenpresse, smørkjerne"],
["MASKINER","APPARAT","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","stekeovn, kjøleskap, kjøleskap, blender, food prosessor, hårføner, ismaskin, vaskemaskin, tørketrommel, strykejern, kaffetrakter, oppvaskmaskin, elektrisk boksåpner, søppeltømming, luftfukter, avfukter, symaskin, brødrister, vaffelmaskin, takke, kokeplate"],
["MASKINER","BYGGEPLASS","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","kran, sementblander, flishugger"],
["MASKINER","HEIS","MACHElev","MACH","Elevator movement and doors would go here.","paternoster, godsheis, personheis, heis"],
["MASKINER","RULLETRAPP","MACHEscl","MACH","Escalators and moving walkways would go here.","travelator, bevegelig gangvei"],
["MASKINER","VIFTE","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","vifte, takvifte, boksvifte, industrivifte, vifte uten blad"],
["MASKINER","HAGE","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","gressklipper, gressklipper, kantklipper, motorsag, trimmer, stangsag, mulcher, jordfreser"],
["MASKINER","GYM","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","tredemølle, eliptical, romaskin, trimsykkel, stasjonær sykkel, nordictrack, trappeklatrer."],
["MASKINER","HI-TECH","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","gadget, digital, håndholdt"],
["MASKINER","VENTILASJON","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","aircon, air condition, oppvarming."],
["MASKINER","INDUSTRIELL","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","hydraulisk presse, samlebånd, destilleri, stansepresse, formpresse+F437:F450"],
["MASKINER","MEKANISME","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","puslespillboks, rube goldberg, dings"],
["MASKINER","MEDISINSK","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","røntgenmaskiner, mri, katteskanning, kjæledyrskanning, blodtrykksmaskin, laboratorietestmaskin, sentrifuge, ventilator, defibrillator"],
["MASKINER","DIVERSE","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","Diverse"],
["MASKINER","KONTOR","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","faksmaskin, faksmaskin, telefaks, kopimaskin, skriver, makuleringsmaskin, xerox, kopimaskin, mimeograf, laserskriver, blekkskriver, makuleringsmaskin, plotter"],
["MASKINER","PUMPE","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","vannpumpe, sumppumpe, kompressor, luftkompressor"],
["MAGI","ENGLE","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","hellig, himmelsk, eterisk, guddommelig, åndelig, salig, rettferdig, hellig"],
["MAGI","ELEMENT","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","brann, vann, jord, elektrisk, luft, vind"],
["MAGI","OND","MAGEvil","MAG","Evil magic, ominous, dark magic. Voldemort type stuff.","mørk, djevel, tilkalling, nekromanti, voodoo, svart magi, forbudt"],
["MAGI","DIVERSE","MAGMisc","MAG","Magic sounds not fitting another category in this list.","Diverse"],
["MAGI","PUFF","MAGPoof","MAG","Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","chuff, foomp, blast"],
["MAGI","GLIMMER","MAGShim","MAG","Glassy or chime-like shimmers, waves of particle type magic.","glitre, gnistre, klokketre, klokkespill, glimt, glitre, glitter, glimt, glød, glimt, glimt"],
["MAGI","TROLLDOM","MAGSpel","MAG","Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.","heks, trollmann, trollmann, rollebesetning, besvergelse, heks, rune, trolldom, fortryllelse, påkallelse, forheksing, eksorcisme, forbannelse, transe"],
["MEKANISK","KLIKKE","MECHClik","MECH","Short clicks, could be from button presses, things like that. Some confusion and overlap with MECHANICAL-SWITCH.","klikk, klikk, knips, veksle, knapp"],
["MEKANISK","GIR","MECHGear","MECH","A toothed cog, turning or grinding gears, complex gear mechanisms. Small clock gears would go in CLOCKS-MECHANICS.","tannhjul, tannhjul, tannstang, tannstang, gir, tannhjul, tannhjul, svinghjul"],
["MEKANISK","HYDRAULISK","MECHHydr","MECH","Various hydraulic or pneumatic sounds, like on a self-closing door. Isolated hydraulics and pneumatics. See also DOORS-HYDRAULIC & PNEUMATIC for a complete door.","hydraulisk, pneumatisk, trykksatt, ventil"],
["MEKANISK","KLINKE","MECHLtch","MECH","Latch, as in a briefcase latch, or a luggage latch.","lås, maskinvare, lås, lås, hasp, bolt"],
["MEKANISK","SPAKE","MECHLvr","MECH","A sliding or switching lever. Train track lever, lever to turn on an electric chair. Old Frankenstein machine levers, breaker levers.","spak, bryter, klunker, klirrer"],
["MEKANISK","LÅS","MECHLock","MECH","A padlock, bicycle lock, or a locking mechanism. Door locks to go into DOORS-HARDWARE.","hengelås, deadbolt"],
["MEKANISK","DIVERSE","MECHMisc","MECH","Mechanical sounds not fitting another category in this list.","Diverse"],
["MEKANISK","TALJE","MECHPuly","MECH","An isolated recording of a pulley, or system of pulleys.","knirke, kvitre, rulle"],
["MEKANISK","SKRALLE","MECHRtch","MECH","That sound a ratchet makes.","skralle, knipse, klikk, vind, sveiv, vinsj"],
