[["LUFT","BLASEN","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","Druckluft, Druck ablassen, ablassen, puff, sputter, flutter, purge"],
["TÜR","ZUSAMMENSETZUNG","DOORComp","DOOR","Fiberglass, wood steel combination, doors that don't sound like a specific material. A modern front door. Some confusion or overlap with DOORS-WOOD likely.","Glasfaser, Tür"],
["TÜR","KNARZEN","DOORCreak","DOOR","Door creaks, wood or metal, overlap with WOOD-FRICTION and METAL-FRICTION, but specifically door creaks.","Knarren, Tür, Kerker, Keller, Schloss, Holztür, Metalltür, Türknarren"],
["TÜR","VERLIESS","DOORDungn","DOOR","That big old classic wood and/or metal heavy dungeon, castle type door.","Schloss, Kerker, groß, Keller"],
["TÜR","ELEKTRISCH","DOORElec","DOOR","Electric doors of all kinds, garage doors, big soundstage doors, sliding store doors. See also DOORS-REVOLVING.","elektrische Tür, Garagentor, Tonbühnentür, automatische Tür"],
["TÜR","TOR","DOORGate","DOOR","Non-motorized gates, metal or wood. So a garden gate, a park gate. A farm gate.","Gartentor, Zauntor, Parktor, Bahnübergang, Viehgatter, Hoftor"],
["TÜR","GLAS","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","Glastür, Ladentür, Erkertür, Fenstertür"],
["TÜR","BESCHLÄGE","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","Türknauf, Riegel, Schubstange, Kettenschloss, Scharnier, Falle, Griff, Beschlag, Lockpicking, Wackeln"],
["TÜR","HI-TECH","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","Labortür"],
["TÜR","HYDRAULISCH & PNEUMATISCH","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","Türschließer, pneumatisch, hydraulisch, angetriebene Klappe"],
["TÜR","KLOPFEN","DOORKnck","DOOR","Knocking on various door surfaces.","klopfen, klopfen, klopfen, klopfen, klopfen, klopfen"],
["TÜR","METALL","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","Rollup, Tresor, Tresor, Luke"],
["TÜR","DIV","DOORMisc","DOOR","Door sounds not fitting another category in this list.","Verschiedenes"],
["TÜR","PLASTIK","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","Porta-John, Porta-Let, Porta-Pottie"],
["TÜR","GEFÄNGNIS","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","Knasttür, Gefängnistür"],
["TÜR","DREHTÜR","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","Drehen, rotieren, Drehtür, Hotel, Flughafen, Einkaufszentrum"],
["TÜR","SCHIEBETÜR","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","Glasschiebetür, Terrassentür, Duschtür"],
["TÜR","STEIN","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","Gruft, Krypta, Tempel, Mausoleum, Geheimeingang"],
["TÜR","SCHWINGTÜR","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","Saloon-Tür, Verkehrstür, Restaurant-Tür, Kirchen-Kanzel-Tür"],
["TÜR","HOLZ","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","Eingang, Haustür, Kleiderschrank"],
["SCHUBLADE","METALL","DRWRMetl","DRWR","Metal drawers like on a toolbox.","Werkzeugkasten, Regalschublade, Aktenschrank, Registrierkasse, Sicherheitsschublade"],
["SCHUBLADE","DIV","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","Verschiedenes"],
["SCHUBLADE","KUNSTSTOFF","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","Teilebehälter, Schreibtisch-Organizer"],
["SCHUBLADE","HOLZ","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","Küchenschublade, Badezimmerschublade"],
["ELEKTRITZITÄT","LICHTBOGEN","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","Jakobsleiter, Teslaspule, Arche, Bogen, Kraftwerk, Elektroschock"],
["ELEKTRITZITÄT","BRUMMEN","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","Erdbrummen, Verstärkerbrummen, Verstärkerbrummen, Lautsprecherbrummen, Lautsprecherbrummen, Brummen, Summen, Induktionsbrummen"],
["ELEKTRITZITÄT","ELEKTROMAGNETISCH","ELECEmf","ELEC","Electromagnetic field recordings specifically.","EMF, Spule, Tonabnehmer, Induktion"],
["ELEKTRITZITÄT","DIV","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","Verschiedenes"],
["ELEKTRITZITÄT","FUNKEN","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","Wunderkerze, Schweißen, Sputtern, Kurzschluss"],
["ELEKTRITZITÄT","ZAP","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","Entladung, Tase, Taser, Elektroschock"],
["EQUIPMENT","ZAUMZEUG & SATTEL","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","Zaumzeug, Zügel, Leine, Pferdegeschirr, Hundeleine, Sattelgurt"],
["EQUIPMENT","HI-TECH","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","Raumanzug, Gebrauchsgürtel"],
["EQUIPMENT","DIV","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","Verschiedenes"],
["EQUIPMENT","KLETTERN","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","Rucksack, Wanderung, Bergsteigen, Klettern, Felsklettern, Lager, Zelt"],
["EQUIPMENT","SPORT","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","Schulterpolster, Knieschützer, Schienbeinschützer, Suspensorium"],
["EQUIPMENT","MILITÄR & POLIZEI","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","Gürtel, taktisch, Dienstgürtel, Munitionsgürtel, Polizei, Militär, Patronengurt"],
["EXPLOSION","DESIGNED","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","Schockwelle, Süßstoff, Echo"],
["EXPLOSION","DIV","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","Detonation"],
["EXPLOSION","REAL & ECHT","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","Knall, Implosion, Crack, Pop"],
["FURZ","DESIGNED","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","putty, razzberry, raspberry, whoopie cushion, flarp, armpit, fartbag, balloon"],
["FURZ","DIV","FARTMisc","FART","Fart sounds not fitting another category in this list.","Tierfurz"],
["FURZ","REAL & ECHT","FARTReal","FART","Real recordings of farts.","menschlicher Furz, Flatulenz, Pups, Tuten"],
["KAMPF","BODYFALL","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","bodyfall, body drag, scuffle, body slam, tackle"],
["KAMPF","STOFF","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","Kampftuch, Greifen, Schnappen, Tuchstoß, Tuchschlag"],
["KAMPF","GREIFEN","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","Kampf, Greifen, Zupacken, Ringen, Judo"],
["KAMPF","EINSCHLAG","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","Schlag, Tritt, Körpertreffer, Ohrfeige, Ohrfeige, Schlägerei, Stoßen, Socke, Aufwärtshaken, Stoß"],
["KAMPF","DIV","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","Verschiedenes"],
["FEUER","BRENNEN","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","Lagerfeuer, Buschfeuer, Gebäudebrand, Brand, Inferno, Verbrennung, Zunder, Scheiterhaufen"],
["FEUER","AUSBRUCH","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","Backdraft, Drachenfeuer, verschlingen"],
["FEUER","KNISTERN","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","knallen, spucken, schnappen, funkeln"],
["FEUER","GAS","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","Gasgrill, Bunsenbrenner, Ofen, Campingkocher, Küchenherd, Krematorium, Gasherd"],
["FEUER","ENTZÜNDEN","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","Streichholz, Feuerzeug, Zippo, aufflammen, ausbrechen, aufflammen, entflammen"],
["FEUER","DIV","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","Verschiedenes"],
["FEUER","KNISTERN","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","Schürhaken, Zündschnur, Zündschnur brennen"],
["FEUER","FACKEL","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","Fackel, Zündschnur, Fackel, Feuerbrand, Flammenstock, Kresse"],
["FEUER","TURBULENT","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","Feuerwirbel, heftiges Feuer, Flammenwerfer, Feuertornado, verschlingen, Rückstau"],
["FEUER","WHOOSH","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","Feuerball, Flamme, Molotow, Fackel, Backdraft"],
["FEUERWERK","PROFESSIONELL","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","Mörser, Feuerwerk, Pyrotechnik, Kaboom, Granate, Feuerwerkskörper"],
["FEUERWERK","DIV","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","Verschiedenes"],
["FEUERWERK","FREI VERKÄUFLICH","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","Feuerwerkskörper, M80, Wunderkerze, Flaschenrakete, Rauchbombe, Hampelmann, Römisches Licht, Knallkörper, Kirschbombe"],
["FOLEY","KLEIDUNG","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","Rascheln, Bewegung, mvmt, zuzz"],
["FOLEY","SCHRITTE","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","Fuß, Schuh, Tritt, Oberfläche"],
["FOLEY","HAND","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","klopfen, greifen, handhaben, setzen"],
["FOLEY","DIV","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","Verschiedenes"],
["FOLEY","PROP","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","Requisite, Requisiten"],
["ESSEN UND TRINKEN","KOCHEN","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","hacken, schneiden, würfeln, mischen, mixen, quirlen, sautieren, braten, kochen, grillen, brutzeln, dampfen, dünsten, rühren, sautieren"],
["ESSEN UND TRINKEN","TRINKEN","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","schlürfen, schlürfen, trinken, schlucken, schlucken, Getränk, schlucken, schlucken, schlucken, schlucken"],
["ESSEN UND TRINKEN","ESSEN","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","essen, knuspern, kauen, schlucken, mampfen, kauen, beißen, einnehmen, verzehren, schlemmen, füttern"],
["ESSEN UND TRINKEN","GLASWAREN","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","Flasche, Glas, Tasse, Krug, Karaffe, Dose"],
["ESSEN UND TRINKEN","ZUTATEN","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","Nuss, Samen, Getreide, Gemüse, Obst, Dosenfutter, Getreide, Fleisch, Hafer, Mais"],
["ESSEN UND TRINKEN","KOCHUNTENSILIEN","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","Pfanne, Topf, Schmortopf, Suppentopf, Bratpfanne, Stielkasserolle"],
["ESSEN UND TRINKEN","DIV","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","Verschiedenes"],
["ESSEN UND TRINKEN","GIESSEN","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","schütten, fließen, verschütten, servieren"],
["ESSEN UND TRINKEN","GESCHIRR BESTECK","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","Silberbesteck, Utensilien, Glas klirren"],
["SCHRITTE","TIER","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","gehen, laufen, sprinten"],
["SCHRITTE","MONSTER","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","Dinosaurier, Kreatur, Biest, Drache, mythisch"],
["SCHRITTE","PFERD","FEETHors","FEET","All manner of horse feet, from single to running.","Schritt, Trab, Galopp, Huf, Hufe, Galopp"],
["SCHRITTE","MENSCH","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","gehen, laufen, Fuß, joggen, sprinten, springen, hüpfen, humpeln, wandern, schreiten, Schritt, Fuß, Fuß, Schritt, klettern"],
["SCHRITTE","DIV","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","Verschiedenes"],
["SPIELE","SPIELHALLE","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","Flipper, Whack-a-mole, Skeeball, Krallenmaschine"],
["SPIELE","BRETTSPIELE","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","Schach, Dame, Go, Backgammon"],
["SPIELE","CASINO","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","Roulette, Spielautomat, Craps, Moneywheel, Keno, Pokermaschine"],
["SPIELE","DIV","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","Poker, Kartenspiel, Jenga, Würfel, Astragal,"],
["SPIELE","VIDEOSPIEL","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp"],
["GEOTHERMAL","FUMAROLE","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","Dampfschlot, Geothermie, Fumarole"],
["GEOTHERMAL","GEYSIR","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","sprudeln, spritzen, blasen, kochen"],
["GEOTHERMAL","LAVA","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","Lava, fließen, knistern, zähflüssig, flackern, rumpeln, vulkanisch"],
["GEOTHERMAL","DIV","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","Blubbernder heißer Pool"],
["GEOTHERMAL","SCHLAMM","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","Schlammtopf, Farbtopf, Teergrube, Schlamm, Blase, Glibber"],
["GLAS","ZERBRECHEN","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","Glas zerbrechen, zerschlagen, zerspringen"],
["GLAS","CRASH & TRÜMMER","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","Scherbe, Fragment, Absturz, Trümmer"],
["GLAS","FRIKTION","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","Stress, schaben, knarren, quietschen, kreischen"],
["GLAS","HANTIEREN","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","anfassen, greifen, setzen, aufheben, absetzen, werfen, fangen"],
["GLAS","EINSCHLAG","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","treffen, fallen lassen, aufschlagen, klirren"],
["GLAS","DIV","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","Verschiedenes"],
["GLAS","BEWEGUNG","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","klappern, rollen, ping, scheppern"],
["GLAS","TONAL","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","resonieren, klingen, klingen, Glasharmonika, Kristallschale"],
["GORE","BLUT","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","tropfen, fließen, sprudeln, spritzen, spritzen"],
["GORE","KNOCHEN","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","Knochen knacken, Knochen brechen, Knochen zersplittern, Kiefer knacken, Kiefer"],
["GORE","BRENNEN","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","brutzeln, kauterisieren, sieden, brandmarken"],
["GORE","FLEISCH","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","reißen, schälen, reißen, zerreißen, Darm, Fleisch, Wunde"],
["GORE","DIV","GOREMisc","GORE","Gore sounds not fitting another category in this list.","Verschiedenes"],
["GORE","FLIESSEN","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","sickern, schleimen, fließen, Gelatine"],
["GORE","EINZELELEMENT","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","Schleim, Schleim, Schleim, Schleim, Schleim, Glibber, Organ, Darm, saftig, Schleim, spritzen, Schleim, reißen, schälen, stechen, reißen, zerreißen, Darm, Fleisch, Wunde, schneiden, aufspießen, saftig, platzen"],
["GORE","FLATSCH","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","matschen, quetschen, schleimen, schleimig, schleimig, glibbern, Organ, Darm, saftig, Glibber, spritzen"],
["GORE","MATSCH","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","quetschen, Fleisch, Organ, Glibber, Darm, saftig, spritzen"],
["GORE","STECHEN","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","aufschlitzen, aufspießen, erstechen, abschneiden, aufspießen, zerstückeln"],
["SCHUSSWAFFE","ANTIK","GUNAntq","GUN","Old black powder weapons, muskets.","Vorderlader, Muskete, Schwarzpulver, Steinschloss, Langgewehr, Feuerlanze"],
["SCHUSSWAFFE","ARTILLERIE","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","Haubitze, Flugabwehrkanone, Raketenwerfer, Bazooka, Mörser, Rakete, Marine"],
["SCHUSSWAFFE","AUTOMATISCH","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","Ak-47, M16, Maschinengewehr, Maschinenpistole, Uzi, m249, M1919, Gatling Gun, Minigun, "],
["SCHUSSWAFFE","KANONE","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","Blunderbuss, Handkanone, Kanone, Schwarzpulver"],
["SCHUSSWAFFE","HANTIEREN","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","Holster, Gewehr, Gewehr greifen, Gewehr fangen, Gewehr fallen lassen, Gewehr laden"],
["SCHUSSWAFFE","HI-TECH","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","Schienenkanone, Spionagekanone"],
["SCHUSSWAFFE","MECHANISMUS","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","Clip, Spannen, Gewehrklappern, Bolzenschieber, Magazin, Geschoss laden, Gewehrhahn"],
["SCHUSSWAFFE","DIV","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","Leuchtpistole, Luftgewehr, Paintballgewehr"],
["SCHUSSWAFFE","PISTOLE","GUNPis","GUN","Handguns and pistols.","9mm, pistole, revolver, glock, handfeuerwaffe, colt, smith & wesson, sig sauer, luger, walther ppk, browning, ruger, beretta"],
["SCHUSSWAFFE","GEWEHR","GUNRif","GUN","Rifles, single shot and semi-automatic.","gewehr, mauser, casull, arisaka, luger, karabiner, powell, scharfschütze, jagd, halbautomatisch"],
["SCHUSSWAFFE","FLINTE","GUNShotg","GUN","Shotguns, single, dual, pump.","schrotflinte, doppelläufige, mossberg, winchester, coach gun"],
["SCHUSSWAFFE","SCHALLDÄMPFER","GUNSupr","GUN","Silenced Weapons, silencers.","schallgedämpft, schalldämpfer"],
["HORN","DRUCKLUFT","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","Nebelhorn, Lufthorn, Werkshorn"],
["HORN","PARTY","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","Partyhorn, Vuvuzela"],
["HORN","DIV","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","Jagdruf, Elchruf, Entenruf, Fuchshorn"],
["HORN","TRADITIONELL","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","Schofar, Muschel, Muschelschale, Kriegshorn, Alphorn, Alphorn, Alphorn"],
["MENSCHLICH","BLASEN","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","blasen, ausatmen"],
["MENSCHLICH","ATMEN","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","atmen, seufzen, einatmen, ausatmen, keuchen, keuchen, keuchen, keuchen, keuchen, keuchen, atmen, einatmen, ausatmen"],
["MENSCHLICH","RÜLPSEN","HMNBurp","HMN","Human belches, burps.","rülpsen, aufstoßen, Schluckauf"],
["MENSCHLICH","HUSTEN","HMNCough","HMN","Human coughs and coughing.","hacken, ähem, heiser, Räuspern"],
["MENSCHLICH","HERZSCHLAG","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","Herzklopfen, Bumbum"],
["MENSCHLICH","KUSS","HMNKiss","HMN","Human kissing.","knutschen, knutschen"],
["MENSCHLICH","DIV","HMNMisc","HMN","Human sounds not fitting another category in this list.","Verschiedenes"],
["MENSCHLICH","PINKELN","HMNPee","HMN","Human urinating.","pinkeln, urinieren, pinkeln, urinieren, pinkeln, pinkeln"],
["MENSCHLICH","HAUT","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","reiben, kratzen, Haut, jucken, klatschen, mit der Hand greifen, Händedruck, streicheln, reiben, Rücken reiben"],
["MENSCHLICH","NIESEN","HMNSneez","HMN","Human sneezing.","niesen, ah-choo"],
["MENSCHLICH","SCHNÜFFELN","HMNSniff","HMN","Human sniffing, smelling.","schnüffeln, schnuppern, riechen, schniefen"],
["MENSCHLICH","SCHNARCHEN","HMNSnor","HMN","Human snoring.","schnarchen, zzz, verstopft, schweres Atmen, Apnoe"],
["MENSCHLICH","SPUCKEN","HMNSpit","HMN","Human spits.","spucken, hocken, spucken, Spucknapf, sabbern"],
["MENSCHLICH","KOTZEN","HMNVomit","HMN","Human vomiting.","erbrechen, kotzen, auskotzen, ausspucken, husten, würgen, würgen, kotzen, spucken, seekrank"],
["EIS","BRECHEN","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","brechen, knacken, reißen, zerbrechen, knirschen"],
["EIS","CRASH & TRÜMMER","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","abstürzen, fallen, Trümmer"],
["EIS","FRIKTION","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","belasten, kratzen, knarren, quietschen, kreischen"],
["EIS","HANTIEREN","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","anfassen, greifen, setzen, aufheben, absetzen, werfen, fangen"],
["EIS","EINSCHLAG","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","treffen, fallen lassen, aufprallen, krachen, klappern, klirren, klirren, hacken"],
["EIS","DIV","ICEMisc","ICE","Ice sounds not fitting another category in this list.","Verschiedenes"],
["EIS","BEWEGUNG","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","ziehen, rollen, rasseln, schütteln"],
["EIS","TONAL","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","Bogen, Ring, Sching"],
["LASER","STRAHL","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","Strahl, gamma, ray"],
["LASER","WAFFE","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","Plasmawaffe, Blaster, Laserkanone"],
["LASER","EINSCHLAG","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","Laser, Blaster, Aufprall, Treffer, Zischen"],
["LASER","DIV","LASRMisc","LASR","Laser sounds not fitting another category in this list.","Verschiedenes"],
["LEDER","KNARZEN","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","Knarren, Stress, Spannung"],
["LEDER","HANTIEREN","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","Griff, greifen, setzen, aufheben, absetzen, werfen, fangen"],
["LEDER","EINSCHLAG","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","Treffer, Aufprall, Greifen, Aufprall, Aufprall"],
["LEDER","DIV","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","Verschiedenes"],
["LEDER","BEWEGUNG","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","flattern, flop, rascheln, bewegen, rutschen"],
["FLÜSSIGKEIT & MATSCH","BLASEN","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","Blase, Schaum, Pop, Schlamm"],
["FLÜSSIGKEIT & MATSCH","EINSCHLAG","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","platschen, spritzen, treffen, aufprallen, plop, kerplunk, plunk, schlamm"],
