[["AIR","SOUFFLE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","air comprimé, dépressuriser, relâcher, souffler, cracher, flotter, purger"],
["ÉLECTRICITÉ","ARC","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","échelle de jacob, bobine tesla, arche, arche, centrale électrique, électrocution"],
["ÉLECTRICITÉ","BUZZ & HUM","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","ronflement de terre, ronflement d'ampli, ronflement d'ampli, ronflement de haut-parleur, ronflement de haut-parleur, ronflement, ronflement d'induction"],
["ÉLECTRICITÉ","ÉLECTROMAGNÉTIQUE","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, bobine, capteur, induction"],
["ÉLECTRICITÉ","DIVERS","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","divers"],
["ÉLECTRICITÉ","ÉTINCELLES","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","étincelle, soudure, pulvérisation, court-circuit"],
["ÉLECTRICITÉ","ZAP","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","décharge, tase, taser, électrocution"],
["ÉQUIPEMENT","BRIDE & SELLERIE","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","bride, rênes, laisse, harnais, laisse de chien, sangle de selle"],
["ÉQUIPEMENT","HIGH TECH","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","combinaison spatiale, ceinture utilitaire"],
["ÉQUIPEMENT","DIVERS","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","divers"],
["ÉQUIPEMENT","LOISIR","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","sac à dos, randonnée, alpinisme, grimper, escalade, camp, tente"],
["ÉQUIPEMENT","SPORT","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","épaulière, genouillère, protège-tibia, jock strap"],
["ÉQUIPEMENT","SÉCURITÉ","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","ceinture, tactique, ceinture de service, ceinture de munitions, police, militaire, bandoulière"],
["EXPLOSIONS","DESIGN","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","onde de choc, édulcorant, écho"],
["EXPLOSIONS","DIVERS","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","détonation"],
["EXPLOSIONS","RÉELLE","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","bang, implosion, crack, pop"],
["PETS","DESIGN","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","putty, razzberry, raspberry, whoopie cushion, flarp, armpit, fartbag, balloon"],
["PETS","DIVERS","FARTMisc","FART","Fart sounds not fitting another category in this list.","pet d'animal"],
["PETS","RÉEL","FARTReal","FART","Real recordings of farts.","pet d'humain, flatulence, caca, zizanie"],
["COMBAT","CHUTE","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","chute de corps, traînée de corps, échauffourée, claquement de corps, plaquage"],
["COMBAT","TISSUS","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","tissu de combat, saisir, arracher, impact de tissu, coup de tissu"],
["COMBAT","SAISIE","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","combat, saisir, grappin, lutte, judo"],
["COMBAT","IMPACT","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","coup de poing, coup de pied, coup de corps, gifle, gifle, bagarre, bousculade, chaussette, uppercut, direct."],
["COMBAT","DIVERS","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","divers"],
["FEU","BRÛLER","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","feu de joie, feu de camp, feu de broussailles, feu de structure, flambée, brasier, combustion, amadou, bûcher"],
["FEU","PROJECTION","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","retour de flamme, feu de dragon, engloutissement"],
["FEU","CRÉPITEMENT","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","pop, spit, snap, sparkle"],
["FEU","GAZ","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","gril à gaz, bec bunsen, fourneau, réchaud de camping, réchaud de cuisine, crématorium, cuisinière à gaz"],
["FEU","ALLUMER","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","allumette, briquet, zippo, enflammer, érupter, flamber, enflammer"],
["FEU","DIVERS","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","divers"],
["FEU","GRÉSILLEMENT","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","tisonnier, mèche, brûler par mèche"],
["FEU","TORCHE","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","flamme, fusée, torche, tison, bâton enflammé, cresson"],
["FEU","TURBULENT","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","tourbillon de feu, feu violent, lance-flammes, tornade de feu, engloutir, refoulement"],
["FEU","WHOOSH","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","boule de feu, brasier, molotov, fusée, refoulement"],
["FEUX D'ARTIFICE","ÉVÉNEMENT","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","mortier, feu d'artifice, pyrotechnie, kaboom, obus, feux d'artifice"],
["FEUX D'ARTIFICE","DIVERS","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","divers"],
["FEUX D'ARTIFICE","LOISIR","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","pétard, m80, cierge magique, fusée en bouteille, bombe fumigène, jumping jack, chandelle romaine, popper, bombe à la cerise"],
["BRUITAGE","VÊTEMENT","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","bruissement, mouvement, mvmt, zuzz"],
["BRUITAGE","PAS","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","pied, chaussure, pas, surface"],
["BRUITAGE","MAINS","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","tapoter, saisir, manipuler, mettre"],
["BRUITAGE","DIVERS","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","divers"],
["BRUITAGE","ACCESSOIRE","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","accessoire, accessoires"],
["NOURRITURE & BOISSONS","CUISINER","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","hacher, trancher, découper, mélanger, mixer, fouetter, sauter, frire, bouillir, griller, grésiller, cuire à la vapeur, ragoter, remuer, faire sauter"],
["NOURRITURE & BOISSONS","BOIRE","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","siroter, aspirer, boire, avaler, avaler goulûment, boire, boire à petites gorgées, boire à grandes gorgées, boire à petites gorgées, boire à petites gorgées"],
["NOURRITURE & BOISSONS","MANGER","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","manger, croquer, mâcher, avaler, croquer, mâcher, mordre, ingérer, consommer, festoyer, nourrir"],
["NOURRITURE & BOISSONS","VERRERIE","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","bouteille, verre, tasse, cruche, carafe, canette"],
["NOURRITURE & BOISSONS","INGRÉDIENTS","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","noix, graines, céréales, légumes, fruits, conserves, céréales, viande, avoine, maïs, etc."],
["NOURRITURE & BOISSONS","USTENSILE","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","poêle, marmite, faitout, marmite, poêle à frire, casserole"],
["NOURRITURE & BOISSONS","DIVERS","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","divers"],
["NOURRITURE & BOISSONS","VERSER","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","verser, couler, déverser, servir"],
["NOURRITURE & BOISSONS","VAISSELLE","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","argenterie, ustensiles, verre qui tinte"],
["PAS","ANIMAL","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","marcher, courir, sprinter"],
["PAS","CRÉATURE","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","dinosaure, créature, bête, dragon, mythique"],
["PAS","CHEVAL","FEETHors","FEET","All manner of horse feet, from single to running.","marcher, trotter, galoper, saboter, sabots, galoper"],
["PAS","HUMAIN","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","marcher, courir, pied, jogging, sprint, sauter, sautiller, boitiller, randonnée, foulée, pas, pieds, marche, escalader"],
["PAS","DIVERS","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","divers"],
["JEUX","ARCADE","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","flipper, whack-a-mole, skeeball, machine à griffes"],
["JEUX","DE PLATEAU","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","échecs, dames, go, backgammon"],
["JEUX","CASINO","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","roulette, machine à sous, craps, roue à billets, keno, machine à poker"],
["JEUX","DIVERS","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","poker, cartes, jenga, dés, knucklebone,"],
["JEUX","VIDEO","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp"],
["GÉOTHERMIQUE","FUMEROLLE","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","évent à vapeur, géothermie, fumerolle"],
["GÉOTHERMIQUE","GEYSER","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","jaillir, pulvériser, bouillonner, bouillir"],
["GÉOTHERMIQUE","LAVE","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","lave, écoulement, crépitement, visqueux, éruption, grondement, volcan"],
["GÉOTHERMIQUE","DIVERS","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","piscine chaude bouillonnante"],
["GÉOTHERMIQUE","MARE DE BOUE","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","pot de boue, pot de peinture, puits de goudron, boue, bulle, bouillie"],
["VERRE","CASSE","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","verre brisé, fracassé, éclaté"],
["VERRE","CRASH & DÉBRIS","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","tesson, fragment, crash, débris"],
["VERRE","FRICTION","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","stress, grattage, craquement, grincement, crissement"],
["VERRE","MANIPULATION","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","manipuler, saisir, poser, ramasser, poser, lancer, attraper"],
["VERRE","IMPACT","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","frapper, laisser tomber, impacter, tinter"],
["VERRE","DIVERS","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","divers"],
["VERRE","MOUVEMENT","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","cliquetis, roulement, ping, claquement"],
["VERRE","TONAL","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","résonner, sonner, tonalité, harmonica de verre, bol de cristal"],
["GORE","SANG","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","goutter, couler, jaillir, gicler, pulvériser"],
["GORE","OS","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","claquement d'os, fracture d'os, bris d'os, claquement de mâchoire, mâchoires"],
["GORE","BRÛLER","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","grésiller, cautériser, voir, marquer"],
["GORE","CHAIR","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","arracher, peler, déchirer, rendre, intestin, viande, blessure"],
["GORE","DIVERS","GOREMisc","GORE","Gore sounds not fitting another category in this list.","divers"],
["GORE","SUINTER","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","suinter, bave, écoulement, gélatine"],
["GORE","SOURCE","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","goosh, squish, goop, slime, ooze, glop, organ, intestin, juicy, goo, splat, ooze, rip, peel, stab, tear, rend, intestine, meat, wound, slice, impale, juicy, splat"],
["GORE","SPLAT","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","goosh, squish, goop, slime, ooze, glop, organ, intestine, juicy, goo, splat"],
["GORE","GICLER","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","écraser, chair, organe, gluant, intestin, juteux, éclabousser"],
["GORE","POIGNARDER","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","trancher, empaler, poignarder, couper, vorpal, démembrer"],
["ARMES À FEU","ANCIENNE","GUNAntq","GUN","Old black powder weapons, muskets.","fusil à chargement par la bouche, mousquet, poudre noire, fusil à silex, fusil long, lance à feu"],
["ARMES À FEU","ARTILLERIE","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","obusier, canon antiaérien, lance-missiles, bazooka, mortier, fusée, naval"],
["ARMES À FEU","AUTOMATIQUE","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47, m16, mitraillette, tommy gun, uzi, m249, M1919, gatling gun, minigun, "],
["ARMES À FEU","CANON","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","tromblon, canon à main, canon, poudre noire..."],
["ARMES À FEU","MANIPULATION","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","holster, pistolet, saisir le pistolet, attraper le pistolet, laisser tomber le pistolet, charger le pistolet"],
["ARMES À FEU","HIGH TECH","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","pistolet sur rail, pistolet d'espionnage"],
["ARMES À FEU","MÉCANISME","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","clip, armement, cliquetis du pistolet, glissière du verrou, chargeur, chargement des balles, armement du pistolet"],
["ARMES À FEU","DIVERS","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","pistolet lance-fusées, pistolet à air comprimé, pistolet de paintball"],
["ARMES À FEU","PISTOLET","GUNPis","GUN","Handguns and pistols.","9mm, pistolet, revolver, glock, arme de poing, colt, smith & wesson, sig sauer, luger, walther ppk, browning, ruger, beretta"],
["ARMES À FEU","FUSIL","GUNRif","GUN","Rifles, single shot and semi-automatic.","fusil, mauser, casull, arisaka, luger, carbine, powell, sniper, chasse, semi-automatique"],
["ARMES À FEU","FUSIL À POMPE","GUNShotg","GUN","Shotguns, single, dual, pump.","fusil de chasse, double canon, mossberg, winchester, coach gun"],
["ARMES À FEU","SILENCIEUX","GUNSupr","GUN","Silenced Weapons, silencers.","silencieux, silencieux"],
["CORNES & AVERTISSEURS","CORNE DE BRUME","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","corne de brume, corne à air, corne d'usine"],
["CORNES & AVERTISSEURS","FESTIF","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","klaxon de fête, vuvuzela"],
["CORNES & AVERTISSEURS","DIVERS","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","appeau de chasse, appeau à élan, appeau à canard, clairon de renard"],
["CORNES & AVERTISSEURS","TRADITIONNEL","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","shofar, conque, coquille de conque, cor de combat, cor des Alpes, cor des Alpes, cor des Alpes"],
["HUMAIN","SOUFFLE","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","souffler, expirer"],
["HUMAIN","RESPIRE","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","respirer, soupirer, inspirer, expirer, haleter, siffler, souffler, soulever, hurler, respiration, inspiration, expiration"],
["HUMAIN","ROTE","HMNBurp","HMN","Human belches, burps.","roter, éructer, hoqueter"],
["HUMAIN","TOUSSE","HMNCough","HMN","Human coughs and coughing.","hoquet, ahem, rauque, gorge claire"],
["HUMAIN","PULSATION","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","palpitation, bumbum"],
["HUMAIN","BISOU","HMNKiss","HMN","Human kissing.","bécotage, baiser"],
["HUMAIN","DIVERS","HMNMisc","HMN","Human sounds not fitting another category in this list.","divers"],
["HUMAIN","URINE","HMNPee","HMN","Human urinating.","pisser, uriner, faire pipi, uriner, faire pipi, faire pipi, faire pipi"],
["HUMAIN","PEAU","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","frotter, gratter, peau, démangeaison, gifler, saisir la main, poignée de main, caresser, frotter, frotter le dos"],
["HUMAIN","ÉTERNUE","HMNSneez","HMN","Human sneezing.","éternuer, ah-choo"],
["HUMAIN","RENIFLE","HMNSniff","HMN","Human sniffing, smelling.","renifler, renifler, sentir, renifler"],
["HUMAIN","RONFLE","HMNSnor","HMN","Human snoring.","ronfler, zzz, congestionné, respiration lourde, apnée"],
["HUMAIN","CRACHE","HMNSpit","HMN","Human spits.","cracher, jarret, cracher, crachoir, baver"],
["HUMAIN","VOMIT","HMNVomit","HMN","Human vomiting.","vomir, vomir, vomir, expulser, vomir, vomir, vomir, vomir, vomir, vomir, vomir, mal de mer"],
["GLACE","CASSE","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","casser, craquer, déchirer, briser, craquer"],
["GLACE","CRASH & DÉBRIS","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","s'écraser, tomber, débris"],
["GLACE","FRICTION","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","stresser, gratter, craquer, grincer, hurler"],
["GLACE","MANIPULATION","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","manipuler, saisir, poser, ramasser, déposer, lancer, attraper"],
["GLACE","IMPACT","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","frapper, tomber, impacter, s'écraser, faire un bruit sourd, faire un bruit sec, faire un bruit sec, hacher"],
["GLACE","DIVERS","ICEMisc","ICE","Ice sounds not fitting another category in this list.","divers"],
["GLACE","MOUVEMENT","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","traîner, rouler, faire du bruit, secouer"],
["GLACE","TONAL","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","arc, anneau, shing"],
["LASERS","RAYON","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","faisceau, gamma, rayon"],
["LASERS","ARME","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","arme à plasma, blaster, canon laser"],
["LASERS","IMPACT","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","laser, blaster, impact, coup, grésillement"],
["LASERS","DIVERS","LASRMisc","LASR","Laser sounds not fitting another category in this list.","divers"],
["CUIR","GRINCEMENT","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","craquer, stress, tension"],
["CUIR","MANIPULATION","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","manipuler, saisir, poser, ramasser, poser, lancer, attraper"],
["CUIR","IMPACT","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","frapper, impact, saisir, bruit sourd, bruit sourd"],
["CUIR","DIVERS","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","divers"],
["CUIR","MOUVEMENT","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","battement, flop, bruissement, mvmt, glisser"],
["LIQUIDE & BOUE","BULLES","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","bulle, mousse, pop, boue"],
["LIQUIDE & BOUE","IMPACT","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","splat, splatter, frapper, impact, plop, kerplunk, plunk, boue"],
["LIQUIDE & BOUE","DIVERS","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","divers"],
["LIQUIDE & BOUE","MOUVEMENT","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","suintement, bave, gluant, boue"],
["LIQUIDE & BOUE","SUCCION","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","aspiration, slurp, glomp, plunger, boue"],
["MACHINES","ATTRACTION","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","montagnes russes, manège, scrambler, tilt-a-whirl, manège pour enfants, manège de parc à thème, flipper, skeeball"],
["MACHINES","ANCIENNE","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","presse à imprimer, machine à coudre, presse à olives, baratte à beurre"],
["MACHINES","APPAREIL","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","four, réfrigérateur, mixeur, robot ménager, sèche-cheveux, machine à glace, lave-linge, sèche-linge, fer à repasser, cafetière, lave-vaisselle, ouvre-boîte électrique, broyeur à déchets, humidificateur, déshumidificateur, machine à coudre, grille-pain, gaufrier, plaque chauffante"],
["MACHINES","CHANTIER","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","grue, bétonnière, broyeur à bois"],
["MACHINES","ASCENSEUR","MACHElev","MACH","Elevator movement and doors would go here.","paternoster, monte-charge, ascenseur, ascenseur pour passagers, ascenseur"],
["MACHINES","ESCALATOR","MACHEscl","MACH","Escalators and moving walkways would go here.","voyageur, trottoir roulant"],
["MACHINES","VENTILATEUR","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","ventilateur, ventilateur de plafond, ventilateur de boîte, ventilateur industriel, ventilateur sans pale"],
["MACHINES","JARDIN","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","tondeuse à gazon, coupe-herbe, coupe-bordure, tronçonneuse, coupe-bordure, scie à poteau, broyeur, cultivateur"],
["MACHINES","GYM","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","tapis de course, vélo elliptique, rameur, vélo d'exercice, vélo stationnaire, nordictrack, monte-escalier."],
["MACHINES","HIGH TECH","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","gadget, numérique, portable"],
["MACHINES","VENTILATION","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","aircon, air conditionné, chauffage."],
["MACHINES","INDUSTRIEL","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","presse hydraulique, chaîne de montage, distillerie, poinçonneuse, presse à coffrage+F437:F450"],
["MACHINES","MÉCANISME","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","boîte à puzzle, rube goldberg, gizmo"],
["MACHINES","MÉDICAL","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","appareils à rayons X, IRM, scanner pour chats, scanner pour animaux, tensiomètre, appareil pour tests de laboratoire, centrifugeuse, ventilateur, défibrillateur."],
["MACHINES","DIVERS","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","divers"],
["MACHINES","BUREAU","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","télécopieur, télécopie, télécopieur, photocopieuse, imprimante, déchiqueteuse, photocopieuse, miméographe, imprimante laser, imprimante à jet d'encre, déchiqueteuse de papier, traceur, etc."],
["MACHINES","POMPE","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","pompe à eau, pompe de puisard, compresseur, compresseur d'air"],
["MAGIE","BLANCHE","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","saint, céleste, éthéré, divin, spirituel, béatifique, juste, saint"],
["MAGIE","ÉLÉMENTAIRE","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","feu, eau, terre, électrique, air, vent"],
["MAGIE","NOIRE","MAGEvil","MAG","Evil magic, ominous, dark magic. Voldemort type stuff.","sombre, diable, invocation, nécromancie, vaudou, magie noire, interdit"],
["MAGIE","DIVERS","MAGMisc","MAG","Magic sounds not fitting another category in this list.","divers"],
["MAGIE","POUF","MAGPoof","MAG","Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","chuff, foomp, blast"],
["MAGIE","SCINTILLEMENT","MAGShim","MAG","Glassy or chime-like shimmers, waves of particle type magic.","scintiller, étinceler, clocher, carillon, scintiller, scintiller, scintiller, scintiller, luire, scintiller, briller"],
