[["空気","吹く","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","圧縮空気、減圧、放出、パフ、スパッタ、フラッター、パージ"],
["引き出し","プラスティック","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","部品箱、デスクオーガナイザー"],
["引き出し","木","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","キッチンの引き出し、バスルームの引き出し"],
["電気、電力","アーク、電弧","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","ジェイコブの梯子、テスラコイル、箱舟、アーチ、発電所、感電死"],
["電気、電力","ハムノイズ","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","グランドハム、アンプハム、アンプバズ、スピーカーハム、スピーカーバズ、ハム、バズ、インダクションハム"],
["電気、電力","電磁石","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, コイル, ピックアップ, インダクション"],
["電気、電力","その他","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","雑多"],
["電気、電力","放電","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","線香花火、溶接、スパッタリング、短絡"],
["電気、電力","短い衝撃音","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","放電、テーザー、テーザー銃、感電死"],
["道具、器具","動物の手綱","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","手綱、手綱、リード、ハーネス、犬用リード、鞍用ストラップ"],
["道具、器具","ハイテク","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","宇宙服、ユーティリティベルト"],
["道具、器具","その他","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","雑多なもの"],
["道具、器具","アウドドア","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","バックパック、ハイキング、登山、クライミング、ロッククライミング、キャンプ、テント"],
["道具、器具","スポーツ","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","ショルダーパッド、ニーパッド、スネパッド、ジョックストラップ"],
["道具、器具","軍用、警察用","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","ベルト、タクティカル、デューティーベルト、弾薬ベルト、ポリス、ミリタリー、バンドリア"],
["爆発","デザイン創作音","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","衝撃波、甘味料、エコー"],
["爆発","その他","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","デトネーション"],
["爆発","現場収録音","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","バン、爆縮、亀裂、ポップ"],
["おなら","デザイン創作音","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","パテ、ラズベリー、ラズベリー、ウーピー・クッション、フラップ、ワキ、ファートバッグ、バルーン"],
["おなら","その他","FARTMisc","FART","Fart sounds not fitting another category in this list.","動物のおなら"],
["おなら","実音","FARTReal","FART","Real recordings of farts.","人間のおなら、鼓腸、プート、トゥート"],
["戦闘、戦い","人体落下","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","ボディフォール、ボディドラッグ、スカッフル、ボディスラム、タックル"],
["戦闘、戦い","布、衣擦れ","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","戦闘服, グラブ, スナッチ, 布製インパクト, 布製ヒット"],
["戦闘、戦い","掴む","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","格闘, グラップル, レスリング, 柔道"],
["戦闘、戦い","打撃、インパクト","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","パンチ、キック、ボディブロー、スラップ、スマック、乱闘、シャブ、ソック、アッパーカット、ジャブ"],
["戦闘、戦い","その他","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","雑多"],
["火災、火","燃焼、燃える","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","かがり火、キャンプファイヤー、ブラシ火災、構造火災、炎、インフェルノ、燃焼、火種、焚き火"],
["火災、火","バースト、爆発","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","バックドラフト, ドラゴンファイア, 巻き込み"],
["火災、火","パチパチと音を立てる","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","ポップ, スピット, スナップ, スパークル"],
["火災、火","ガス","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","ガスグリル、ブンゼンバーナー、炉、キャンプ用コンロ、キッチン用コンロ、火葬場、ガスレンジ"],
["火災、火","発火","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","マッチ、ライター、ジッポー、燃え上がる、噴出する、炎を上げる、燃え上がる"],
["火災、火","その他","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","雑多な"],
["火災、火","シュー、燃え上がる","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","火かき棒、導火線、導火線燃焼"],
["火災、火","トーチ、松明","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","フレア、ヒューズ、トーチ、ファイヤーブランド、火炎棒、クレセット"],
["火災、火","乱流、激流","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","火の渦、激しい火、火炎放射器、火の竜巻、巻き込む、逆流する"],
["火災、火","ウーシュ、ヒュッ、シュッ","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","火の玉、炎、火炎瓶、フレア、バックドラフト"],
["花火","花火大会","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","迫撃砲、花火、火工品、カブーン、砲弾、花火大会"],
["花火","その他","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","雑多な"],
["花火","手持ち花火","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","爆竹、M80、線香花火、ボトルロケット、発煙筒、ジャンピングジャック、ローマンキャンドル、ポッパー、チェリーボム"],
["フォーリー","布","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","ざわめき、動き、mvmt、zuzz"],
["フォーリー","足音","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","足、靴、足音、表面"],
["フォーリー","手の音","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","パット、グラブ、ハンドル、セット"],
["フォーリー","その他","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","雑多な"],
["フォーリー","小道具","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","小道具、プロップス"],
["食","料理","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","切る、スライスする、さいの目切り、混ぜる、泡立てる、炒める、煮る、焼く、ジュージュー言う、蒸す、シチュー、かき混ぜる、炒める"],
["食","ドリンク、飲む","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","飲む、すする、飲む、飲み込む、がぶ飲みする、飲み物、一気飲みする、飲み干す"],
["食","食べる、食事","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","食べる、噛む、飲み込む、むしゃむしゃ食べる、噛む、摂取する、消費する、ごちそうする、養う。"],
["食","ガラス食器","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","ボトル、ガラス、カップ、水差し、カラフェ、缶"],
["食","グラスとボトル","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","ナッツ、種子、穀物、野菜、果物、缶詰、穀類、肉、オート麦、トウモロコシ"],
["食","調理器具、調理道具","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","pan, pot, stewpan, stockpot, frying pan, saucepan (鍋)"],
["食","その他","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","雑多なもの"],
["食","そそぐ、つぐ","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","注ぐ、流す、こぼす、盛る"],
["食","テーブル用品、食器","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","銀食器、食器、グラスの音"],
["足音","動物","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","歩く, 走る, 疾走する"],
["足音","モンスター、怪物","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","恐竜、生き物、獣、竜、神話"],
["足音","馬","FEETHors","FEET","All manner of horse feet, from single to running.","歩く, トロット, ギャロップ, 蹄, 蹄鉄, 駈歩"],
["足音","人間","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","歩く、走る、足、ジョギング、スプリント、ジャンプ、スキップ、ホブル、ハイク、ストライド、フットステップ、フィート、ステップ、クライミング"],
["足音","その他","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","雑技"],
["ゲーム","アーケード","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","ピンボール, モグラたたき, スキーボール, ツメマシン"],
["ゲーム","ボードゲーム","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","チェス、チェッカー、囲碁、バックギャモン"],
["ゲーム","カジノ","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","ルーレット、スロットマシン、クラップス、マネーホイール、ケノ、ポーカーマシン"],
["ゲーム","その他","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","ポーカー、カード、ジェンガ、サイコロ、ナックルボーン"],
["ゲーム","ビデオ","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","アタリ、PS4、Xbox One、Xbox 360、アムストラッド、ファミコン、スネ、ゲームボーイ、ニンテンドー64、プレイステーション、メガドライブ、PSP"],
["地熱","墳気孔","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","蒸気孔、地熱、噴気孔"],
["地熱","間欠泉","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","噴出、噴霧、泡、沸騰"],
["地熱","溶岩","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","溶岩, 流れ, パチパチ音, 粘性, 炎, ゴロゴロ音, 火山"],
["地熱","その他","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","泡立つホットプール"],
["地熱","泥池","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","泥壺、絵の具壺、タール壺、泥、泡、グロップ"],
["ガラス","割れる、壊れる","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","ガラスが割れる、粉々になる、砕ける"],
["ガラス","破壊、瓦礫","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","破片, 破片, 衝突, 破片"],
["ガラス","引っ掻く","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","応力、擦過、きしみ、軋み、金切り声"],
["ガラス","めくる、持つ","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","ハンドル、グラブ、セット、ピックアップ、セットダウン、トス、キャッチ"],
["ガラス","インパクト、打撃","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","打つ、落とす、ぶつける、鳴らす"],
["ガラス","その他","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","雑多な"],
["ガラス","動かす、運ぶ","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","ガラガラ、コロコロ、ピンポン、ガチャガチャ"],
["ガラス","グラスサウンド","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","共鳴する, 鳴る, 音色, ガラスハーモニカ, クリスタルボウル"],
["残虐シーン","血","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","滴る, 流れる, 噴出する, 噴霧する"],
["残虐シーン","骨が砕ける","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","骨が折れる、骨が砕ける、顎が折れる、顎が鳴る"],
["残虐シーン","焼く","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","焼く、焼く、焼く、焼く、焼く"],
["残虐シーン","生","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","裂く、剥ぐ、裂く、裂く、腸、肉、傷口"],
["残虐シーン","その他","GOREMisc","GORE","Gore sounds not fitting another category in this list.","雑多な"],
["残虐シーン","にじみ出る","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","にじみ出る, スライム, 流れる, ゼラチン"],
["残虐シーン","イメージ音","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","グシュ、スクイッシュ、グープ、スライム、にじみ、内臓、腸、ジューシー、グー、スプラット、にじみ、裂く、剥がす、刺す、裂く、裂く、腸、肉、傷、スライス、インペイル、ジューシー、スプラット"],
["残虐シーン","飛び散る","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","グーシュ、スクイッシュ、グープ、スライム、ウーズ、グロップ、器官、腸、ジューシー、グー、スプラット"],
["残虐シーン","潰れる","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","グシャグシャ、肉、臓器、グシャグシャ、腸、ジューシー、スプラット"],
["残虐シーン","刺す","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","切り裂く、突き刺す、切る、抉り取る、バラバラにする"],
["銃","アンティーク、旧式","GUNAntq","GUN","Old black powder weapons, muskets.","銃口、マスケット、黒色火薬、フリントロック、ロングライフル、火槍"],
["銃","砲兵","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","榴弾砲、対空砲、ミサイルランチャー、バズーカ、迫撃砲、ロケット砲、艦艇"],
["銃","オートマチック","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","AK-47、M16、マシンガン、トミーガン、UZI、M249、M1919、ガトリングガン、ミニガン。"],
["銃","キャノン砲","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","雷管、ハンドキャノン、大砲、黒色火薬"],
["銃","めくる、持つ","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","ホルスター、銃、ガングラブ、ガンキャッチ、ガンドロップ、ガンロード"],
["銃","ハイテク","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","レールガン、スパイガン"],
["銃","メカニカル音","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","クリップ、コッキング、銃のガラガラ、ボルトスライド、マガジン、弾丸充填、銃のコック"],
["銃","その他","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","フレアガン、エアガン、ペイントボールガン"],
["銃","ピストル","GUNPis","GUN","Handguns and pistols.","9mm、ピストル、リボルバー、グロック、ハンドガン、コルト、スミス＆ウェッソン、シグソー、ルガー、ワルサーPPK、ブローニング、ルガー、ベレッタ"],
["銃","ライフル","GUNRif","GUN","Rifles, single shot and semi-automatic.","ライフル、マウザー、カズール、アリサカ、ルガー、カービン、パウエル、スナイパー、ハンティング、セミオートマチック"],
["銃","ショットガン","GUNShotg","GUN","Shotguns, single, dual, pump.","散弾銃、ダブルバレル、モスバーガー、ウィンチェスタ、コーチガン"],
["銃","サイレンサー","GUNSupr","GUN","Silenced Weapons, silencers.","サイレンサー、サイレンサー"],
["ホーン、ラッパ","エアホーン","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","フォグホーン、エアホーン、ファクトリーホーン"],
["ホーン、ラッパ","パーティー","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","パーティーホーン、ブブゼラ"],
["ホーン、ラッパ","その他","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","ハンティングコール、ヘラジカコール、アヒルコール、キツネラッパ"],
["ホーン、ラッパ","伝統的","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","ショファー、法螺貝、法螺貝、バトルホーン、アルプホルン、アルペンホルン、アルペンホルン"],
["人間","吹く","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","吹く, 吐く"],
["人間","息、呼吸","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","息、ため息、吸い込み、吐き出し、あえぎ、喘ぎ、ふー、ヒーブ、フープ、呼吸、吸気、呼気"],
["人間","げっぷ","HMNBurp","HMN","Human belches, burps.","げっぷ、腹鳴らし、しゃっくり"],
["人間","咳","HMNCough","HMN","Human coughs and coughing.","ハック、エヘン、嗄れ声、クリアスノート"],
["人間","鼓動、拍動","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","動悸、腰痛"],
["人間","キス","HMNKiss","HMN","Human kissing.","スモーチ, ペック"],
["人間","その他","HMNMisc","HMN","Human sounds not fitting another category in this list.","雑多なこと"],
["人間","おしっこ","HMNPee","HMN","Human urinating.","おしっこ、排尿、おしっこ、排尿、ティンクル、ウィズ"],
["人間","肌","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","こする、ひっかく、皮膚、かゆみ、平手打ち、手づかみ、握手、愛撫、こする、背中をさする"],
["人間","くしゃみ","HMNSneez","HMN","Human sneezing.","くしゃみ, あーん"],
["人間","嗅ぐ","HMNSniff","HMN","Human sniffing, smelling.","鼻をかむ、においをかぐ、鼻をかむ"],
["人間","いびき","HMNSnor","HMN","Human snoring.","いびき, zzz, 鼻づまり, 呼吸困難, 無呼吸症候群"],
["人間","吐く","HMNSpit","HMN","Human spits.","唾を吐く、ホックする、吐き出す、唾液、よだれ"],
["人間","吐く","HMNVomit","HMN","Human vomiting.","吐く, 嘔吐, アップチャック, 排出, ヒーブ, ゲップ, レッチ, ハール, 噴出, 船酔い"],
["氷","割る","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","壊れる、割れる、裂ける、砕ける、砕ける"],
["氷","砕く、砕ける","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","クラッシュ、フォール、デブリ"],
["氷","鳴る、響く","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","ストレス、擦り傷、きしみ、軋み、金切り声"],
["氷","めくる、持つ","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","ハンドル、グラブ、セット、ピックアップ、セットダウン、トス、キャッチ"],
["氷","インパクト、打撃","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","ぶつかる、落ちる、衝撃、衝突、ガチャン、ガチャン、カチン、チョップ"],
["氷","その他","ICEMisc","ICE","Ice sounds not fitting another category in this list.","雑多"],
["氷","滑る、動く","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","引きずる, 転がす, ガラガラさせる, 揺する"],
["氷","氷の音階","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","弓、リング、シン"],
["レーザー","ビーム","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","ビーム、ガンマ線、光線"],
["レーザー","銃、ガン","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","プラズマ兵器、ブラスター、レーザーキャノン"],
["レーザー","インパクト、打撃","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","レーザー、ブラスター、インパクト、ヒット、シズル感"],
["レーザー","その他","LASRMisc","LASR","Laser sounds not fitting another category in this list.","雑多な"],
["革","きしむ音、キーキー","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","きしむ, ストレス, 緊張"],
["革","めくる、持つ","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","ハンドル、つかむ、セット、ピックアップ、セットダウン、トス、キャッチ"],
["革","インパクト、ぶつける","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","ぶつかる, 衝撃, つかむ, ドスン, ドスン"],
["革","その他","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","雑多"],
["革","動作音、所作音","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","はばたく, はたたく, さわる, すべる, すべる"],
["液体と泥","泡","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","泡, 泡, 弾ける, 泥"],
["液体と泥","インパクト、打撃","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","splat, splatter, ヒット, インパクト, plop, kerplunk, plunk, mud"],
["液体と泥","その他","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","雑多"],
["液体と泥","動作音、動く","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","にじみ出る, スライム, ベトベト, 泥"],
["液体と泥","吸う、吸引","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","吸引, スラリープ, グロンプ, プランジャー, 泥"],
["機械","アミューズメント","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","ジェットコースター、メリーゴーランド、スクランブラー、ティルタワー、子供用乗り物、テーマパークの乗り物、ピンボール、スキボール"],
["機械","アンティーク、旧式","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","印刷機、ミシン、オリーブ絞り機、バター撹拌機"],
["機械","装置、設備","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","オーブン、冷蔵庫、ミキサー、フードプロセッサー、ヘアドライヤー、製氷機、洗濯機、乾燥機、アイロン、コーヒーメーカー、食器洗い機、電動缶切り、ディスポーザー、加湿器、除湿器、ミシン、トースター、ワッフルメーカー、グリドル、ホットプレート"],
["機械","建設用機械、重機","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","クレーン、セメントミキサー、木材粉砕機"],
["機械","エレベーター","MACHElev","MACH","Elevator movement and doors would go here.","ペイターノスター、貨物用エレベーター、乗用エレベーター、リフト"],
["機械","エスカレーター","MACHEscl","MACH","Escalators and moving walkways would go here.","トラベレータ、動く歩道"],
["機械","ファン","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","扇風機、シーリングファン、ボックスファン、工業用扇風機、羽根のない扇風機"],
["機械","庭","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","芝刈り機、草刈機、エッジャー、チェーンソー、トリマー、ポールソー、マルチャー、耕運機"],
["機械","ジム","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","トレッドミル、エリプティカル、ローイングマシン、エクササイズバイク、ステーショナリーバイク、ノルディクトラック、ステアクライマー"],
["機械","ハイテク","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","ガジェット、デジタル、ハンドヘルド"],
["機械","空調機","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","エアコン、冷房、暖房"],
["機械","工業、産業","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","油圧プレス、組立ライン、蒸留所、パンチプレス、フォームプレス+F437:F450"],
["機械","メカニズム","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","パズルボックス、ルーブ・ゴールドバーグ、ギズモ"],
["機械","医療","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","X線装置、MRI、キャットスキャン、ペットスキャン、血圧測定器、臨床検査機器、遠心分離機、人工呼吸器、除細動器"],
["機械","その他","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","雑多なもの"],
["機械","オフィス","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","ファックス、ファクシミリ、テレファックス、コピー機、プリンタ、シュレッダー、ゼロックス、コピー機、謄写版、レーザープリンタ、インクジェット、シュレッダー、プロッター"],
["機械","ポンプ","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","水ポンプ、排水ポンプ、コンプレッサー、エアーコンプレッサー"],
["魔法","天使","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","聖なる、天空の、エーテル状の、神聖な、霊的な、神聖な、正義の、聖人のような"],
["魔法","エレメンツ","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","火、水、土、電気、空気、風"],
["魔法","悪魔","MAGEvil","MAG","Evil magic, ominous, dark magic. Voldemort type stuff.","暗黒、悪魔、召喚、黒魔術、ブードゥー教、黒魔術、禁忌"],
["魔法","その他","MAGMisc","MAG","Magic sounds not fitting another category in this list.","雑多"],
["魔法","ME、タッチ音","MAGPoof","MAG","Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","チャフ、フン、ブラスト"],
["魔法","輝く、光る","MAGShim","MAG","Glassy or chime-like shimmers, waves of particle type magic.","きらめき、きらめき、ベル・ツリー、チャイム、きらめき、きらめき、シンチレーション、グロー、グリマー、ギラギラ"],
["魔法","呪文、魔力","MAGSpel","MAG","Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.","魔女、魔法使い、魔術師、キャスト、呪文、ルーン、魔術、エンチャント、召喚、妖術、悪魔払い、呪い、恍惚とした表情"],
