[["AIRE","SOPLAR","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","aire comprimido, despresurizar, liberar, soplar, chisporrotear, aletear, purgar"],
["CAJONES","METAL","DRWRMetl","DRWR","Metal drawers like on a toolbox.","caja de herramientas, cajón de estantería, archivador, caja registradora, cajón de seguridad"],
["CAJONES","MISCELÁNEA","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","varios"],
["CAJONES","PLÁSTICO","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","cajón de piezas, organizador de escritorio"],
["CAJONES","MADERA","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","cajón de cocina, cajón de baño"],
["ELECTRICIDAD","ARCO VOLTAICO","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","escalera de jacob, bobina de tesla, arca, arco, central eléctrica, electrocutar"],
["ELECTRICIDAD","ZUMBIDO","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","zumbido de tierra, zumbido de amplificador, zumbido de altavoz, zumbido de altavoz, zumbido, zumbido, zumbido de inducción"],
["ELECTRICIDAD","ELECTROMAGNETISMO","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, bobina, pastilla, inducción"],
["ELECTRICIDAD","MISCELÁNEA","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","varios"],
["ELECTRICIDAD","CHISPA","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","chispa, soldadura, chisporroteo, cortocircuito"],
["ELECTRICIDAD","DESCARGA","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","descarga, tase, taser, electrocutar"],
["EQUIPAMIENTO","ARNÉS Y SILLÍN","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","brida, riendas, correa, arnés, correa de perro, correa de silla de montar"],
["EQUIPAMIENTO","HI-TECH","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","traje espacial, cinturón utilitario"],
["EQUIPAMIENTO","MISCELÁNEA","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","varios"],
["EQUIPAMIENTO","RECREATIVO","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","mochila, caminata, excursionismo, alpinismo, escalada, escalada en roca, campamento, tienda de campaña"],
["EQUIPAMIENTO","DEPORTIVO","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","hombrera, rodillera, espinillera, suspensorio"],
["EQUIPAMIENTO","TÁCTICO","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","cinturón, táctico, cinturón de servicio, cinturón de munición, policía, militar, bandolera"],
["EXPLOSIONES","DISEÑADAS","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","onda expansiva, edulcorante, eco"],
["EXPLOSIONES","MISCELÁNEA","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","detonación"],
["EXPLOSIONES","REALES","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","bang, implosión, crack, pop"],
["PEDOS","DISEÑADOS","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","putty, razzberry, raspberry, whoopie cushion, flarp, armpit, fartbag, balloon"],
["PEDOS","MISCELÁNEA","FARTMisc","FART","Fart sounds not fitting another category in this list.","pedo animal"],
["PEDOS","REALES","FARTReal","FART","Real recordings of farts.","pedo humano, flatulencia, poot, toot"],
["LUCHA","CAÍDA SUELO","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","bodyfall, body drag, scuffle, body slam, tackle"],
["LUCHA","ROPA","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","tela de combate, agarrar, arrebatar, impacto de tela, golpe de tela"],
["LUCHA","AGARRAR","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","combate, agarre, forcejeo, lucha, judo"],
["LUCHA","IMPACTO","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","puñetazo, patada, golpe al cuerpo, bofetada, bofetada, bronca, empujón, calcetín, uppercut, jab"],
["LUCHA","MISCELÁNEA","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","varios"],
["FUEGO","QUEMAR","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","hoguera, hoguera de campamento, incendio de matorrales, incendio de estructuras, incendio, infierno, combustión, yesca, pira"],
["FUEGO","RÁFAGA","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","contrafuego, fuego de dragón, engullir"],
["FUEGO","CREPITAR","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","estallar, escupir, chasquear, chispear"],
["FUEGO","GAS","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","parrilla de gas, mechero bunsen, horno, hornillo de camping, hornillo de cocina, crematorio, cocina de gas"],
["FUEGO","PRENDER","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","cerilla, encendedor, zippo, enflamar, estallar, flamear, inflamar"],
["FUEGO","MISCELÁNEA","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","varios"],
["FUEGO","CHISPORROTEO","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","atizador, mecha, quemar mecha"],
["FUEGO","ANTORCHA","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","bengala, mecha, antorcha, tea, palo en llamas, cresset"],
["FUEGO","TURBULENCIA","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","remolino de fuego, fuego violento, lanzallamas, tornado de fuego, engullir, retropropulsión"],
["FUEGO","WHOOSH","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","bola de fuego, llamarada, molotov, bengala, retropropulsión"],
["FUEGOS ARTIFICIALES","PETARDOS y COHETES","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","mortero, fuego artificial, pirotecnia, kaboom, proyectil, castillo de fuegos artificiales"],
["FUEGOS ARTIFICIALES","MISCELÁNEA","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","varios"],
["FUEGOS ARTIFICIALES","FUEGOS ARTIFICIALES","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","petardo, m80, bengala, cohete de botella, bomba de humo, jumping jack, vela romana, popper, bomba de cereza"],
["FOLEY","ROPA","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","susurro, movimiento, mvmt, zuzz"],
["FOLEY","PASO","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","pie, zapato, pisada, superficie"],
["FOLEY","MANO","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","palmada, agarre, asa, juego"],
["FOLEY","MISCELÁNEA","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","varios"],
["FOLEY","PROP","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","atrezzo, accesorios"],
["COMIDA Y BEBIDA","COCINAR","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","picar, rebanar, cortar en dados, mezclar, batir, saltear, freír, hervir, asar, chisporrotear, cocinar al vapor, guisar, remover, saltear"],
["COMIDA Y BEBIDA","BEBIDA","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","sorber, sorber, beber, tragar, engullir, bebida, trago, trago, trago, trago"],
["COMIDA Y BEBIDA","COMIDA","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","comer, crujir, masticar, tragar, masticar, morder, ingerir, consumir, darse un festín, alimentarse"],
["COMIDA Y BEBIDA","CRISTALERÍA","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","botella, vaso, taza, jarra, lata"],
["COMIDA Y BEBIDA","INGREDIENTE","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","nuez, semilla, grano, verdura, fruta, comida enlatada, cereal, carne, avena, maíz"],
["COMIDA Y BEBIDA","MENAJE","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","sartén, olla, cacerola, marmita, sartén, cazo"],
["COMIDA Y BEBIDA","MISCELÁNEA","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","varios"],
["COMIDA Y BEBIDA","VERTER","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","verter, fluir, derramar, servir"],
["COMIDA Y BEBIDA","CUBERTERÍA","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","cubiertos, utensilios, tintineo de vasos"],
["PASOS","ANIMALES","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","caminar, correr, esprintar"],
["PASOS","CRIATURAS","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","dinosaurio, criatura, bestia, dragón, mítico"],
["PASOS","CABALLOS","FEETHors","FEET","All manner of horse feet, from single to running.","caminar, trotar, galopar, casco, cascos, galope"],
["PASOS","HUMANOS","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","andar, correr, pisar, trotar, esprintar, saltar, brincar, cojear, caminar, zancada, pisar, pies, paso, trepar"],
["PASOS","MISCELÁNEA","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","varios"],
["JUEGO","ARCADE","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","pinball, whack-a-mole, skeeball, máquina de garras"],
["JUEGO","MESA","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","ajedrez, damas, go, backgammon"],
["JUEGO","CASINO","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","ruleta, máquina tragaperras, dados, moneywheel, keno, máquina de póquer"],
["JUEGO","MISCELÁNEA","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","poker, cartas, jenga, dados, knucklebone"],
["JUEGO","VIDEOJUEGO","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp"],
["GEOTÉRMICO","FUMAROLA","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","salida de vapor, geotérmica, fumarola"],
["GEOTÉRMICO","GEISER","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","chorro, rocío, burbuja, ebullición"],
["GEOTÉRMICO","LAVA","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","lava, flujo, crepitar, viscoso, llamarada, retumbar, volcán"],
["GEOTÉRMICO","MISCELÁNEA","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","piscina caliente burbujeante"],
["GEOTÉRMICO","BORBOTEO","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","pozo de barro, pozo de pintura, pozo de alquitrán, lodo, burbuja, glop"],
["CRISTAL","ROMPER","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","vidrio romper, aplastar, hacer añicos"],
["CRISTAL","CHOQUE Y ESCOMBROS","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","esquirla, fragmento, choque, escombro"],
["CRISTAL","FRICCIÓN","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","tensión, raspadura, crujido, chirrido, chirrido"],
["CRISTAL","MANIPULAR","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","manejar, agarrar, colocar, recoger, depositar, lanzar, atrapar"],
["CRISTAL","IMPACTO","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","golpear, dejar caer, impactar, tintinear"],
["CRISTAL","MISCELÁNEA","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","varios"],
["CRISTAL","MOVIMIENTO","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","traquetear, rodar, tintinear, repiquetear"],
["CRISTAL","TONAL","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","resonar, sonar, tonalidad, armónica de vidrio, cuenco de cristal"],
["GORE","SANGRE","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","gotear, fluir, brotar, chorrear, rociar"],
["GORE","HUESO","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","chasquido de huesos, rotura de huesos, destrozo de huesos, chasquido de mandíbulas, mandíbulas"],
["GORE","QUEMAR","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","chisporrotear, cauterizar, ver, marcar"],
["GORE","CARNE","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","rasgar, pelar, desgarrar, desgarrar, intestino, carne, herida"],
["GORE","MISCELÁNEA","GOREMisc","GORE","Gore sounds not fitting another category in this list.","varios"],
["GORE","SUPURAR","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","rezumar, limo, fluir, gelatina"],
["GORE","BRUTO","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","goosh, squish, goop, slime, ooze, glop, organ, intestine, juicy, goo, splat, ooze, rip, peel, stab, tear, rend, intestine, meat, wound, slice, impale, juicy, splat"],
["GORE","SALPICAR","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","goosh, squish, goop, slime, ooze, glop, organ, intestine, juicy, goo, splat"],
["GORE","VÍSCERAS","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","aplastar, carne, órgano, viscosidad, intestino, jugoso, salpicar"],
["GORE","PUÑALADA","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","rebanar, empalar, apuñalar, cortar, vórtice, desmembrar"],
["ARMAS","ANTIGUAS","GUNAntq","GUN","Old black powder weapons, muskets.","carabina, mosquete, pólvora negra, carabina de pedernal, fusil largo, lanza de fuego"],
["ARMAS","ARTILLERÍA","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","obús, cañón antiaéreo, lanzamisiles, bazuca, mortero, cohete, naval"],
["ARMAS","AUTOMÁTICA","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47, m16, ametralladora, tommy gun, uzi, m249, M1919, ametralladora gatling, minigun, "],
["ARMAS","CAÑÓN","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","trabuco, cañón de mano, cañón, pólvora negra"],
["ARMAS","MANIPULAR","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","funda, pistola, agarrar pistola, coger pistola, soltar pistola, cargar pistola"],
["ARMAS","HI-TECH","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","pistola de riel, pistola espía"],
["ARMAS","MECANISMO","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","cargador, amartillar, traqueteo de arma, corredera de cerrojo, cargador, carga de bala, amartillar arma"],
["ARMAS","MISCELÁNEA","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","pistola de bengalas, pistola de aire comprimido, pistola de paintball"],
["ARMAS","PISTOLA","GUNPis","GUN","Handguns and pistols.","9mm, pistola, revólver, glock, pistola, colt, smith & wesson, sig sauer, luger, walther ppk, browning, ruger, beretta"],
["ARMAS","RIFLE","GUNRif","GUN","Rifles, single shot and semi-automatic.","rifle, mauser, casull, arisaka, luger, carabina, powell, francotirador, caza, semiautomático"],
["ARMAS","ESCOPETA","GUNShotg","GUN","Shotguns, single, dual, pump.","escopeta, doble cañón, mossberg, winchester, coach gun"],
["ARMAS","SILENCIADOR","GUNSupr","GUN","Silenced Weapons, silencers.","silenciada, silenciador"],
["TROMPETAS","SOPLADA","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","bocina de niebla, bocina de aire, bocina de fábrica"],
["TROMPETAS","CELEBRACIÓN","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","bocina de fiesta, vuvuzela"],
["TROMPETAS","MISCELÁNEA","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","reclamo de caza, reclamo de alce, reclamo de pato, corneta de zorro"],
["TROMPETAS","TRADICIONALES","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","shofar, concha, caracola, cuerno de batalla, cuerno alpino, cuerno alpino, cuerno alpino"],
["HUMANOS","SOPLAR","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","soplar, exhalar"],
["HUMANOS","RESPIRAR","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","respirar, suspirar, inhalar, exhalar, jadear, resollar, resoplar, jadear, resoplar, respiración, inhalación, exhalación"],
["HUMANOS","ERUCTO","HMNBurp","HMN","Human belches, burps.","eructo, eructo, hipo"],
["HUMANOS","TOSER","HMNCough","HMN","Human coughs and coughing.","carraspear, carraspear, carraspear, carraspear"],
["HUMANOS","LATIDO CORAZÓN","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","palpitación, vómito"],
["HUMANOS","BESO","HMNKiss","HMN","Human kissing.","besuqueo, picoteo"],
["HUMANOS","MISCELÁNEA","HMNMisc","HMN","Human sounds not fitting another category in this list.","varios"],
["HUMANOS","ORINAR","HMNPee","HMN","Human urinating.","mear, orinar, mear, orinar, mear y mear"],
["HUMANOS","PIEL","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","frotar, rascar, piel, picor, bofetada, agarrar con la mano, apretón de manos, caricia, roce, masaje en la espalda"],
["HUMANOS","ESTORNUDAR","HMNSneez","HMN","Human sneezing.","estornudar, ah-choo"],
["HUMANOS","OLFATEAR","HMNSniff","HMN","Human sniffing, smelling.","esnifar, olfatear, oler, resoplar"],
["HUMANOS","RONCAR","HMNSnor","HMN","Human snoring.","roncar, zzz, congestionado, respiración pesada, apnea"],
["HUMANOS","ESCUPIR","HMNSpit","HMN","Human spits.","escupir, corvejón, escupir, escupidera, babear"],
["HUMANOS","VOMITAR","HMNVomit","HMN","Human vomiting.","vomitar, vomitar, vomitar, vomitar, vomitar, vomitar, arcadas, vomitar, vomitar, mareo"],
["HIELO","ROMPER","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","romper, agrietar, desgarrar, destrozar, crujir"],
["HIELO","CHOQUE Y ESCOMBROS","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","chocar, caer, escombros"],
["HIELO","FRICCIÓN","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","tensionar, raspar, crujir, chirriar, chirriar"],
["HIELO","MANIPULAR","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","manejar, agarrar, colocar, recoger, dejar, lanzar, coger"],
["HIELO","IMPACTO","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","golpear, dejar caer, impactar, estrellarse, chocar, tintinear, tintinear, picar"],
["HIELO","MISCELÁNEA","ICEMisc","ICE","Ice sounds not fitting another category in this list.","varios"],
["HIELO","MOVIMIENTO","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","arrastrar, rodar, traquetear, sacudir"],
["HIELO","TONAL","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","arco, anillo, shing"],
["LASER","RAYO","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","rayo, gamma, rayo"],
["LASER","PISTOLA","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","arma de plasma, blaster, cañón láser"],
["LASER","IMPACTO","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","láser, blaster, impacto, golpe, chisporroteo"],
["LASER","MISCELÁNEA","LASRMisc","LASR","Laser sounds not fitting another category in this list.","varios"],
["CUERO","CRUJIDO","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","crujir, estrés, tensión"],
["CUERO","MANIPULAR","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","manejar, agarrar, colocar, recoger, dejar, lanzar, coger"],
["CUERO","IMPACTO","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","golpear, impactar, agarrar, golpear, golpear"],
["CUERO","MISCELÁNEA","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","varios"],
["CUERO","MOVIMIENTO","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","aleteo, caída, crujido, movimiento, deslizamiento"],
["LIQUIDO Y BARRO","BURBUJAS","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","burbuja, espuma, estallido, barro"],
["LIQUIDO Y BARRO","IMPACTO","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","splat, splatter, hit, impact, plop, kerplunk, plunk, mud"],
["LIQUIDO Y BARRO","MISCELÁNEA","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","varios"],
["LIQUIDO Y BARRO","MOVIMIENTO","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","exudar, baba, pringue, barro"],
["LIQUIDO Y BARRO","SUCCIÓN","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","succión, slurp, glomp, émbolo, barro"],
["MAQUINARIA","PARQUE DE ATRACCIONES","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","montaña rusa, tiovivo, scrambler, tilt-a-whirl, atracción infantil, atracción de parque temático, pinball, skeeball"],
["MAQUINARIA","ANTIGÜEDAD","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","imprenta, máquina de coser, almazara, mantequera"],
["MAQUINARIA","ELECTRODOMÉSTICO","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","horno, nevera, frigorífico, batidora, robot de cocina, secador de pelo, máquina de hielo, lavadora, secadora, plancha, cafetera, lavavajillas, abrelatas eléctrico, triturador de basura, humidificador, deshumidificador, máquina de coser, tostadora, gofrera, plancha, placa de cocina"],
["MAQUINARIA","CONSTRUCCIÓN","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","grúa, hormigonera, trituradora de madera"],
["MAQUINARIA","ASCENSOR","MACHElev","MACH","Elevator movement and doors would go here.","paternóster, montacargas, ascensor de pasajeros, elevador"],
["MAQUINARIA","ESCALERAS MECÁNICAS","MACHEscl","MACH","Escalators and moving walkways would go here.","travelator, pasillo rodante"],
["MAQUINARIA","VENTILADOR","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","ventilador, ventilador de techo, ventilador de caja, ventilador industrial, ventilador sin aspas"],
["MAQUINARIA","JARDÍN","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","cortacésped, desbrozadora, bordeadora, motosierra, recortadora, sierra de pértiga, trituradora, cultivadora"],
["MAQUINARIA","GIMNASIA","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","cinta de correr, elíptica, máquina de remo, bicicleta estática, nordictrack, escaladora."],
["MAQUINARIA","HI-TECH","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","gadget, digital, portátil"],
["MAQUINARIA","AIRE ACONDICIONADO","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","aircon, aire acondicionado, calefacción"],
["MAQUINARIA","INDUSTRIAL","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","prensa hidráulica, cadena de montaje, destilería, punzonadora, prensa de formas+F437:F450"],
["MAQUINARIA","MECANISMO","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","caja rompecabezas, rube goldberg, artilugio"],
["MAQUINARIA","MEDICA","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","aparatos de rayos x, resonancia magnética, escáner de gatos, escáner de mascotas, tensiómetro, máquina de pruebas de laboratorio, centrifugadora, ventilador, desfibrilador"],
["MAQUINARIA","MISCELÁNEA","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","varios"],
["MAQUINARIA","OFICINA","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","fax, facsímil, telefax, fotocopiadora, impresora, destructora, xerox, fotocopiadora, mimeógrafo, impresora láser, inyección de tinta, trituradora de papel, plotter"],
["MAQUINARIA","BOMBA SURTIDOR","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","bomba de agua, bomba de sumidero, compresor, compresor de aire"],
["MAGIA","ANGELICAL","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","santo, celestial, etéreo, divino, espiritual, beatífico, recto, santo"],
["MAGIA","BÁSICA","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","fuego, agua, tierra, eléctrico, aire, viento"],
