[["POWIETRZE","PODMUCH","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","sprężone powietrze, obniżać ciśnienie, wypuszczać, puff, sputter, flutter, purge"],
["DRZWI","SZKLANE","DOORGlas","DOOR","Glass doors, manual shopping store doors, glass home front doors. Most store doors would probably fit here.","drzwi szklane, drzwi do sklepu, drzwi wnękowe, drzwi francuskie"],
["DRZWI","AKCESORIA","DOORHdwr","DOOR","Door knobs, door locks, deadbolts, chain locks, push bars. Lock Picking, Doorknob Jiggles.","gałka drzwiowa, klamka, pchacz, zamek łańcuchowy, zawias, zatrzask, klamka, okucie, wytrych, wytrych"],
["DRZWI","HITECH","DOORTech","DOOR","James bond type doors, something not quite sci-fi but more advanced, Modern lab, or air sealed chamber, vaults. See also SCIFI-DOOR.","drzwi laboratoryjne"],
["DRZWI","HYDRAULICZNE I PNEUMATYCZNE","DOORHydr","DOOR","Self closing doors, lots of office and store doors are of this type. Also automatic doors if hydraulic or pneumatic.","samozamykacz, pneumatyczny, hydrauliczny, klapa z napędem"],
["DRZWI","PUKANIE","DOORKnck","DOOR","Knocking on various door surfaces.","pukanie, rap, knocker, bang, thud, thump"],
["DRZWI","METALOWE","DOORMetl","DOOR","Metal doors, like a vault door or heavy door. PRISON doors have their own category, as they are quite specific sounding.","rollup, skarbiec, sejf, właz"],
["DRZWI","RÓŻNE","DOORMisc","DOOR","Door sounds not fitting another category in this list.","różne"],
["DRZWI","PLASTIKOWE","DOORPlas","DOOR","Doors made out of plastic. Not very common but maybe a door to a child's play house.","porta john, porta let, porta pottie"],
["DRZWI","WIĘZIENIE","DOORPrisn","DOOR","Big metal jail and prison doors. Sliding prison doors, or swinging jail doors.","drzwi do więzienia, drzwi więzienne"],
["DRZWI","OBROTOWE","DOORRevl","DOOR","Classic revolving doors used as entries to hotels, banks, malls.","obracać się, obracać się, drzwi obrotowe, hotel, lotnisko, centrum handlowe"],
["DRZWI","PRZESUWNE","DOORSlid","DOOR","Manual sliding doors, such as a patio door, sliding shower doors. Electric sliding doors to DOORS-ELECTRIC.","drzwi szklane przesuwne, drzwi tarasowe, drzwi prysznicowe"],
["DRZWI","KAMIENNE","DOORSton","DOOR","Mostly a fantasy type door, but think Gates of Moria, big tombstone vault doors.","grobowiec, krypta, świątynia, mauzoleum, tajne wejście"],
["DRZWI","WAHADŁOWE","DOORSwng","DOOR","Swinging doors, like old-west saloon or church pulpit doors. Doors on swinging springs.","drzwi do saloonu, drzwi drogowe, drzwi do restauracji, drzwi do ambony w kościele"],
["DRZWI","DREWNIANE","DOORWood","DOOR","Wood doors, home, school, most general door category probably.","wejście, drzwi wejściowe, szafa"],
["SZUFLADY","METALOWE","DRWRMetl","DRWR","Metal drawers like on a toolbox.","skrzynka na narzędzia, szuflada na regały, szafa na dokumenty, kasa fiskalna, szuflada bezpieczeństwa"],
["SZUFLADY","RÓŻNE","DRWRMisc","DRWR","Drawer sounds not fitting another category in this list.","różne"],
["SZUFLADY","PLASTIKOWE","DRWRPlas","DRWR","Plastic drawers, maybe on a parts bin.","pojemnik na części, organizer na biurko"],
["SZUFLADY","DREWNIANE","DRWRWood","DRWR","Kitchen drawers, bathroom drawers. Most drawers would probably fall into this category.","szuflada kuchenna, szuflada łazienkowa"],
["ELEKTRYCZNOŚĆ","ŁUK","ELECArc","ELEC","A longer movement of electricity, think Jacob's ladder, or a power station switching arc when decoupled.","drabina jacoba, cewka tesli, arka, łuk, elektrownia, porażenie prądem"],
["ELEKTRYCZNOŚĆ","BZYCZENIE I BUCZENIE","ELECBuzz","ELEC","Ground hum, buzzes, steady electrical hums, guitar pickup hum, amp hum. Any steady electric hum or buzz.","ground hum, amp hum, amp buzz, speaker hum, speaker buzz, hum, buzz, induction hum"],
["ELEKTRYCZNOŚĆ","ELEKTROMAGNETYZM","ELECEmf","ELEC","Electromagnetic field recordings specifically.","emf, cewka, pickup, indukcja"],
["ELEKTRYCZNOŚĆ","RÓŻNE","ELECMisc","ELEC","Electric sounds not fitting another category in this list.","różne"],
["ELEKTRYCZNOŚĆ","ISKRZENIE","ELECSprk","ELEC","Think sparklers, or a downed power line emitting sparks, welding... A singular spark would probably be a ZAP.","iskrzenie, spawanie, rozpylanie, zwarcie"],
["ELEKTRYCZNOŚĆ","ZWARCIE","ELECZap","ELEC","A short, shocking fast percussive electrical sound. Or a repetition of short fast sounds. A taser is a series of ZAPS.","wyładowanie, tase, taser, porażenie prądem"],
["EKWIPUNEK","JEŹDZIECKI","EQUIPBridle","EQUIP","Equipment for animals use. Horse bridle, reigns, leashes, harnesses, dog leashes, saddle straps.","uzda, kołowrotek, smycz, uprząż, smycz dla psa, pasek do siodła"],
["EKWIPUNEK","HITECH","EQUIPTech","EQUIP","Hi-Tech gear, things like spacesuits, complex suits with lots of gizmos or complex parts.","kombinezon kosmiczny, pas bezpieczeństwa"],
["EKWIPUNEK","RÓŻNE","EQUIPMisc","EQUIP","Equipment sounds not fitting another category in this list. See also TOOLS and OBJECT categories.","różne"],
["EKWIPUNEK","TURYSTYCZNY","EQUIPRec","EQUIP","Recreational gear, like backpacks, hiking gear, rock climbing harnesses, camping tents. Specifically outdoor recreation. See also OBJECTS-GYM.","plecak, wędrówka, wspinaczka, wspinaczka górska, obóz, namiot"],
["EKWIPUNEK","SPORTOWY","EQUIPSprt","EQUIP","Gear worn while playing sports, American football shoulder pads, hockey gear, etc.","ochraniacz na ramię, ochraniacz na kolano, ochraniacz na goleń, pasek do dżokeja"],
["EKWIPUNEK","WOJSKO I POLICJA","EQUIPTact","EQUIP","Military and police belts, bandoliers, ammo belts. Military gear, troop gear.","pas, pas taktyczny, pas służbowy, pas na amunicję, policyjny, wojskowy, bandoleer"],
["EKSPLOZJE","DESIGNED","EXPLDsgn","EXPL","Designed or stylized explosions and sweeteners. Hyperreal explosions.","fala uderzeniowa, słodzik, echo"],
["EKSPLOZJE","RÓŻNE","EXPLMisc","EXPL","Explosion sounds not fitting another category in this list.","detonacja"],
["EKSPLOZJE","PRAWDZIWE","EXPLReal","EXPL","Real explosion recordings, realistic explosions, not overly stylized. (FIREWORKS has its own category)","huk, implozja, pęknięcie, pop"],
["PIERDZENIE","DESIGNED","FARTDsgn","FART","Fake or designed farts, whoopie cushion, flarp, mouth farts.","kit, razzberry, raspberry, whoopie poduszka, flarp, pacha, fartbag, balon"],
["PIERDZENIE","RÓŻNE","FARTMisc","FART","Fart sounds not fitting another category in this list.","pierd zwierzęcy"],
["PIERDZENIE","PRAWDZIWE","FARTReal","FART","Real recordings of farts.","pierd ludzki, wzdęcie, poot, toot"],
["WALKA","UPADAJĄCE CIAŁO","FGHTBf","FGHT","Bodyfalls, but probably also body scuffles on ground, from simple to complex. On any surface.","bodyfall, body drag, scuffle, body slam, tackle"],
["WALKA","UBRANIE","FGHTClth","FGHT","Active or big scuffling cloth, big fight cloth movement.","combat cloth, grab, snatch, cloth impact, cloth hit"],
["WALKA","CHWYT","FGHTGrab","FGHT","Big arm grabs, hand or arm blocks as well as they're similar sounds, grappling during wrestling or martial arts.","walka, chwyt, grapple, wrestle, judo"],
["WALKA","UDERZENIE","FGHTImpt","FGHT","Fight impacts, blocks, kicks and punches. BODYFALLS has its own subcategory here, as do GRABS.","punch, kick, body blow, slap, smack, brawl, shove, sock, uppercut, jab"],
["WALKA","RÓŻNE","FGHTMisc","FGHT","Fight sounds not fitting another category in this list.","różne"],
["OGIEŃ","PALENIE","FIREBurn","FIRE","Covers normal fire burning, mostly roars, not isolate fire crackle, which have their own category. See also new FIRE-TURBULENT category.","ognisko, ognisko, ogień, pożar, pożar budowli, płomień, piekło, spalanie, żar, stos"],
["OGIEŃ","WYBUCH","FIREBrst","FIRE","A sharp and loud release of fire, covers fire bursts, big flare ups. Think a backdraft explosion of fire. A flamethrower. Usually a single event.","backdraft, smoczy ogień, pochłonięcie"],
["OGIEŃ","TRZASKANIE","FIRECrkl","FIRE","Specifically crackly fire elements, isolated crackle, or a very crackly fire, good for layering to other fire.","pop, spit, snap, sparkle"],
["OGIEŃ","GAZ","FIREGas","FIRE","Gas burners as you'd find in a kitchen stove or gas grill. That sort of hissy or airy fire burn. Crematoriums and furnaces.","grill gazowy, palnik Bunsena, piec, piec kempingowy, piec kuchenny, krematorium, zakres gazowy"],
["OGIEŃ","ZAPŁON","FIREIgn","FIRE","Fire ignites, including matches, lighters. That initial spark of ignition of a fire.","zapałka, zapalniczka, zippo, zapalić się, wybuchnąć, zapalić się, zapalić się"],
["OGIEŃ","RÓŻNE","FIREMisc","FIRE","Fire sounds not fitting another category in this list.","różne"],
["OGIEŃ","SKWIERCZENIE","FIRESizz","FIRE","Glowing red pokers, fuses, coal embers when extinguished, sauna rocks when water is poured on them. Glowing red hot.","pogrzebacz ogniowy, lont, spalanie lontu"],
["OGIEŃ","POCHODNIA","FIRETrch","FIRE","Constant torches and torch movement, that phasey fire sound as a torch is moved around.","flara, lont, pochodnia, firebrand, flaming stick, cresset"],
["OGIEŃ","NIESPOKOJNY","FIRETurb","FIRE","Wildly whooshing turbulent violent fire. Larger than just burning, think fire tornado. Extreme moving fire.","ognisty kłąb, gwałtowny ogień, miotacz ognia, ogniste tornado, pochłaniać, cofać się"],
["OGIEŃ","WHOOSH","FIREWhsh","FIRE","Big whooshy fire events like a fireball through the air.","kula ognista, blask, mołotow, flara, backdraft"],
["FAJERWERKI","PROFESJONALNE","FRWKComr","FRWK","Large commercial fireworks, mortars, as on the 4th of July. Full displays or single large mortars.","moździerz, fajerwerk, pirotechnika, kaboom, pocisk, pokaz fajerwerków"],
["FAJERWERKI","RÓŻNE","FRWKMisc","FRWK","Firework sounds not fitting another category in this list.","różne"],
["FAJERWERKI","KONSUMENCKIE","FRWKRec","FRWK","Small store-bought, recreational fireworks, firecrackers and roman candles and bottle rockets.","petarda, m80, iskierka, rakieta w butelce, bomba dymna, skaczący jack, świeca rzymska, popper, bomba wiśniowa"],
["FOLEY","UBRANIE","FOLYClth","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","szmer, ruch, mvmt, zuzz"],
["FOLEY","KROKI","FOLYFeet","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","stopa, but, krok, powierzchnia"],
["FOLEY","RĘCE","FOLYHand","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","poklepać, złapać, uchwycić, ustawić"],
["FOLEY","RÓŻNE","FOLYMisc","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","różne"],
["FOLEY","REKWIZYT","FOLYProp","FOLY","Used for 'performed' official and very clean Foley done to picture. For your own wild recordings use FOOTSTEPS and OBJECT categories.","rekwizyt, rekwizyty"],
["JEDZENIE I PICIE","GOTOWANIE","FOODCook","FOOD","Things overtly related to cooking, baking, preparation, chopping.","siekanie, krojenie, krojenie w kostkę, mieszanie, mieszanie, ubijanie, saute, smażenie, gotowanie, grillowanie, skwierczenie, gotowanie na parze, duszenie, mieszanie, saute"],
["JEDZENIE I PICIE","PICIE","FOODDrnk","FOOD","Specifically drinking, would also cover animals drinking, dogs lapping water, a horse drinking.","łykać, siorbać, pić, połykać, gulp, napój, swig, chug, glug"],
["JEDZENIE I PICIE","JEDZENIE","FOODEat","FOOD","Specifically eating, would also cover animals eating, a dog eating or a horse eating. Swallowing, chewing.","jeść, chrupać, żuć, połykać, chrupać, gryźć, połykać, konsumować, ucztować, karmić"],
["JEDZENIE I PICIE","NACZYNIA SZKLANE","FOODGware","FOOD","Glass and bottle movement, specifically at a restaurant or bar. Isolated glassware recordings.","butelka, szkło, filiżanka, dzbanek, karafka, puszka"],
["JEDZENIE I PICIE","SKŁADNIKI","FOODIngr","FOOD","Nuts, seeds, grains, things like that. Raw food recordings often used for other design purposes, vegetable recordings. See also GORE-SOURCE.","orzech, nasiono, ziarno, warzywo, owoc, konserwa, zboże, mięso, owies, kukurydza"],
["JEDZENIE I PICIE","NACZYNIA KUCHENNE","FOODKware","FOOD","Pots and pans movement, big metal bowls, prep bowls.","patelnia, garnek, garnek do gotowania, garnek do gotowania na parze, patelnia, rondel"],
["JEDZENIE I PICIE","RÓŻNE","FOODMisc","FOOD","Food and Drink sounds not fitting another category in this list.","różne"],
["JEDZENIE I PICIE","NALEWANIE","FOODPour","FOOD","Pouring liquid, water, beer, wine, champagne, etc. Some overlap with WATER-POUR, but specifically consumption liquids.","nalewać, płynąć, rozlewać, podawać"],
["JEDZENIE I PICIE","ZASTAWA STOŁOWA","FOODTware","FOOD","Silverware and/or plate movement, in a restaurant or dinner at home. GLASSWARE it's own subcategory.","srebrne sztućce, naczynia, brzęk szkła"],
["KROKI","ZWIERZĘTA","FEETAnml","FEET","Individual animal footsteps, dog, elephant. Group animals like a herd or stampede to MOVEMENT-ANIMALS. See also FOOTSTEPS-HORSE,","chodzić, biegać, sprintować"],
["KROKI","POTWORY","FEETCrea","FEET","Monster feet, Put dinosaur feet in here too, but also for small fantasy creatures.","dinozaur, stwór, bestia, smok, mityczny"],
["KROKI","KONIE","FEETHors","FEET","All manner of horse feet, from single to running.","chodzić, kłusować, galopować, kopyto, kopyta, kantar"],
["KROKI","LUDZIE","FEETHmn","FEET","Human feet, any surface, barefoot, shoes, it all goes here.","chodzić, biegać, stopa, biegać, sprintować, skakać, przeskakiwać, chwiać się, wędrować, kroczyć, stopa, stopa, krok, wspinać się"],
["KROKI","RÓŻNE","FEETMisc","FEET","Footstep sounds not fitting another category in this list.","różne"],
["GRY","ZRĘCZNOŚCIOWE","GAMEArcd","GAME","Not for arcade ambience, which would go under AMBIENCE-AMUSMENT, but for specific Pinball machines, upright video games, games of skill like Skeeball.","pinball, whack-a-mole, skeeball, maszyna z pazurem"],
["GRY","PLANSZOWE","GAMEBoard","GAME","Board games with pieces, think Monopoly, Risk, chess, checkers.","szachy, warcaby, go, backgammon"],
["GRY","KASYNO","GAMECas","GAME","Casino slot machines, Keno machines, roulette, craps.","ruletka, automat do gry, kości, koło fortuny, keno, maszyna do gry w pokera"],
["GRY","RÓŻNE","GAMEMisc","GAME","Game sounds not fitting another category in this list. Cards would go here. Jenga.","poker, karty, jenga, kości, kastet,"],
["GRY","VIDEO","GAMEVideo","GAME","Console video games from Atari to PS5, designed fake video games for consoles like Playstation.","atari, ps4, xbox one, xbox 360, amstrad, famicom, snes, gameboy, nintendo 64, playstation, megadrive, psp"],
["GEOTERMALNE","GAZY","GEOFuma","GEO","Geothermal steam vent. A hole, crack or fizzure releasing gases.","ujście parowe, geotermalne, fumarol"],
["GEOTERMALNE","GEJZER","GEOGeyser","GEO","Geysers and eruptions, as you'd find in Yellowstone.","wylew, spray, bąbel, gotować się"],
["GEOTERMALNE","LAWA","GEOLava","GEO","Lava flows, crackles, could be some overlap with FIRE, but overtly lava sounding things go here.","lawa, przepływ, trzask, lepkość, flara, huk, wulkan"],
["GEOTERMALNE","RÓŻNE","GEOMisc","GEO","Geothermal sounds not fitting another category in this list.","bulgoczący gorący basen"],
["GEOTERMALNE","ŹRÓDŁA TERMALNE","GEOMudpot","GEO","Mudpots and paint pots, popping liquidy mud sounds.","garnek z błotem, garnek z farbą, dół ze smołą, błoto, bańka, glina"],
["SZKŁO","ŁAMANIE","GLASBrk","GLAS","Glass singular breaks, so a bottle smash, or a window shatter.","szkło pęknąć, rozbić, roztrzaskać"],
["SZKŁO","ROZBICIE I ODŁAMKI","GLASCrsh","GLAS","Glass crashes and debris, so multiple items crashing, and isolated glass shards and debris.","odłamki, fragmenty, krach, gruz"],
["SZKŁO","TARCIE","GLASFric","GLAS","Glass friction, such as a scrape or squeak. Could be some overlap with GLASS-TONAL.","naprężyć się, skrobać, skrzypieć, piszczeć"],
["SZKŁO","TRZYMANIE","GLASHndl","GLAS","Glass objects being handled, grabbing a bottle or glass. Some overlap with GLASS-MOVEMENT.","uchwycić, złapać, postawić, podnieść, postawić, podrzucić, złapać"],
["SZKŁO","UDERZENIE","GLASImpt","GLAS","Glass impacts without breaking, so a bottle hit that doesn't break, a bottle dropping to the ground but not breaking.","uderzenie, upadek, uderzenie, brzęk"],
["SZKŁO","RÓŻNE","GLASMisc","GLAS","Glass sounds not fitting another category in this list.","różne"],
["SZKŁO","PORUSZANIE","GLASMvmt","GLAS","Glass movement, such as a case of bottles rattling, or a bottle rolling on the floor. See also GLASS-HANDLE.","grzechotać, toczyć, pingować, klekotać"],
["SZKŁO","TONALNE","GLASTonl","GLAS","Glass tonal sounds, like bowed blass, a glass harmonica, or a bowed crystal bowl.","rezonować, dzwonić, tonować, szklana harmonijka, kryształowa misa"],
["FLAKI","KREW","GOREBlood","GORE","Gore blood sounds, dripping and flowing. Likely some overlap with LIQUID & MUD, but this for particularly 'gory' versions.","kapać, płynąć, tryskać, tryskać, rozpylać"],
["FLAKI","KOŚĆ","GOREBone","GORE","Gore bones, bones crunching, snapping, break. Put creature JAW SNAPS here too.","trzask kości, złamanie kości, roztrzaskanie kości, trzask szczęki, szczęki"],
["FLAKI","PALENIE","GOREBurn","GORE","Gore flesh sizzling, possible overlap with FIRE-SIZZLING, but this more exaggerated for flesh burning.","skwierczeć, kauteryzować, widzieć, naznaczać"],
["FLAKI","MIĘSO","GOREFlsh","GORE","Gore flesh tearing, ripping, peeling. Very graphic flesh sounds. A monster ripping someone apart.","rozerwać, obrać, rozerwać, rozerwać, jelito, mięso, rana"],
["FLAKI","RÓŻNE","GOREMisc","GORE","Gore sounds not fitting another category in this list.","różne"],
["FLAKI","PÓŁPŁYNNE","GOREOoze","GORE","Gore gross oozing liquid, open wounds, possible overlap with LIQUID categories, but this hyperreal and over the top.","muł, szlam, płynąć, żelatyna"],
["FLAKI","MATERIAŁY ŹRÓDŁOWE","GORESrce","GORE","Recordings meant as source for GORE sounds, smashing a watermelon, stabbing a pumpkin, etc.","goosh, squish, goop, slime, ooze, glop, organ, jelito, juicy, goo, splat, ooze, rip, peel, stab, tear, rend, intestine, meat, wound, slice, impale, juicy, splat"],
["FLAKI","PLAŚNIĘCIE","GORESplt","GORE","Gore splats, gross splats of gooey stuff. A body or head exploding and hitting the wall. Hyperreal.","goosh, squish, goop, slime, ooze, glop, organ, jelito, juicy, goo, splat"],
["FLAKI","WYCISKANIE","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","squish, ciało, organ, goosh, jelito, soczysty, splat"],
["FLAKI","DŹGNIĘCIE","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","slice, impale, stab, cut, vorpal, dismember"],
["BROŃ PALNA","STARODAWNA","GUNAntq","GUN","Old black powder weapons, muskets.","kaganek, muszkiet, czarnoprochowiec, flintlock, longrifle, lanca ogniowa"],
["BROŃ PALNA","ARTYLERIA","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","haubica, działo przeciwlotnicze, wyrzutnia rakiet, bazooka, moździerz, rakieta, marynarka wojenna"],
["BROŃ PALNA","AUTOMATYCZNA","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ak-47, m16, pistolet maszynowy, tommy gun, uzi, m249, M1919, gatling gun, minigun, "],
["BROŃ PALNA","ARMATA","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","Blunderbuss, handcannon, armata, czarny proch"],
["BROŃ PALNA","TRZYMANIE","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","kabura, broń, chwytanie broni, łapanie broni, podrzucanie broni, ładowanie broni"],
["BROŃ PALNA","HITECH","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","broń szynowa, broń szpiegowska"],
["BROŃ PALNA","MECHANIZM","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","klips, kurek, grzechotanie broni, suwadło, magazynek, ładowanie pocisków, kurek pistoletu"],
["BROŃ PALNA","RÓŻNE","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","pistolet na flary, pistolet pneumatyczny, pistolet paintballowy"],
["BROŃ PALNA","PISTOLET","GUNPis","GUN","Handguns and pistols.","9mm, pistolet, rewolwer, glock, pistolet ręczny, colt, smith & wesson, sig sauer, luger, walther ppk, browning, ruger, beretta"],
["BROŃ PALNA","KARABIN","GUNRif","GUN","Rifles, single shot and semi-automatic.","karabin, mauser, casull, arisaka, luger, karabinek, powell, snajperski, myśliwski, półautomatyczny"],
["BROŃ PALNA","STRZELBA","GUNShotg","GUN","Shotguns, single, dual, pump.","strzelba, dwulufowa, mossberg, winchester, coach gun"],
["BROŃ PALNA","Z TŁUMIKIEM","GUNSupr","GUN","Silenced Weapons, silencers.","wyciszony, tłumik"],
["TRĄBY","PRZEMYSŁOWE","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","klakson przeciwmgielny, klakson powietrzny, klakson fabryczny"],
["TRĄBY","IMPREZOWE","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","klakson imprezowy, wuwuzela"],
["TRĄBY","RÓŻNE","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","dzwonek myśliwski, dzwonek na łosia, dzwonek na kaczki, hejnał na lisa"],
["TRĄBY","TRADYCYJNE","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","shofar, koncha, muszla konchy, róg bojowy, alphorn, alpine horn, alpenhorn"],
["LUDZIE","PODMUCH","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","dmuchać, wydech"],
["LUDZIE","ODDECH","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","oddech, westchnienie, wdech, wydech, sapanie, dyszenie, sapanie, chuchanie, sapanie, oddychanie, wdech, wydech"],
["LUDZIE","BEKANIE","HMNBurp","HMN","Human belches, burps.","beknięcie, beknięcie, czkawka"],
["LUDZIE","KASZEL","HMNCough","HMN","Human coughs and coughing.","hack, ahem, hoarse, clear throat"],
["LUDZIE","BICIE SERCA","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","palpitacja, bumbum"],
["LUDZIE","POCAŁUNEK","HMNKiss","HMN","Human kissing.","smooch, peck"],
["LUDZIE","RÓŻNE","HMNMisc","HMN","Human sounds not fitting another category in this list.","różne"],
["LUDZIE","SIKANIE","HMNPee","HMN","Human urinating.","siusianie, oddawanie moczu, sikanie, oddawanie moczu, majstrowanie, wizz"],
["LUDZIE","SKÓRA","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","rubbing, scratching, skin, itch, slap, hand grab, handshake, caress, rub, backrub"],
["LUDZIE","KICHNIĘCIE","HMNSneez","HMN","Human sneezing.","kichać, ah-choo"],
["LUDZIE","WĄCHANIE","HMNSniff","HMN","Human sniffing, smelling.","sniff, sniffing, smell, sniffle"],
["LUDZIE","CHRAPANIE","HMNSnor","HMN","Human snoring.","snore, zzz, congested, heavy breathing, apnea"],
["LUDZIE","SPLUNIĘCIE","HMNSpit","HMN","Human spits.","spit, hock, spew, spittoon, drool"],
["LUDZIE","WYMIOTOWANIE","HMNVomit","HMN","Human vomiting.","wymiotować, rzygać, wypluwać, wyrzucać z siebie, chuchać, gugać, rechotać, ciskać, pluć, choroba morska"],
["LÓD","ŁAMANIE","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","łamać, pękać, rozrywać, roztrzaskiwać, chrupać"],
["LÓD","ROZBICIE I ODŁAMKI","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","rozbicie, upadek, gruz"],
["LÓD","TARCIE","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","naprężać się, skrobać, skrzypieć, piszczeć"],
["LÓD","TRZYMANIE","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","uchwycić, złapać, postawić, podnieść, postawić, podrzucić, złapać"],
["LÓD","UDERZENIE","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","uderzenie, upadek, uderzenie, zderzenie, brzęk, brzęk, brzęk, brzęk, brzęk, brzęk"],
["LÓD","RÓŻNE","ICEMisc","ICE","Ice sounds not fitting another category in this list.","różne"],
["LÓD","PORUSZANIE","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","ciągnąć, toczyć, grzechotać, trząść"],
["LÓD","TONALNE","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","łuk, pierścień, trzask"],
["LASERY","PROMIEŃ","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","promień, gamma, ray"],
["LASERY","BROŃ","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","broń plazmowa, blaster, działo laserowe"],
["LASERY","UDERZENIE","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","laser, blaster, uderzenie, trafienie, skwierczenie"],
["LASERY","RÓŻNE","LASRMisc","LASR","Laser sounds not fitting another category in this list.","różne"],
["SKÓRA","SKRZYPIENIE","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","skrzypienie, stres, napięcie"],
["SKÓRA","TRZYMANIE","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","uchwyt, chwycić, ustawić, podnieść, ustawić, podrzucić, złapać"],
["SKÓRA","UDERZENIE","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","uderzenie, uderzenie, chwyt, uderzenie, uderzenie"],
["SKÓRA","RÓŻNE","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","różne"],
["SKÓRA","PORUSZANIE","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","klapnięcie, klapnięcie, szelest, ruch, ślizganie się"],
["PŁYNY I BŁOTO","BĄBLE","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","bańka, piana, pop, błoto"],
["PŁYNY I BŁOTO","UDERZENIE","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","splat, splatter, hit, impact, plop, kerplunk, plunk, mud"],
["PŁYNY I BŁOTO","RÓŻNE","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","różne"],
["PŁYNY I BŁOTO","PORUSZANIE","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","muł, szlam, goo, błoto"],
["PŁYNY I BŁOTO","ZASYSANIE","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","ssanie, siorbanie, glomp, tłok, błoto"],
["MASZYNY","PARK ROZRYWKI","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","rollercoaster, karuzela, scrambler, tilt-a-wirl, kiddy ride, theme park ride, pinball, skeeball"],
["MASZYNY","STARODAWNE","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","prasa drukarska, maszyna do szycia, prasa do oliwek, maselnica"],
