[["ВОЗДУХ","ПОТОК","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","сжатый воздух, разгерметизация, выпуск, пыхтение, распыление, трепыхание, продувка"],
["КРОВОПРОЛИТИЕ","РАСПЛЮЩИВАНИЕ","GORESqsh","GORE","Gore squishes, disgusting squishes or flesh and organs. A dinosaur stepping on a person and squishing them.","раздавить, плоть, орган, слизь, кишка, сочный, брызги"],
["КРОВОПРОЛИТИЕ","ПРОКАЛЫВАНИЕ","GOREStab","GORE","Gore sharp stabs and sword pulls. That classic sound of someone being impaled. More crunchy than a SQUISH.","резать, пронзать, колоть, резать, колющий, расчленять"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","СТАРИННОЕ","GUNAntq","GUN","Old black powder weapons, muskets.","дульнозарядное ружье, мушкет, черный порох, кремневое ружье, длинноствольное ружье, огнестрельное копье"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","АРТИЛЛЕРИЯ","GUNArtl","GUN","Modern big guns, guns that launch shells. Not CANNONS which have their own group.","гаубица, зенитка, ракетная установка, базука, миномет, ракета, морской"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","АВТОМАТИЧЕСКОЕ","GUNAuto","GUN","Fully automatic capable weapons, even when firing singly. Machine guns.","ак-47, м16, пулемет, томми-ган, узи, м249, м1919, пушка Гатлинга, миниган, "],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","ПУШКА","GUNCano","GUN","Pirate and Civil War cannons, for modern artillery see GUNS-ARTILLERY.","мушкетон, ручная пушка, пушка, черный порох"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","УПРАВЛЕНИЕ","GUNHndl","GUN","Alongside GUN-MECHANISM, but specifically gun handling, grabs, holstering, dropping, catching.","кобура, пистолет, захват пистолета, захват оружия, бросить пистолет, зарядить пистолет"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","ВИСОКОТЕХНОЛОГИЧНОЕ","GUNTech","GUN","Not quite a sci-fi Laser Gun, but something more advanced than a normal gun, a rail gun for example.","рельсовый пистолет, шпионский пистолет"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","МЕХАНИЗМ","GUNMech","GUN","Gun various mechanical sounds, clips, cocking, bolt slides.","обойма, взведение затвора, грохот оружия, затвор, магазин, зарядка пули, пистолетный затвор"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","РАЗНОЕ","GUNMisc","GUN","Gun sounds not fitting another category in this list. BULLETS has its own category.","ракетница, пневматическое оружие, пейнтбольное оружие"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","ПИСТОЛЕТ","GUNPis","GUN","Handguns and pistols.","9 мм, пистолет, револьвер, глок, ручной пулемет, кольт, смит и вессон, сиг зауэр, люгер, вальтер ппк, браунинг, ругер, беретта"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","ВИНТОВКА","GUNRif","GUN","Rifles, single shot and semi-automatic.","винтовка, маузер, casull, arisaka, luger, карабин, powell, снайперская, охотничья, полуавтоматическая"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","ДРОБОВИК","GUNShotg","GUN","Shotguns, single, dual, pump.","дробовик, двустволка, mossberg, winchester, тренеровочное ружье"],
["ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","С ГЛУШИТЕЛЕМ","GUNSupr","GUN","Silenced Weapons, silencers.","глушитель, глушитель"],
["ГОРНЫ","ВОЗДУШНЫЕ","HORNAir","HORN","Air horns, as in handheld compressed air horns, huge factory air horns. A fog horn. BOATS-HORN has it's own category for ship and ferry horns, as does TRAINS-HORN.","противотуманный рожок, воздушный рожок, заводской рожок"],
["ГОРНЫ","ПРАЗДНИК","HORNCele","HORN","Party horns, from small party horns to vuvuzelas.","праздничный горн, вувузела"],
["ГОРНЫ","РАЗНОЕ","HORNMisc","HORN","Horn sounds not fitting another category in this list, for example hunting calls. Not brass musical instruments which has it's own category in MUSICAL.","охотничий зов, лосиный зов, утиный зов, лисий горн"],
["ГОРНЫ","ТРАДИЦИОННЫЕ","HORNTrad","HORN","Rams horns, conches, alpine horns, old traditional horns, medieval battle horns.","шофар, конх, раковина конха, боевой рог, альфорн, альпийский рог, альпенхорн"],
["ЧЕЛОВЕК","ПОТОК","HMNBlow","HMN","Blowing air, blowing up a balloon, blowing out candles, etc. See also HUMAN-BREATH for less forceful breathing.","дуть, выдыхать"],
["ЧЕЛОВЕК","ДЫХАНИЕ","HMNBrth","HMN","Breathing, normal to heavy, big inhales, sighs.","дыхание, вздох, вдох, выдох, задыхаться, пыхтеть, хрипеть, хрипеть, хрипеть, хрипеть, выть, дыхание, вдох, выдох"],
["ЧЕЛОВЕК","РЫГАНИЕ","HMNBurp","HMN","Human belches, burps.","отрыжка, отрыжка, икота"],
["ЧЕЛОВЕК","КАШЕЛЬ","HMNCough","HMN","Human coughs and coughing.","хрип, хриплый, хриплое горло, прочистить горло"],
["ЧЕЛОВЕК","СЕРДЦЕБИЕНИЕ","HMNHart","HMN","Heartbeats, both literal as in a Dr. office, and stylized or designed heartbeats.","сердцебиение, одышка"],
["ЧЕЛОВЕК","ПОЦЕЛУЙ","HMNKiss","HMN","Human kissing.","чмокать, чмокать"],
["ЧЕЛОВЕК","РАЗНОЕ","HMNMisc","HMN","Human sounds not fitting another category in this list.","разное"],
["ЧЕЛОВЕК","МОЧЕИСПУСКАНИЕ","HMNPee","HMN","Human urinating.","моча, мочеиспускание, мочиться, мочиться, мочиться, мочиться, мочиться, мочиться, мочиться, мочиться."],
["ЧЕЛОВЕК","КОЖА","HMNSkin","HMN","Human skin, Scratching, handshakes, skin on skin action, back rubbing, etc.","тереть, царапать, кожа, зудеть, шлепать, хватать за руку, рукопожатие, ласкать, тереть, спину"],
["ЧЕЛОВЕК","ЧИХАНЬЕ","HMNSneez","HMN","Human sneezing.","чихать, ах-чу"],
["ЧЕЛОВЕК","НЮХ","HMNSniff","HMN","Human sniffing, smelling.","нюхать, нюхать, нюхать, нюхать, нюхать, нюхать"],
["ЧЕЛОВЕК","ХРАП","HMNSnor","HMN","Human snoring.","храп, дремота, заложенность, тяжелое дыхание, апноэ"],
["ЧЕЛОВЕК","ПЛЕВАНИЕ","HMNSpit","HMN","Human spits.","плевать, слюна, изрыгать, плевательница, слюна"],
["ЧЕЛОВЕК","РВОТА","HMNVomit","HMN","Human vomiting.","рвота, блевать, извергать, извергать, извергать, извергать, извергать, извергать, извергать, морская болезнь"],
["ЛЕД","ЛОМАНИЕ","ICEBrk","ICE","Ice cracks, breaks, shatters. Any ice breaking that is fairly singular or isolated, large or small.","ломаться, трескаться, разрываться, разбиваться, хрустеть"],
["ЛЕД","РАЗБИВАНИЕ И ОСКОЛКИ","ICECrsh","ICE","Ice large crashes and isolated debris go here. Iceberg calving.","крушение, падение, обломки"],
["ЛЕД","ТРЕНИЕ","ICEFric","ICE","Dry ice may go here, but often it's a metallic sound too, but ice scrapes, squeaks, creaks.","напрягаться, скрести, скрипеть, пищать, визжать"],
["ЛЕД","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","ICEHndl","ICE","Ice handling, picking up ice. Some overlap with ICE-MOVEMENT possible.","держать, хватать, устанавливать, подбирать, опускать, бросать, ловить"],
["ЛЕД","УДАР","ICEImpt","ICE","Pieces of ice dropping (without breaking). Ice hits, solid ice impacts that don't break.","удар, падение, удар, столкновение, крушение, лязг, лязг, лязг, лязг, удар"],
["ЛЕД","РАЗНОЕ","ICEMisc","ICE","Ice sounds not fitting another category in this list.","разное"],
["ЛЕД","ДВИЖЕНИЕ","ICEMvmt","ICE","Ice sliding or rattling, maybe an object sliding across ice. See also ICE-HANDLE.","тащить, катить, греметь, трясти"],
["ЛЕД","ТОНАЛЬНИЙ","ICETonl","ICE","Tonal ice sounds, probably fairly rare, but that ice ping on a frozen lake would be one example.","лук, кольцо, звон"],
["ЛАЗЕРЫ","ЛУЧ","LASRBeam","LASR","Steady laser beams, not a laser gun. So a James Bond style laser, a scientific laser.","луч, гамма-излучение, луч"],
["ЛАЗЕРЫ","ОРУЖИЕ","LASRGun","LASR","Classic laser guns, blasters, laser cannons. That thing that Ben Burtt made famous.","плазменное оружие, бластер, лазерная пушка"],
["ЛАЗЕРЫ","ПОПАДАНИЕ","LASRImpt","LASR","Classic laser impact sounds, from blaster hits.","лазер, бластер, удар, попадание, шипение"],
["ЛАЗЕРЫ","РАЗНОЕ","LASRMisc","LASR","Laser sounds not fitting another category in this list.","разное"],
["КОЖА","СКРИП","LETHRCreak","LETHR","Leather creaks, jacket and bag creaks, saddle movements. Any creaking leather.","скрип, стресс, напряжение"],
["КОЖА","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","LETHRHndl","LETHR","Leather handling, picking up a leather bag, putting on a leather jacket maybe. Some overlap with LEATHER-MOVEMENT possible.","держать, хватать, устанавливать, подбирать, опускать, бросать, ловить"],
["КОЖА","УДАР","LETHRImpt","LETHR","Hits and impacts of leather, leather bag or saddle dropping.","удар, удар, захват, удар, удар, удар"],
["КОЖА","РАЗНОЕ","LETHRMisc","LETHR","Leather sounds not fitting another category in this list.","разное"],
["КОЖА","ДВИЖЕНИЕ","LETHRMvmt","LETHR","Movement of Leather, definitely overlap with LEATHER-CREAK and LEATHER-HANDLE.","хлопать, шлепать, шуршать, двигаться, скользить"],
["ЖИДКОСТЬ И ГРЯЗЬ","БУЛЬКАНЬЕ","LIQBubl","LIQ","Mud and thicker than water, thick bubbles, viscous liquid. Things like Oil, gloopy thick liquids.","пузырь, пена, хлопок, грязь"],
["ЖИДКОСТЬ И ГРЯЗЬ","ВСПЛЕСК","LIQImpt","LIQ","Mud and thicker than water, Splats and hit. Things like Oil, gloopy thick liquids.","брызги, брызгать, ударять, ударять, ударять, ударять, плюх, керпланк, плюх, грязь"],
["ЖИДКОСТЬ И ГРЯЗЬ","РАЗНОЕ","LIQMisc","LIQ","Mud and thicker than water sounds not fitting another category in this list.","разное"],
["ЖИДКОСТЬ И ГРЯЗЬ","ДВИЖЕНИЕ","LIQMvmt","LIQ","Mud and thicker than water, oozing, slime, glooping. Things like Oil, gloopy thick liquids.","сочиться, слизь, слизь, грязь"],
["ЖИДКОСТЬ И ГРЯЗЬ","ВСАСЫВАНИЕ","LIQSuct","LIQ","Thicker than water, disgusting liquidy suction, plunger sucks. Things like Oil, gloopy thick liquids.","всасывание, хлюпанье, лязг, плюх, грязь"],
["МАШИНЫ","АТТРАКЦИОНЫ","MACHAmus","MACH","Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.","американские горки, карусель, скремблер, тилт-а-вихрь, детский аттракцион, аттракцион в парке развлечений, пинбол, скибол"],
["МАШИНЫ","СТАРИННЫЕ","MACHAntq","MACH","Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","печатный станок, швейная машина, пресс для оливок, маслобойка"],
["МАШИНЫ","БЫТОВЫЕ ПРИБОРЫ","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","духовка, холодильник, блендер, кухонный комбайн, фен, льдогенератор, стиральная машина, сушилка, утюг, кофеварка, посудомоечная машина, электрический консервный нож, мусоропровод, увлажнитель, осушитель, швейная машина, тостер, вафельница, сковорода, плита"],
["МАШИНЫ","СТРОИТЕЛЬСТВО","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","кран, бетономешалка, измельчитель древесины"],
["МАШИНЫ","ЛИФТ","MACHElev","MACH","Elevator movement and doors would go here.","патерностер, грузовой лифт, пассажирский лифт, подъемник"],
["МАШИНЫ","ЭСКАЛАТОР","MACHEscl","MACH","Escalators and moving walkways would go here.","травелатор, движущаяся дорожка"],
["МАШИНЫ","ВЕНТИЛЯТОР","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","вентилятор, потолочный вентилятор, коробчатый вентилятор, промышленный вентилятор, безлопастной вентилятор"],
["МАШИНЫ","САД","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","газонокосилка, поломоечная машина, кромкообрезной станок, бензопила, триммер, пила, мульчер, культиватор"],
["МАШИНЫ","СПОРТЗАЛ","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","беговая дорожка, элиптический тренажер, гребной тренажер, велотренажер, стационарный велосипед, норд-трек, лестничный подъемник."],
["МАШИНЫ","ВИСОКОТЕХНОЛОГИЧНЫЕ","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","гаджет, цифровой, портативный"],
["МАШИНЫ","ОТОПЛЕНИЕ ВЕНТИЛЯЦИЯ И КОНДИЦИОНИРОВАНИЕ","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","кондиционер, кондиционирование, отопление."],
["МАШИНЫ","ПРОМЫШЛЕННЫЕ","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","гидравлический пресс, сборочная линия, ликеро-водочный завод, пуансон-пресс, формовочный пресс+F437:F450"],
["МАШИНЫ","МЕХАНИЗМ","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","головоломка, головоломка Рубина Голдберга, головоломка"],
["МАШИНЫ","МЕДИЦИНСКИЕ","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","рентгеновские аппараты, МРТ, сканирование кошек, сканирование домашних животных, аппарат для измерения кровяного давления, аппарат для лабораторных исследований, центрифуга, вентилятор, дефибриллятор"],
["МАШИНЫ","РАЗНОЕ","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","разное"],
["МАШИНЫ","ОФИС","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","факс, факсимильный аппарат, телефакс, копировальный аппарат, принтер, шредер, ксерокс, ксерокс, ксерокс, мимеограф, лазерный принтер, струйный принтер, уничтожитель бумаги, плоттер"],
["МАШИНЫ","НАСОС","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","водяной насос, выгребной насос, компрессор, воздушный компрессор"],
["МАГИЯ","БЕЛАЯ","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","святой, небесный, бесплотный, божественный, духовный, блаженный, праведный, святой"],
["МАГИЯ","СТИХИЯ","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","огонь, вода, земля, электричество, воздух, ветер"],
["МАГИЯ","ЧЕРНАЯ","MAGEvil","MAG","Evil magic, ominous, dark magic. Voldemort type stuff.","темный, дьявол, вызов, некромантия, вуду, черная магия, запрещенный"],
["МАГИЯ","РАЗНОЕ","MAGMisc","MAG","Magic sounds not fitting another category in this list.","разное"],
["МАГИЯ","ФРАЗА","MAGPoof","MAG","Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","чуф, фомп, взрыв"],
["МАГИЯ","СВЕРКАНИЕ","MAGShim","MAG","Glassy or chime-like shimmers, waves of particle type magic.","мерцание, блеск, колокольчик, звон, блеск, сверкание, блеск, блеск, сверкание, сияние, мерцание, блеск"],
["МАГИЯ","ЗАКЛИНАНИЕ","MAGSpel","MAG","Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.","ведьма, волшебник, колдун, заклинание, заклинание, гекс, руна, колдовство, зачаровывать, вызывать, околдовать, экзорцизм, проклятие, транс"],
["МЕХАНИЗМЫ","ЩЕЛКАНЬЕ","MECHClik","MECH","Short clicks, could be from button presses, things like that. Some confusion and overlap with MECHANICAL-SWITCH.","щелчок, щелчок, щелчок, щелчок, переключение, кнопка"],
["МЕХАНИЗМЫ","ШЕСТЕРНЯ","MECHGear","MECH","A toothed cog, turning or grinding gears, complex gear mechanisms. Small clock gears would go in CLOCKS-MECHANICS.","шестерня, зубчатка, шестеренка, реечная шестерня, передача, зубчатое колесо, шестеренка, маховик"],
["МЕХАНИЗМЫ","ГИДРАВЛИЧЕСКИЕ И ПНЕВМАТИЧЕСКИЕ","MECHHydr","MECH","Various hydraulic or pneumatic sounds, like on a self-closing door. Isolated hydraulics and pneumatics. See also DOORS-HYDRAULIC & PNEUMATIC for a complete door.","гидравлический, пневматический, под давлением, клапан"],
["МЕХАНИЗМЫ","ЗАЩЕЛКА","MECHLtch","MECH","Latch, as in a briefcase latch, or a luggage latch.","защелка, фурнитура, замок, замок, застежка, засов, болт"],
["МЕХАНИЗМЫ","РЫЧАГ","MECHLvr","MECH","A sliding or switching lever. Train track lever, lever to turn on an electric chair. Old Frankenstein machine levers, breaker levers.","рычаг, переключатель, лязг, лязг"],
["МЕХАНИЗМЫ","ЗАМОК","MECHLock","MECH","A padlock, bicycle lock, or a locking mechanism. Door locks to go into DOORS-HARDWARE.","навесной замок, засов"],
["МЕХАНИЗМЫ","РАЗНОЕ","MECHMisc","MECH","Mechanical sounds not fitting another category in this list.","разное"],
["МЕХАНИЗМЫ","ПОДЪЕМНЫЙ ШКИВ","MECHPuly","MECH","An isolated recording of a pulley, or system of pulleys.","писк, щебетание, грохот"],
["МЕХАНИЗМЫ","КЛЮЧ С ТРЕЩЕТКОЙ","MECHRtch","MECH","That sound a ratchet makes.","трещотка, щелчок, щелчок, щелчок, ветер, кривошип, лебедка"],
["МЕХАНИЗМЫ","ПЕРЕКИДНОЕ ТАБЛО","MECHRelay","MECH","Old train station counting board flipping. A old communications relay board.","щелчок, переключение, щелчок"],
["МЕХАНИЗМЫ","РОЛИК","MECHRolr","MECH","Like a rolling conveyor belt, or something on a roller.","ролик, ремень, вал"],
["МЕХАНИЗМЫ","ПЕРЕКЛЮЧАТЕЛЬ","MECHSwtch","MECH","Basic and heavy switches, light switches, power switches. Some overlap or confusion with MECHANICAL-CLICK.","переключатель, щелчок, клацанье, тумблер, кнопка"],
["МЕТАЛЛ","ЛОМАНИЕ","METLBrk","METL","Metal breaking, snaps, cracks, rips, shatters.","ломаться, трескаться, разрываться, разбиваться, хрустеть"],
["МЕТАЛЛ","РАЗБИВАНИЕ И ОБЛОМКИ","METLCrsh","METL","Metal crashing and debris. Complex metal crashes, group metal crashes, metal debris falls.","крушение, падение, обломки"],
["МЕТАЛЛ","ТРЕНИЕ","METLFric","METL","Metal friction, stress, so scrapes, creaks, squeaks, squeals, screeches. Metal sounds caused by friction.","напряжение, скрежет, скрип, писк, визг, визг"],
["МЕТАЛЛ","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","METLHndl","METL","Metal handling, handling metal objects. Some overlap with METAL-MOVEMENT possible.","держать, хватать, устанавливать, поднимать, опускать, бросать, ловить"],
["МЕТАЛЛ","УДАР","METLImpt","METL","Metal single item impacts, so anvil hits, dropping something that doesn't break. Clangs, clunks, bangs.","удар, падение, удар, столкновение, треск, лязг, лязг"],
["МЕТАЛЛ","РАЗНОЕ","METLMisc","METL","Metal sounds not fitting another category in this list.","разное"],
["МЕТАЛЛ","ДВИЖЕНИЕ","METLMvmt","METL","Metal movement, so drag, roll, rattle, shake. Single or metal items moving. Or movement on a metal surface. See also METAL-HANDLE.","тащить, катить, греметь, трясти"],
["МЕТАЛЛ","ТОНАЛЬНЫЙ","METLTonl","METL","Metal tonal, resonating, ringing, wronks and warps. Bending sheet metal, a singing bowl ringing, metal shinging.","кланяться, звенеть, звенеть, звенеть, искривляться, гнуться, резонировать"],
["ДВИГАТЕЛИ","СТАРИННЫЕ","MOTRAntq","MOTR","Old motors, usually combustion, so old oil pump engines, old compressors. An antique gas pump for example.","керосиновый двигатель, парафиновый двигатель"],
["ДВИГАТЕЛИ","ВНУТРЕННЕГО СГОРАНИЯ","MOTRComb","MOTR","Non-vehicle combustion engines. Combustion motors, generators. Isolated engine recordings.","дизельный двигатель, газовый двигатель, двигатель внутреннего сгорания, двухтактный двигатель"],
["ДВИГАТЕЛИ","ЭЛЕКТРИЧЕСКИЕ","MOTRElec","MOTR","Non-vehicle electric motors. Any motor that runs on electricity. An isolated electric motor. See also TOOLS-POWER.","зубная щетка, электробритва, электродвигатель, мусоропровод, стоматологический бур"],
["ДВИГАТЕЛИ","РАЗНОЕ","MOTRMisc","MOTR","Motor sounds not fitting another category in this list.","разное"],
["ДВИГАТЕЛИ","СЕРВОПРИВОДИ","MOTRSrvo","MOTR","Specifically servo motors, from robot, to radio controlled servos. Clean isolated servos.","робот, rc машина, фокус камеры, автомобильная антенна, принтер"],
["ДВИГАТЕЛИ","ТУРБИНА","MOTRTurb","MOTR","Turbines, water or air. That classic 'whine' power up and down are usually turbines. A jet engine is a turbine.","ветряная мельница, самолет, самолет, генератор"],
["ДВИЖЕНИЕ","АКТИВНОСТЬ","MOVEActv","MOVE","Crowds moving but also performing activities, cleaning, moving boxes. Clean recordings with no vocals. See MOVEMENT-HUMAN for Single activity.","деятельность, переезд, уборка, покупки, распаковка"],
["ДВИЖЕНИЕ","ЖИВОТНОЕ","MOVEAnml","MOVE","Group animal movement, individual feet go to FOOTSTEPS-ANIMAL or FOOTSTEPS-HORSE. But think herds of grazing animals, stampedes.","толпа, стадо, наступление, топтание, карабканье"],
["ДВИЖЕНИЕ","СУЩЕСТВО","MOVECrea","MOVE","Slithering Dragons, Gooey Zombie Movement.","скользить, ползать, скользить, извиваться, извиваться"],
["ДВИЖЕНИЕ","ТОЛПА","MOVECrwd","MOVE","Groups of people milling or walking. Usually mostly just recordings of group footsteps in real locations. No vocals. Compare to MOVEMENT-ACTIVITY.","ходить, бегать, маршировать, мельница, шаркать, шаркаться, сидеть, стоять, лежать, скользить, прыгать, проскакивать"],
["ДВИЖЕНИЕ","ЧЕЛОВЕК","MOVEHmn","MOVE","Movement of single human, aside from footsteps, standing, sitting, shuffe. Some overlap or confusion with FOOTSTEP-HUMAN or MOVEMENT-ACTIVITY.","ходить, бегать, маршировать, мельничать, тасовать, шаркать, сидеть, стоять, лежать, скользить, прыгать, проскакивать"],
["ДВИЖЕНИЕ","НАСЕКОМОЕ","MOVEInsc","MOVE","Group insects, footsteps, movement, swarms, spiders, locusts. Swarms of flying insects here too, bees, flies. Overlap with ANIMALS-INSECT or AMBIENCE-INSECT.","рой, улей, пчелиный улей, скольжение, личинки"],
["ДВИЖЕНИЕ","РАЗНОЕ","MOVEMisc","MOVE","Movement sounds not fitting another category in this list.","разное"],
["ДВИЖЕНИЕ","ПРИСУТСТВИЕ","MOVEPres","MOVE","Very light movement, people in church adjusting, people on church pews. Again, recordings without vocals. Compare to MOVEMENT-ACTIVITY and MOVEMENT-CROWD.","приспосабливаться, шаркать, шаркать, шаркать, легкое движение, сдвиг"],
["МУЗЫКА","КОЛОКОЛА","MUSCBell","MUSC","Specifically musical bells, tuned bells, think Tubular bells or hand bells. See also the BELL category for non-musical uses. BELL-GONG is older and this is a better fit.","трубчатые колокола, карильон, гамелан, поющая чаша, ручной колокольчик, ковбелл, гонг, гамелан, агунг, чаша-гонг, там-там"],
["МУЗЫКА","МЕДНЫЕ ДУХОВЫЕ ИНСТРУМЕНТЫ","MUSCBrass","MUSC","Brass musical instruments, trumpets, tuba, french horn.","туба, валторна, тромбон, труба, мелофон, эйфория, сузафон, флюгельгорн, горн, саксофон, корнет"],
["МУЗЫКА","КОЛОКОЛЬЧИКИ","MUSCChim","MUSC","Wind chimes, bell trees, Tinkerbell type magic chimes.","ветряной звон, колокольное дерево, звон, твинкл, твинкл, мерцание"],
["МУЗЫКА","ХОРОВАЯ","MUSCChor","MUSC","Choir pieces, choral, not for 'designed type vocally stuff'.","хор, хоровой, госпел, церковный"],
["МУЗЫКА","ЭКСПЕРИМЕНТАЛЬНАЯ","MUSCExpr","MUSC","Strange or wierdly modified instruments, exotic instruments, prepared instruments like a prepared piano.","темин, стеклянная армоника, пирофон, стилофон, хрустальный баше, наэлектризованный кактус, эолова духовая арфа"],
["МУЗЫКА","ИНСТРУМЕНТ","MUSCInst","MUSC","Various instruments that don't have a home in the other MUSICAL categories.","инструмент"],
["МУЗЫКА","КЛАВИШНЫЕ","MUSCKeyd","MUSC","Keyed Instruments, such as pianos and harpsichord. For synthesizer though see MUSICAL-SYNTHESIZED.","фортепиано, орган, клавесин, аккордеон, мелодика, челеста, спинет, клавинет, клавикорд, фисгармония, дульцитон"],
["МУЗЫКА","ПЕТЛЯ","MUSCLoop","MUSC","For looping musical phrases, sampled loops.","музыкальные циклы, сэмплы, барабанные циклы"],
["МУЗЫКА","РАЗНОЕ","MUSCMisc","MUSC","Music sounds not fitting another category in this list. Hopefully rarely needed.","разное, губная гармошка, казу"],
["МУЗЫКА","УДАРНЫЕ ИНСТРУМЕНТЫ","MUSCPerc","MUSC","Drums and percussion, including deep timpani or big war drums. Mainly meant for true membrane instruments, also see MUSICAL-TUNED PERCUSSION","литавры, чайник, бас-барабан, томы, военные барабаны, тайко, ударный барабан, малый барабан"],
["МУЗЫКА","ТОНАЛЬНАЯ ПЕРКУССИЯ","MUSCTnprc","MUSC","Tuned percussion mostly played with mallets, Xylophones, Vibraphones, etc.","глокеншпиль, ксилофон, вибрафон, металлофон, колокольная лира, стальной барабан, маримба"],
["МУЗЫКА","ВЫСТУПЛЕНИЕ","MUSCPrfm","MUSC","A musical performance, or warm-up, a live musical act, a street musican, high school band. If a mixed ambience, look to AMBIENCE categories, like PUBLIC PLACE.","группа, уличный музыкант, живой концерт, шоу, ночной клуб, "],
["МУЗЫКА","ЩИПКОВЫЕ ИНСТРУМЕНТЫ","MUSCPluck","MUSC","Guitars, Banjos, Harps, instruments that are mainly plucked when played. See also MUSICAL-STRINGED.","гитара, банджо, укелеле, арфа, акустическая гитара, бас-гитара, мандолина, балалайка, ситар, пипа, пианино, челюстная арфа, цитра, балалайка, автоарфа, кора, лютня, лира, уд, тамбура, каримба"],
["МУЗЫКА","СЭМПЛ","MUSCSmpl","MUSC","Musical samples. Single triggered samples, not loops, which has its own subcategory here.","сэмплы, необработанные сэмплы, one-shot"],
["МУЗЫКА","ПОГРЕМУШКИ","MUSCShake","MUSC","Shaken musical instruments, rattles, tamourines.","маракасы, тамбурин, погремушки, палочка дождя, шекер, яичный шейкер, чачча, обезьянья палка, катса, систрум, шейкер, кабаса"],
["МУЗЫКА","ПЕСНЯ И ФРАЗА","MUSCSong","MUSC","Complete musical pieces, songs as ringtones, car music bys. See also MUSICAL-PERFORMANCE which is a better fit for 'live performances'.","музыка, пианино, рингтон, музыкальная машина, фраза"],
["МУЗЫКА","АКЦЕНТ","MUSCStngr","MUSC","A short musical phrase or accent, like a horror 'string' sting. A big pitching cello note. But musical in nature.","музыкальный укус, новостной укус, название"],
["МУЗЫКА","СТРУННЫЕ ИНСТРУМЕНТЫ","MUSCStr","MUSC","Bowed string instruments like violin, cello, viola. Harp probably now goes to MUSICAL-PLUCKED.","скрипка, виолончель, альт, виолончель, бас, контрабас"],
["МУЗЫКА","СИНТЕЗАТОРЫ","MUSCSynth","MUSC","Synth samples, musical synth performances. Some overlap with MUSICAL-SAMPLE, but this meant for more than simple triggered samples.","синтезатор, moog, casio, roland, arp, synthesizer, oberheim, minimoog, yamaha, korg"],
["МУЗЫКА","ИГРУШКА","MUSCToy","MUSC","Toys that play musical phrases, also music boxes would go here.","музыкальная шкатулка, джек ин бокс"],
